function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err
zeta,30.0,1.0,4,50000000,-1.3343683624501716e-14,1.0094457644819723,1.0094457644820107,-3.8413716652030416e-14,3.8054265027050345e-14,1.3343683624501716e-14,1.321882174754523e-14,True,0.24881015580846486,0.2523614411204931,0.014273072176209796
zeta,30.0,1.0,8,50000000,-1.7483675316596866e-14,2.238962755973575,2.238962755973648,-7.283063041541028e-14,3.2528736898859716e-14,1.7483675316596866e-14,7.80882811469295e-15,True,0.24881015580846486,0.2798703444966969,0.12483489103291391
zeta,30.0,1.0,12,50000000,-2.8099924065285383e-14,2.928659260044359,2.9286592600444714,-1.1235457009206585e-13,3.836382457492308e-14,2.8099924065285383e-14,9.59480826214647e-15,True,0.24881015580846486,0.24405493833702993,0.019111830286764952
zeta,30.0,1.0,16,50000000,-1.403002962058809e-13,4.212458846093398,4.212458846093117,2.806643806252396e-13,6.662721011162532e-14,1.403002962058809e-13,3.330603368054131e-14,True,0.24881015580846486,0.26327867788083736,0.058150850094360454
zeta,30.0,1.0,20,50000000,-3.8493877410997955e-10,4.9769263852204375,4.9769263842436215,9.768159614509384e-10,1.9626891897611892e-10,3.8493877410997955e-10,7.734467908810145e-11,False,0.24881015580846486,0.24884631926102188,0.00014534556453099182
zeta,30.0,1.0,24,50000000,-3.591817101885905e-07,5.669894209372087,5.669893512444327,6.96927759946675e-07,1.22917242229085e-07,3.591817101885905e-07,6.33489262630119e-08,False,0.24881015580846486,0.2362455920571703,0.05049859685376674
zeta,30.0,1.0,28,50000000,-0.0001151912476898,6.376745352483299,6.376574862522175,0.0001704899611238,2.6736203454871317e-05,0.0001151912476898,1.8064269674019195e-05,False,0.24881015580846486,0.22774090544583211,0.08468002559691311
zeta,46.13,1.0,4,50000000,-1.3948980394949511e-14,0.8816212629000668,0.8816212629001171,-5.029310301551959e-14,5.704615477408284e-14,1.3948980394949511e-14,1.5821964580419442e-14,True,0.31728913500010564,0.2204053157250167,0.3053486822832956
zeta,46.13,1.0,8,50000000,-2.722418256759881e-14,2.4626898474102754,2.462689847410373,-9.769962616701379e-14,3.9671916571123695e-14,2.722418256759881e-14,1.1054653348340766e-14,True,0.31728913500010564,0.3078362309262844,0.029792712800638648
zeta,46.13,1.0,12,50000000,-3.4666377883104585e-14,3.6906769053295663,3.690676905329711,-1.4432899320127038e-13,3.9106374495380604e-14,3.4666377883104585e-14,9.392959278836951e-15,True,0.31728913500010564,0.3075564087774639,0.030674628119990693
