Function,epsilon,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS
L_DH^(-0.10),-0.1,0,1329.0,21.63322672161602,2.0015534676701994,0.0003312675825808131,0.9095642196563652
L_DH^(-0.10),-0.1,1,5978.0,20.04508458105742,1.5499044505474937,0.0003337327691021666,0.9095642196563652
L_DH^(-0.10),-0.1,2,1610.0,19.010062531911018,1.9792589292467226,0.0002806514579529642,0.9095642196563652
L_DH^(-0.10),-0.1,3,1055.0,18.674991258025106,2.0527280738960454,0.00027774771543355453,0.9095642196563652
L_DH^(-0.10),-0.1,4,1083.0,17.625209846683784,1.7035308230166393,0.0002871522012918268,0.9095642196563652
L_DH^(-0.10),-0.1,5,6295.0,17.232098956152324,1.898170209057265,0.0002477278070821128,0.9095642196563652
L_DH^(-0.10),-0.1,6,7700.0,16.08073311681923,1.847299371522788,0.00023606753069550963,0.9095642196563652
L_DH^(-0.10),-0.1,7,9856.0,15.938895238706921,1.6700854392765603,0.000251309194919821,0.9095642196563652
L_DH^(-0.10),-0.1,8,7267.0,15.857081288764451,1.654604854025329,0.0002524618316808921,0.9095642196563652
L_DH^(-0.10),-0.1,9,9004.0,15.799633978806227,1.7131968361629075,0.00024085958195506685,0.9095642196563652
L_DH^(-0.10),-0.1,10,4293.0,15.681903711764209,1.443999150604434,0.0002894002062925263,0.9095642196563652
L_DH^(-0.10),-0.1,11,5425.0,15.668132087941762,1.9450900829436697,0.00022052342371048985,0.9095642196563652
L_DH^(-0.10),-0.1,12,9359.0,15.14401032865787,1.9971141385117248,0.00020654219393151735,0.9095642196563652
L_DH^(-0.10),-0.1,13,1283.0,14.758059578177772,2.0313056981499606,0.00021673791089760436,0.9095642196563652
L_DH^(-0.10),-0.1,14,9023.0,14.751452417480401,2.0629934298080728,0.00020634649878778548,0.9095642196563652
L_DH^(-0.10),-0.1,15,2434.0,14.747530544904304,1.4529341870638584,0.0002588615789179488,0.9095642196563652
L_DH^(-0.10),-0.1,16,3531.0,14.534541024694205,2.049717828553568,0.00020450338872893842,0.9095642196563652
L_DH^(-0.10),-0.1,17,1770.0,14.532283125120312,1.6096849371508053,0.00023507814012888972,0.9095642196563652
