delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.0001,0.5,12,1,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.001,0.5,12,1,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.01,0.5,12,1,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.1,0.5,12,1,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
1e-05,0.5,12,5,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.0001,0.5,12,5,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.001,0.5,12,5,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.01,0.5,12,5,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
0.1,0.5,12,5,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
1e-05,0.5,12,20,-5.844925547425343e-09,-1.2410551821551294,-1.2410551813015214,4.00733992346179
0.0001,0.5,12,20,-5.84492577913634e-07,-1.2410552666623764,-1.2410551813015214,4.007339868623056
0.001,0.5,12,20,-5.844969911749886e-05,-1.2410637182032582,-1.2410551813015214,4.007334384692766
0.01,0.5,12,20,-0.005849384367261392,-1.2419170434577504,-1.2410551813015214,4.006785417827552
0.1,0.5,12,20,-0.6305717238609587,-1.420279095766689,-1.2410551813015214,3.9463315243104153
1e-05,0.5,16,1,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.0001,0.5,16,1,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.001,0.5,16,1,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.01,0.5,16,1,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.1,0.5,16,1,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
1e-05,0.5,16,5,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.0001,0.5,16,5,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.001,0.5,16,5,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.01,0.5,16,5,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
0.1,0.5,16,5,0.0,-1.4422977968295112,-1.4422977968295112,3.044837966050631
1e-05,0.5,16,20,-1.3314685130960354e-08,-1.3084651735639277,-1.3084651697332528,6.08967592987313
0.0001,0.5,16,20,-1.3314686916724797e-06,-1.3084655528022537,-1.3084651697332528,6.089675709287773
