function,N,M2_total,M2_diagonal,M2_off_diagonal,M2_off_diagonal_pct,M4_total,M4_pure_diagonal,M4_mixed_diagonal,M4_off_diagonal,M4_pure_diagonal_pct,M4_mixed_diagonal_pct,M4_off_diagonal_pct
zeta,1000000,14.86752510320333,14.351452715311023,0.5160723878923066,3.4711385002545887,4414.4229634415005,229.15826960424198,2069.1204465189603,2116.1442473182983,5.191126258223099,46.8718213831025,47.93705235867441
liouville,1000000,12.863211695404827,13.149954680179404,-0.2867429847745753,-2.2291709999378275,2880.5665149352444,206.31114147008756,1716.348064268721,957.907309196436,7.162172454633476,59.583698392998386,33.25412915236814
