,L-kurtosis,L-skewness,Std Kurtosis,Std Skewness,ξ
L-kurtosis,1.0,-0.9047619047619048,0.9761904761904762,-0.9285714285714286,-0.7857142857142857
L-skewness,-0.9047619047619048,1.0,-0.8809523809523809,0.9761904761904762,0.8095238095238095
Std Kurtosis,0.9761904761904762,-0.8809523809523809,1.0,-0.9047619047619048,-0.8095238095238095
Std Skewness,-0.9285714285714286,0.9761904761904762,-0.9047619047619048,1.0,0.8571428571428571
ξ,-0.7857142857142857,0.8095238095238095,-0.8095238095238095,0.8571428571428571,1.0
