Function,Mean,Variance,Skewness,Excess_Kurtosis,xi_shape,xi_SE,xi_CI_lower,xi_CI_upper
F1: Riemann ζ,0.02481279327820181,1.6121504952971744,-0.6807833493104485,0.7575915218618503,-0.37296500255512177,0.024275728901219245,-0.4205454312015115,-0.32538457390873204
F2: L(χ₄) real mod 5,0.007661352273028706,1.6655772111342269,-0.8294729242923866,1.6207885889993676,-0.3199973838025969,0.028341832825282496,-0.3755473761401506,-0.2644473914650432
F3: L(χ) complex mod 5,0.0022370917447628313,1.6898928569355423,-0.8148971699208453,1.2895718574056731,-0.2672772941672778,0.03437723138426341,-0.33465666768043406,-0.19989792065412154
F4: Random multiplicative,0.3000007941400705,0.917200944887526,-0.028413385764518382,0.3516579416812493,-0.2239107338401373,0.03251691566444156,-0.2876438885424427,-0.16017757913783184
F5: Davenport-Heilbronn,0.5385036036508133,0.7215759409021211,-0.48910946528140686,0.724586627506631,-0.3148933776523105,0.030725852807453873,-0.3751160491549201,-0.25467070614970094
"F6: Liouville L(s,λ)",0.2984721715525994,0.952969550657988,-0.08310296097888889,0.2952206620749922,-0.1846820022246372,0.03473491573416184,-0.2527624370635944,-0.11660156738568
"F7: Möbius L(s,μ)",0.2759542574862486,0.932474882522626,-0.3855939856773414,0.1926943334038116,-0.24302465016672314,0.027950848562415608,-0.2978083133490577,-0.18824098698438857
F8: Fully random,0.9601805652968658,0.40764935539395253,-1.146475428225092,2.419105460658405,-1.3698020562466688,0.0,-1.3698020562466688,-1.3698020562466688
