t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness,S1_re,S1_im,phi1,absS1,S2_re,S2_im,phi2,absS2,S3_re,S3_im,phi3,absS3,S4_re,S4_im,phi4,absS4,pf_circ_var,pf_d12,pf_d23,pf_d34,pf_d13,pf_d14,pf_d24,pf_c12,pf_s12,pf_c23,pf_s23,pf_c34,pf_s34,pf_c13,pf_s13,pf_c14,pf_s14,pf_c24,pf_s24,pf_c2_12,pf_c2_13,pf_c2_14
22299.04000001989,F1,1,0.4734259155092657,3.044498922232313,4.557116275709731,23.696543665715524,4.33391259795479,0.9287517286908303,0.21110572520232698,4.4323107043908205,7.467788913775788,2.654873700853728,0.34157505490048107,7.925668781131176,5.511452509794694,1.6805294403422724,0.2959606599483974,5.7619691050524855,1.5458617063497744,0.5431890738667714,0.33790609979996766,1.6385184726230206,0.0013791977532111588,0.13046932969815428,-0.045614394952083526,0.0419454398515704,0.08485493474607031,0.1268003745976407,-0.003668955100513571,0.991500943358147,0.13009949776960905,0.998959843857411,-0.045598578490748644,0.9991204190118679,0.04193314099312807,0.9964019797221848,0.08475314038848802,0.9919715980987631,0.12646085783904013,0.9999932693917855,-0.0036689468690767647,0.966148241360191,0.9856338103885784,0.9680153028692282
24329.62000002317,F1,1,0.4734259155092657,3.06450919304208,4.660456291033142,24.100112443567333,4.653552372145289,0.011916195460570276,0.002560660859243265,4.653567628821279,8.65222453472187,0.021204256060201276,0.0024507239177430765,8.652250517623617,5.8730600923227225,0.314833067725686,0.05355504792663418,5.881492557894413,0.9785768140800114,0.38506218782727364,0.37488350832453693,1.0516108926543657,0.012000700893453398,-0.00010993694150007727,0.05110432400889131,0.32132846039790275,0.05099438706739079,0.37232284746529354,0.3724327844067936,0.9999999939569345,-0.00010993694127862522,0.9986944582059665,0.05108208246235686,0.9488166913785278,0.3158273043318192,0.9987000679786905,0.050972288739656965,0.9314848536307829,0.36378010865966676,0.9314448551293149,0.3638825110569752,0.9999999758277379,0.994803651561282,0.7353280650871221
26296.93000002635,F1,1,0.4734259155092657,3.030568146037658,4.810799839775946,23.80797060745652,4.261807794697738,-0.6867136007622664,-0.15975880807204504,4.316779036320746,7.671502506782096,-1.7977050699901307,-0.23018210599084857,7.879320670605569,4.736847821422491,-1.1316113093867726,-0.23450030981341655,4.870140802774294,1.2920504410881455,-0.7408700518829564,-0.5206358572463483,1.489390068482104,0.009560487157730835,-0.07042329791880331,-0.004318203822568201,-0.2861355474329317,-0.07474150174137151,-0.3608770491743032,-0.2904537512554999,0.9975213042212951,-0.07036510232101088,0.9999906765723612,-0.004318190402406236,0.9593417663775311,-0.28224701111550954,0.9972081539940901,-0.07467193319915523,0.9355875019390889,-0.35309492521894925,0.9581140256894844,-0.286387000014124,0.9900975047507073,0.9888482047846018,0.7506479475692492
28327.240000029637,F1,1,0.4734259155092657,3.03736523326703,4.988045985666256,24.491607042331413,4.942757071145509,-0.11621290694644229,-0.02350742674630242,4.944123067248618,8.466209509188266,0.8133045267917646,0.09577089295388329,8.505184754417144,4.73778073301307,0.9763914173729022,0.20324080562319222,4.837344981912012,0.9356355729455286,0.6171274370126504,0.5830810794220527,1.120830138279173,0.025612691169070723,0.11927831970018588,0.10746991266930905,0.37984027379886065,0.22674823236949448,0.6065885061683551,0.48731018646816926,0.9928947712495102,0.11899568574273084,0.9942306650237908,0.10726315642545087,0.9287238694475032,0.3707721326076936,0.9744025758642689,0.22481018693350535,0.821597578215008,0.5700679077717266,0.8835955610861624,0.4682508776594335,0.9716800535492345,0.8989207597018448,0.35004516105753253
28807.75000003041,F1,1,0.4734259155092657,3.020980284620856,5.017412162942351,24.06175003796642,4.500144438164322,-0.7953660630879931,-0.1749357322657642,4.569891370552847,7.655302376095137,-2.1183409577844494,-0.26996041320227476,7.942985766251566,4.3072962750093,-1.2606521182955452,-0.28472616969197473,4.487988966572003,1.8783689989376766,0.4803238850215198,0.2503485909679599,1.9388092043035838,0.023515476580228123,-0.09502468093651073,-0.01476575648969991,0.5350747606599349,-0.10979043742621064,0.4252843232337242,0.520309004170235,0.9954885512882878,-0.09488173825318484,0.9998909881982965,-0.01476521993856099,0.8602305108181337,0.5099053522542911,0.9939790815542755,-0.10957000243004013,0.910921463753567,0.412579794552592,0.8676656002141532,0.4971482738630532,0.9819949114921083,0.975988829134962,0.659555826253882
30774.97000003359,F1,1,0.4734259155092657,3.1453308748432875,4.744261607528158,26.029831884795804,4.51677292039221,-1.089510926929538,-0.23669297784585314,4.646318077175436,8.516895000352772,-2.0058058315923653,-0.23129431254610053,8.749900426923954,7.165935673208633,-0.6838870474905747,-0.09514766403556436,7.198495368220323,1.6117848198818552,-0.024225901417646988,-0.015029349471238771,1.6119668730780672,0.004399554184786214,0.005398665299752636,0.13614664851053604,0.08011831456432539,0.14154531381028868,0.2216636283746145,0.21626496307486187,0.999985427241885,0.005398639075245973,0.9907463520388629,0.13572643781402932,0.9967922442536586,0.08003262956916116,0.9899991760811945,0.14107314187525566,0.9755330460293867,0.2198528510268323,0.9767057360146314,0.2145830963429254,0.9999417093922705,0.960196737282888,0.903329447790747
32324.860000036097,F1,1,0.4734259155092657,3.079803898574646,5.017554949017052,25.0844357309479,5.017684063913754,-0.4549385424668105,-0.09041981127291056,5.038265816992577,8.792794100016257,-0.6987992526323298,-0.07930739188804097,8.820518606111559,5.4547227969453775,-0.7213830896051647,-0.13148625037760972,5.50221722158294,0.9428061433112049,0.22007745283909555,0.22932181111677977,0.9681515940768225,0.010340114425989366,0.011112419384869732,-0.052178858489568825,0.3608080614943896,-0.04106643910469909,0.3197416223896905,0.3086292030048208,0.9999382577030698,0.011112190681829254,0.9986389921991642,-0.05215518439654478,0.9356118589123789,0.35303038036764317,0.999156892288042,-0.04105489731203641,0.9493166633527533,0.3143212889398286,0.9527508484595014,0.30375289424086166,0.9997530384365013,0.9966289908133963,0.8024042546384096
34155.55000003906,F1,1,0.4734259155092657,2.996358523432347,5.330753240018629,24.016960001283216,3.80217350974268,0.5349301982412032,0.13977323405539396,3.839618954424949,7.223417179079418,-0.5126740563048313,-0.07085508230894558,7.241587562891698,5.0076721548569605,-0.9013655724318497,-0.17808995647355097,5.088147040494716,2.3265030822122923,-0.6939042962223523,-0.2898602876249767,2.4277808311005207,0.012512422222923592,-0.21062831636433943,-0.1072348741646052,-0.11177033115142576,-0.31786319052894507,-0.42963352168037083,-0.21900520531603096,0.9778997429121576,-0.20907437148616778,0.9942558485332634,-0.10702947097598996,0.9937601965477161,-0.11153775933487622,0.9499054192947851,-0.3125375087799837,0.9091184627427027,-0.4165376582019266,0.976114060081673,-0.21725869766449415,0.9125758143753279,0.8046406112112032,0.6529927585993099
35253.01000004083,F1,1,0.4734259155092657,3.0321371647412696,5.271278949936177,24.659786577465976,3.9997244380067216,-0.882087318628129,-0.21706247781547836,4.095836131691885,6.928953121750851,-1.612547203280313,-0.22865583453651114,7.114119752030326,4.543518685854719,-1.0556844622861943,-0.22829873055484953,4.664550539186331,2.28047265166686,-0.6466305205808406,-0.2762985884580053,2.370376878293224,0.00026070965934765766,-0.011593356721032677,0.0003571039816616661,-0.047999857903155974,-0.011236252739371011,-0.059236110642526985,-0.04764275392149431,0.9999327977926724,-0.011593097020148503,0.9999999362383738,0.00035710397407182255,0.9988482279850334,-0.04798142819006955,0.9999368739763488,-0.011236016305057264,0.9982460545586861,-0.0592014742892162,0.9988652986555343,-0.04762473245898761,0.9997312002029628,0.999747503875185,0.9929903708839666
35533.81000004128,F1,1,0.4734259155092657,3.037845969757487,5.29872342124035,24.69966364337024,4.374997300355833,-0.764757011079808,-0.1730532625438993,4.441334784061718,6.89339175904772,-1.8650187077529263,-0.26422595637940127,7.1412285164371685,5.508462842805363,-0.5008447096647917,-0.09067345587157946,5.531185073179756,2.073834678555989,0.5136410259768641,0.24279106087593202,2.1364965194326873,0.01820831427372438,-0.0911726938355022,0.17355250050782178,0.33346451674751165,0.08237980667232003,0.41584432341983124,0.5070170172553334,0.995846648193149,-0.09104643475979997,0.9849775286313625,0.1726825645259343,0.9449140156665103,0.3273186566589046,0.9966087022783792,0.08228666078414494,0.9147755716492398,0.4039624407216672,0.8741968468712925,0.48557169699261715,0.983421093435059,0.9864578109139901,0.673628692972387
