function,peak_idx,pc1_instantaneous,H_instantaneous
F1,0,0.993468015613658,0.039373308457371005
F1,1,0.999361354987146,0.005336417078799274
F1,2,0.9865030884071957,0.0715135934835148
F1,3,0.992687364143252,0.04325048404169292
F1,4,0.9934079337950495,0.039674911726568576
F1,5,0.9758414679042036,0.11380939361145057
F1,6,0.9927853806985046,0.04276847848050523
F1,7,0.9930955854388844,0.041234089644513625
F1,8,0.9962464638167214,0.024710195999837956
F1,9,0.9903473918000719,0.054399061290278175
F1,10,0.9912470722648576,0.050189092856797776
F1,11,0.9865004822750959,0.07152477798012295
F1,12,0.99260279805697,0.04366528148644395
F1,13,0.9883958828391896,0.06324906080912955
F1,14,0.9714802218505276,0.12955850862321144
F1,15,0.9930970356455127,0.04122688389890183
F1,16,0.9944406295290253,0.03440964320316219
F1,17,0.9938299832393811,0.03754431969785373
F1,18,0.98941783467995,0.058659856338794475
F1,19,0.9986936103421512,0.009980600717612292
F1,20,0.9822854609921075,0.08900598425198498
F1,21,0.9240991572120304,0.2686418282831449
F1,22,0.992816456354593,0.04261538185270863
F1,23,0.9884749932759328,0.06289716335770211
F1,24,0.9955638024599626,0.02846147356199515
F1,25,0.9947807291607181,0.032634969987608
F1,26,0.9981932375747439,0.013217035954592934
F1,27,0.9761976579417521,0.11248926305906162
F1,28,0.9724168362845035,0.12623792179412932
F1,29,0.9860505955136473,0.07344795427264139
F1,30,0.9928308714207684,0.042544318974454966
F1,31,0.9559459632515692,0.18062069133711017
F1,32,0.9794805796841087,0.10005377883999281
F1,33,0.9769818322745393,0.10956355629291889
F1,34,0.9689437130372571,0.1383949693568475
F1,35,0.9830128636524729,0.08606968914704596
F1,36,0.9903002652110249,0.054617180423885386
F1,37,0.9962121051075721,0.024901804766826224
F1,38,0.9981356708661239,0.013579626613773769
F1,39,0.9951248565381702,0.030816582341805617
F1,40,0.9709755030685505,0.13133469802587042
F1,41,0.9915084722945644,0.04894880448602278
F1,42,0.9899715662159478,0.05613215020629218
F1,43,0.9797392462069757,0.09905219301700294
F1,44,0.9932550137297037,0.040440075938060184
F1,45,0.9938297926324324,0.03754528833359336
F1,46,0.9935257595197486,0.03908291704935664
F1,47,0.9849689972103157,0.0780122109144716
F1,48,0.9819432167178539,0.090376920235267
F1,49,0.9834599155221396,0.08424944204016052
F1,50,0.9915743689791031,0.048634867276298274
F1,51,0.9926346202800769,0.04350930807860188
F1,52,0.98497283522594,0.07799615793485729
F1,53,0.9864623698908963,0.07168828316658075
F1,54,0.9790380870358869,0.10175946370972938
F1,55,0.9134193788734671,0.29455441744826194
F1,56,0.9904688230201675,0.053835959763056516
F1,57,0.9933113026554383,0.040158833914121936
F1,58,0.9805117644463951,0.09604068027496261
F1,59,0.9490091681579654,0.20142241709168196
F1,60,0.9806101204716692,0.09565504188467133
F1,61,0.9821910268403904,0.08938492843142148
F1,62,0.9967721158520507,0.02173758133280585
F1,63,0.993809491253799,0.03764842299100229
F1,64,0.9925378301508986,0.043983287527331855
F1,65,0.9421041819197014,0.22113810274675633
F1,66,0.9824709290880111,0.08826024598579603
F1,67,0.9887266165954761,0.061774226816218664
F1,68,0.987469662133051,0.06732940283856648
F1,69,0.9937448327991008,0.037976454174982736
F1,70,0.9237904673899723,0.26941268659105244
F1,71,0.9569337332174588,0.1775693745938165
F1,72,0.9447210123334897,0.21377484929860882
F1,73,0.9695381328593901,0.13634401671739785
F1,74,0.9498048550504627,0.19908943537653592
F1,75,0.8908909420225316,0.3446485441621632
F1,76,0.9509241542579592,0.19578508444421427
F1,77,0.9906008954630576,0.05322173870544767
F1,78,0.9980872204271444,0.013883414777092496
F1,79,0.9975870302519277,0.016952776399064912
F1,80,0.9841480861306872,0.08142330588602219
F1,81,0.9693827814934541,0.13688117799917598
F1,82,0.9122297257156752,0.2973484709461593
F1,83,0.9947248622786834,0.03292798080973716
F1,84,0.9885159079372566,0.06271495228611022
F1,85,0.9811368542227862,0.09358108061875005
F1,86,0.9951105650715345,0.030892573602507908
F1,87,0.9761149043695803,0.11279645279106176
F1,88,0.9870650284973809,0.06908988812772239
F1,89,0.94690181709039,0.2075385323739224
F1,90,0.9926985440629775,0.04319557294441142
F1,91,0.9922497719183192,0.04538648145658107
F1,92,0.9758796302197571,0.11366821318102696
F1,93,0.9921576333321077,0.0458330113348479
F1,94,0.9832502068720073,0.08510481650331628
F1,95,0.9942378216546915,0.03545787014216026
F1,96,0.9752647984826284,0.1159353002754341
F1,97,0.9587743025521532,0.1718201071536539
F1,98,0.9899243707407632,0.05634877170538193
F1,99,0.9421926754006843,0.22089118095210206
F1,100,0.9948239759617991,0.03240773655389402
F1,101,0.9605395764409214,0.16622553739149973
F1,102,0.9884678030322139,0.06292916949563382
F1,103,0.9728141248577031,0.12481959375798445
F1,104,0.9563681367604745,0.17931942082115637
F1,105,0.9344670557316389,0.24192768503737977
F1,106,0.9968172244742035,0.021478669657626008
F1,107,0.9338734295855602,0.24350233186983422
F1,108,0.9780238405150449,0.10563341244869108
F1,109,0.995680720205643,0.027826976699632838
F1,110,0.9307679853066002,0.2516478621431885
F1,111,0.9581444071749005,0.17379713733125568
F1,112,0.9782133804065042,0.10491316131921366
F1,113,0.9937771141877896,0.03781276578757943
F1,114,0.9687400224775382,0.1390950594951826
F1,115,0.9955666159424352,0.028446241845621972
F1,116,0.9933636466200729,0.03989687464686299
F1,117,0.9704090720167392,0.13331730547036688
F1,118,0.9715544900516889,0.1292963742172233
