L,GUE_prediction,zeta_Sigma2,L_chi5_Sigma2,L_DH_Sigma2,L_DH_offline_Sigma2
1.0,0.346021237784607,0.311216,0.27574400000000004,0.329964,0.28932399999999997
1.5199110829529336,0.3884395372499451,0.31398400000000004,0.30193600000000004,0.44532400000000005,0.44567600000000007
2.3101297000831598,0.43085783671528316,0.38710400000000006,0.349264,0.6261760000000002,0.6027359999999999
3.511191734215131,0.47327613618062114,0.35760000000000003,0.332844,0.8685559999999998,0.7796960000000001
5.3366992312063095,0.5156944356459592,0.358,0.36583600000000005,1.173056,1.060176
8.111308307896872,0.5581127351112972,0.25718399999999997,0.282764,1.4782840000000002,1.542
12.32846739442066,0.6005310345766351,0.35790000000000005,0.302896,2.3020000000000005,2.172496
18.73817422860384,0.6429493340419732,0.361344,0.3604,2.7333559999999997,2.6218999999999997
28.48035868435802,0.6853676335073112,0.3375160000000001,0.34439999999999993,3.984544,4.488364
43.287612810830595,0.7277859329726493,0.34199999999999997,0.3290999999999999,6.8131,6.787616
65.79332246575683,0.7702042324379873,0.366096,0.329344,10.3259,8.980544000000002
100.0,0.8126225319033253,0.4092959999999999,0.430064,15.181600000000001,12.271536
