function,N_coefs,sel_model,A_unif,A_weighted,A_pct_change,B_unif,B_weighted,B_pct_change,C_unif,C_weighted,C_pct_change,rmse_rel_unif,rmse_rel_weighted
zeta,499,logquad,1332.2272547647694,1332.7273707908073,0.03753984346508235,17.806804051919713,17.25140074441203,-3.119051043007377,-2.722045945192742,-2.6533433583295025,-2.523931933793083,0.0014997464134274647,0.0015654094851328194
zeta_delta,499,logquad,1332.2272547647694,1332.7273707908073,0.03753984346508235,17.806804051919713,17.25140074441203,-3.119051043007377,-2.722045945192742,-2.6533433583295025,-2.523931933793083,0.0014997464134274647,0.0015654094851328194
L_DH,499,logquad,1228.8581143119961,1230.8928451670856,0.16557899007150081,10.435911194964199,9.364394403598306,-10.267592080344151,-1.5834576913654372,-1.4703439829033984,-7.143462631104423,0.0031778737777277874,0.00333811902758624
L_chi5,499,logquad,1078.767495601428,1078.64859145455,-0.011022221874770479,11.710158328498224,11.495195224868459,-1.8356976703433974,-1.7614235806622411,-1.7290939637514835,-1.8354254629998026,0.0014458455910309575,0.001384594845906871
L_Delta,128,logquad,244.21340784480512,244.42191529247117,0.08537919744298193,4.089825141821787,3.6166050574551964,-11.570667888158104,-0.9398902898177834,-0.8590573108241559,-8.600256845860022,0.001974500547235243,0.0020317939958476024
