,zeta,L_chi5,L_DH,L_DH+offline,zeta_delta_weak,zeta_delta_strong
zeta,1.0,1.0,1.0,0.001996007984031936,0.001996007984031936,0.001996007984031936
L_chi5,1.0,1.0,1.0,0.001996007984031936,0.001996007984031936,0.001996007984031936
L_DH,1.0,1.0,1.0,0.001996007984031936,0.001996007984031936,0.001996007984031936
L_DH+offline,0.001996007984031936,0.001996007984031936,0.001996007984031936,1.0,0.001996007984031936,0.001996007984031936
zeta_delta_weak,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,1.0,0.001996007984031936
zeta_delta_strong,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,1.0
