rank,t,|D(t)|,M
1,9908.5,11.765265225992454,1.969005332132193
2,8713.5,11.3572010719771,1.8963743045679975
3,7312.0,10.890697533887089,1.8403780244872627
4,7964.0,10.845519863501105,1.7681000075624245
5,6562.5,10.725696352488445,1.893152748976755
