t,D_real,D_imag,D_magnitude,M
1000.0,-0.015706579531080338,-2.8576342122699927,2.857677376432915,1.0493570412264757
1045.0,0.7151877566035412,0.2321130885457357,0.7519109076678211,0.22518439192026415
1090.0,-0.9438904566453836,-2.7337393005488972,2.8921029991187734,0.749163745256661
1135.5,4.498706560135117,-1.9743516460800443,4.912883586711751,1.6235668768429306
1180.5,0.049617506902149555,-0.19983070506742692,0.20589853734043337,0.8608718584633904
1226.0,0.015581753389318602,0.34932197546969646,0.34966932033671005,1.1220701385428407
1271.0,0.3039309287213597,-0.5600051339299227,0.6371654098123177,0.4991270818484918
1316.5,0.7859387187438077,0.10512432684987415,0.7929380768485628,0.3086474768090727
1361.5,0.029118219586409443,-0.038276459471549666,0.04809322261566116,0.5687208343061128
1407.0,0.04373786280644274,-0.13005158822137117,0.1372093883149994,0.43602120586321685
1452.0,1.7231746590745465,-1.189901669264839,2.0940861701935596,1.1467361233198823
1497.0,1.8002953664526888,-1.4176992776113932,2.2914917953618965,1.1471945149741465
1542.5,0.6123657095348182,0.009596737031804742,0.6124409029251221,0.1560923963249749
1587.5,0.38641384241733856,-2.1024275685788494,2.1376429399532806,0.8019899248868408
1633.0,-0.4058579084900244,-0.831164030188076,0.9249617759466506,0.5388111449826334
1678.0,-0.07715169860710294,3.712182323533176,3.712983973538013,1.1920520668660861
1723.5,0.9814454371130438,-0.29047048661094316,1.023527356557709,0.290033195366024
1768.5,1.1186131242949593,-1.7830159375611698,2.1048613150139057,0.8970609983918512
1814.0,-0.17939336134927059,0.23722850613800944,0.29742115294756954,0.5209053132360232
1859.0,0.939816891211641,0.346915162521989,1.0018013370895307,0.3030438868356746
1904.5,0.1323287570248693,-0.10937380976873638,0.17167856651042562,0.35728460723389016
1949.5,0.9394545668515872,-0.49746372298029684,1.0630357655599931,0.630109822171413
1994.5,1.8952720411150252,-1.983931593292195,2.74372751502317,1.4392018977691499
2040.0,0.6314373628766307,-0.18742030272847598,0.6586649475351085,0.27269631056035776
2085.0,-0.25499796833742433,-5.446053464104488,5.452020019932127,1.100233256295198
2130.5,1.719001446208643,2.96992448298344,3.4315328071711426,0.9989872330200904
2175.5,0.4681519131794773,-1.4093144296227105,1.485036489570674,1.2206729998596908
2221.0,2.131035176179898,1.0466020680570807,2.37417076280908,1.1020118585691292
2266.0,0.9956819909679846,0.39395949975286093,1.0707878943018987,0.40480313365006243
2311.5,0.3011284152878348,0.6985271979213173,0.7606698158396782,0.7534762640480482
2356.5,0.963914421635704,0.18877641053624297,0.9822258118234533,0.349405429695723
2402.0,0.18257105480897765,0.02011858786471013,0.18367620322658235,0.34638970244881895
2447.0,-0.14635123004416253,-0.9390032265402894,0.9503398034327056,0.8280014428354175
2492.0,0.23352800722913714,-0.25215191462864334,0.34367996480927215,0.20235983958194537
2537.5,0.2188269787008371,0.3122660789028021,0.38130742274530616,0.9052977083568565
2582.5,-0.5124053940442493,-0.8992151385847483,1.0349623922180122,0.5729067297966345
2628.0,1.6792027103786475,-3.3184378338618283,3.7191062635730887,1.0332617269860516
2673.0,-0.0038323727380932147,-0.014407644059179391,0.014908631330195515,0.5658816864842425
2718.5,0.01800184134369836,1.2022931437295978,1.202427906259233,0.7479552744943936
2763.5,2.7572497598225665,0.30033707203340826,2.773558832056606,1.440813990961988
2809.0,0.1498745652456433,-0.06986752424690408,0.16535977821696035,0.3741971479777558
2854.0,1.5893433019643592,0.9297330389262012,1.8413081369422994,0.9662345561978195
2899.0,0.09633809782327611,0.21193656652851853,0.23280493406305688,0.5477376858755845
2944.5,1.142224490793499,-0.5997181227557692,1.2900924827818245,0.6685380500768773
2989.5,1.0793310616070573,-0.6970214181709167,1.2848324396351507,1.0328980814172564
3035.0,0.7020670408101619,0.1818841329854423,0.7252447639409771,0.30165173339006407
3080.0,4.358280196172584,-2.4504055097555484,4.999909342237165,1.456408944278745
3125.5,2.8751700285476054,-1.0891162809439214,3.0745368702416886,0.9962621320970051
3170.5,-0.23251791976768904,-1.091602239948912,1.1160914090138743,0.7112938093722972
3216.0,1.2250663723822433,1.4106579651365503,1.8683531548786436,1.058884318107324
3261.0,-0.13898680494165286,0.36103618177968105,0.3868649073022002,0.5351709843755009
3306.5,1.2789731282098205,1.3155268335396262,1.8347705885057155,0.7373301232668319
3351.5,-0.10212440202967413,-0.31737873343663714,0.333404639931364,0.6107574907234198
3396.5,-0.007228364508266892,-0.060379596725617976,0.060810730584434106,0.6773318592502593
3442.0,1.4543058991370474,-1.0705108495320166,1.8058236700272194,0.8718041462902991
3487.0,0.5902885766340176,-1.0693747778224205,1.2214757546293606,1.147176350775477
3532.5,3.205539984166718,-2.1010587731659363,3.8327450421844014,1.6128009847695675
3577.5,-0.014064025130569605,-0.5806973459194351,0.5808676306704905,0.7218141432534747
3623.0,0.008947943454376588,0.06446948524059087,0.06508748127904079,0.81536885671911
3668.0,1.6163470211762538,-0.20074053985342102,1.6287647028364756,0.668024144081008
3713.5,-0.4443792962320239,0.4416255875240332,0.6265030873631959,0.6247776892803171
3758.5,0.6878450019176598,0.16019044540030775,0.706251885279363,0.3972813361419928
3804.0,0.2894513875222048,-0.4277260480475962,0.5164607225307111,0.46441620568643055
3849.0,1.3546943850344875,-0.7507349468476983,1.5488059391874711,0.7966717098808398
3894.0,-0.02148193018444825,0.007378822006905339,0.02271387986802562,0.16001083113162154
3939.5,-0.6296556738717062,-0.6989654708161627,0.9407544828657967,0.45291308155537313
3984.5,1.2854540053329955,0.7447359093464151,1.4856054572115278,0.8370460338945213
4030.0,-0.43961880702501527,-0.9527906263076372,1.049321053381565,0.6503393302581498
4075.0,2.841821381765212,0.9366399100180627,2.992197033434894,0.9330943559320715
4120.5,2.988068580770855,1.3517009782091371,3.2795806710434023,1.058572409721171
4165.5,1.047941754913474,-1.2990685590955973,1.6690599279000866,1.189932374460371
4211.0,-0.662526105165808,2.238096511722668,2.3340987202368604,0.832025124647477
4256.0,0.8998227109999636,0.05026003392353085,0.9012252672008916,0.16973253483567718
4301.5,0.43562768439271615,-0.4714165821716492,0.6418762134210608,0.6991395481399433
4346.5,0.5724840363592031,0.024654184454654393,0.5730146601067458,0.3852475661896212
4391.5,0.34268591861426684,0.2698382922481026,0.4361723773691731,0.39442349289307943
4437.0,-0.23557499178400235,0.3064241156555369,0.38651172738910605,0.27760688542465006
4482.0,3.492653245575594,-3.2408005755316633,4.764600199827483,1.525404819415431
4527.5,1.4265049808332877,0.5117130416794168,1.5155087255990904,0.8603690198419792
4572.5,0.30837845095252986,0.019997329322351244,0.3090261513074718,0.26821991938588907
4618.0,4.671328650567469,3.9450222513705557,6.11428752394106,1.5843963591907917
4663.0,0.7575858590742256,-0.017462841785630526,0.7577870972195703,0.21942817150612445
4708.5,3.7789043627148895,0.6538744418906057,3.8350580136815897,1.6007250217314322
4753.5,-0.14747894812161977,0.2223245418097793,0.2667925074472439,0.37404580718557023
4798.5,1.4640552121191617,1.4411518283017488,2.0543554357390925,1.2480687123636036
4844.0,1.8092434147086067,0.610678123151465,1.9095259892869372,1.0073959766062002
4889.0,0.019588775879304705,-0.18771833272221825,0.18873762894679763,0.3915124738611841
4934.5,1.135790626728014,1.1581762379021203,1.6221567574696114,0.7934407783887252
4979.5,-0.026894933716195002,0.16555286233553865,0.16772324730665195,0.8367307514635789
5025.0,1.3906256885595372,0.6474773652495557,1.5339709072183192,0.8040830062920689
5070.0,0.6783626790938974,0.9700625327957441,1.1837217755543503,0.616064149929094
5115.5,0.31519943454074395,-0.2849466022531904,0.42490616572420153,0.4014739821841795
5160.5,-2.823086265620056,1.9925286000935534,3.4554285241230747,0.608443918550779
5206.0,1.4509383961148072,0.6627627614917587,1.5951415947621677,0.7856752528940252
5251.0,1.4095986932101683,0.2237470841812124,1.4272460312011412,0.469511091283331
5296.0,0.5081864930187195,-0.15912248002882157,0.532516173779903,0.6776772980023883
5341.5,1.6625738305616162,0.25442730487323373,1.6819289507982742,0.6740313802810505
