Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp
ζ,0,9654.0,15.710188352775901,2.001095276872932,0.008279477439853963
ζ,1,9826.0,15.661042671425465,2.03428685255509,0.008303449331362732
ζ,2,7578.0,15.417136197372878,1.8312669723566861,0.005041247469444545
ζ,3,6726.0,15.22203910895705,1.8359122120095477,0.005335710626818154
ζ,4,8476.0,15.122170302935023,1.9420321656472126,0.011078765396520075
ζ,5,8647.0,15.057177432153987,2.0035325074962387,0.012424472389836563
ζ,6,4478.0,14.597083731039843,1.7294654650934174,0.003483566780311066
ζ,7,8956.0,14.437149928026123,1.9117665561721042,0.005275287984615083
ζ,8,9128.0,14.28715705487269,1.921840526321203,0.004859941213569884
ζ,9,9174.0,14.006106498258807,1.9773487899159075,0.016531074691548183
ζ,10,7995.0,14.003412804617515,1.8210784645972644,0.00928418172178248
ζ,11,5919.0,13.890147560715699,2.0950732646938253,0.012432151270585903
ζ,12,8104.0,13.853991703073957,2.028771711907406,0.015735822508399167
ζ,13,6445.0,13.841536139294654,1.9479799774591424,0.006454505476376901
ζ,14,5176.0,13.822522420251406,1.7388715901916632,0.0023635619556649536
ζ,15,6028.0,13.709718143622512,1.805366331418388,0.003993451745896106
ζ,16,4759.0,13.557547604547771,2.040413134836931,0.010407467091975525
ζ,17,9545.0,13.54038481284411,1.6821968159671228,0.004891465710280868
ζ,18,3100.0,13.397819142829414,1.6943853382202176,0.003422811730265444
ζ,19,9436.0,13.16602833114801,1.9803381430220497,0.010472932772389115
ζ,20,7859.0,12.977044711434486,1.967785174373201,0.013648228620894336
ζ,21,5828.0,12.924921938067351,2.088203479437208,0.012326502754400274
ζ,22,3626.0,12.829039504067637,1.8315119029274212,0.006624872004095818
ζ,23,3826.0,12.814091105524929,1.9478038279813545,0.009879501831523757
ζ,24,7378.0,12.792926434164604,1.7488420213979783,0.012528377004115555
ζ,25,9328.0,12.737549781442388,1.9208835006952087,0.009118188198288175
ζ,26,4895.0,12.732508443550213,2.0169482837155654,0.010823248467503174
ζ,27,8893.0,12.703729317551918,1.8184529820127926,0.012510327039079637
ζ,28,5267.0,12.658434467859497,1.930875797259297,0.013400013023919721
ζ,29,5130.0,12.640744026566923,2.042183504738838,0.012928943292182627
ζ,30,6617.0,12.63798732755539,1.8207238961185197,0.011691463401743261
ζ,31,8757.0,12.610763812876323,2.053990324674138,0.017205336161621506
ζ,32,2819.0,12.591252809228596,1.9475536986765412,0.008034943478762492
ζ,33,8385.0,12.537137715502219,2.0413669447917564,0.011598022837335992
ζ,34,9745.0,12.469717358104013,1.8671380580558892,0.014666654431048542
ζ,35,7714.0,12.390232941900884,1.7865217657562638,0.004261739870163802
ζ,36,5657.0,12.341807899705074,1.9386219150755426,0.011091286722005963
ζ,37,3517.0,12.279777127326573,2.0193940028791255,0.01114202478801298
ζ,38,6137.0,12.275221830580419,1.7770597550245075,0.005142280666275446
ζ,39,7469.0,12.20336702728931,1.6873703939174998,0.010654350403826347
ζ,40,6200.0,12.176673816298091,1.5964713974749425,0.009331979591625789
ζ,41,3209.0,12.076019034447057,1.9032654203145425,0.006915336837765673
ζ,42,6926.0,12.066703062411868,1.5311106012738993,0.009676783841221394
ζ,43,8230.0,11.966675097220653,1.7521046921454768,0.01626534522954963
ζ,44,5411.0,11.950245839415334,2.1702205969901613,0.016126490789435923
ζ,45,5747.0,11.852138434491156,2.0862942727232046,0.01043847453311052
ζ,46,6074.0,11.84501709803113,2.0630644388404997,0.010629404501521106
ζ,47,7143.0,11.747706069061879,1.8384379748817445,0.004521690868906891
ζ,48,6645.0,11.698417220189407,2.1576174217292197,0.012569750106882558
ζ,49,7452.0,11.686447072556229,2.0903668174334604,0.01665796294928702
"L(s,χ₄) mod5",0,8788.0,16.863867096536826,2.065634246355823,0.01932216301607332
"L(s,χ₄) mod5",1,8335.0,16.64311158621271,1.8869299910514579,0.01814371084880593
"L(s,χ₄) mod5",2,7764.0,16.586349411998782,1.6606056122997688,0.005003437081523919
"L(s,χ₄) mod5",3,6912.0,16.193796605098697,1.8900785290972693,0.02023483903743139
"L(s,χ₄) mod5",4,6540.0,16.0337375707963,1.8323563286267814,0.010436863588690703
"L(s,χ₄) mod5",5,3286.0,15.70498933428435,1.8330270523100012,0.01091180257050874
"L(s,χ₄) mod5",6,7392.0,15.626444569063853,1.9450467394409559,0.011668714479043421
"L(s,χ₄) mod5",7,8988.0,15.318066736542775,1.9446816848181487,0.016270955413013325
"L(s,χ₄) mod5",8,9033.0,15.145833494484606,1.8391286634992428,0.013121268836391167
"L(s,χ₄) mod5",9,8616.0,14.935774491187745,1.9311260740097713,0.009322131240467924
