Function,M_coh,R_comp,CAS,Class
ζ,2.001095276872932,0.0082794774398539,4.0,Multiplicative
ζ,2.03428685255509,0.0083034493313627,4.0,Multiplicative
ζ,1.831266972356686,0.0050412474694445,4.0,Multiplicative
ζ,1.835912212009548,0.0053357106268181,4.0,Multiplicative
ζ,1.9420321656472128,0.01107876539652,4.0,Multiplicative
ζ,2.0035325074962387,0.0124244723898365,4.0,Multiplicative
ζ,1.7294654650934174,0.003483566780311,4.0,Multiplicative
ζ,1.911766556172104,0.005275287984615,4.0,Multiplicative
ζ,1.921840526321203,0.0048599412135698,4.0,Multiplicative
ζ,1.9773487899159077,0.0165310746915481,4.0,Multiplicative
ζ,1.8210784645972644,0.0092841817217824,4.0,Multiplicative
ζ,2.0950732646938253,0.0124321512705859,4.0,Multiplicative
ζ,2.028771711907406,0.0157358225083991,4.0,Multiplicative
ζ,1.9479799774591424,0.0064545054763769,4.0,Multiplicative
ζ,1.7388715901916632,0.0023635619556649,4.0,Multiplicative
ζ,1.805366331418388,0.0039934517458961,4.0,Multiplicative
ζ,2.040413134836931,0.0104074670919755,4.0,Multiplicative
ζ,1.6821968159671228,0.0048914657102808,4.0,Multiplicative
ζ,1.6943853382202176,0.0034228117302654,4.0,Multiplicative
ζ,1.9803381430220497,0.0104729327723891,4.0,Multiplicative
ζ,1.967785174373201,0.0136482286208943,4.0,Multiplicative
ζ,2.088203479437208,0.0123265027544002,4.0,Multiplicative
ζ,1.8315119029274207,0.0066248720040958,4.0,Multiplicative
ζ,1.9478038279813543,0.0098795018315237,4.0,Multiplicative
ζ,1.7488420213979785,0.0125283770041155,4.0,Multiplicative
ζ,1.9208835006952087,0.0091181881982881,4.0,Multiplicative
ζ,2.016948283715565,0.0108232484675031,4.0,Multiplicative
ζ,1.8184529820127928,0.0125103270390796,4.0,Multiplicative
ζ,1.930875797259297,0.0134000130239197,4.0,Multiplicative
ζ,2.042183504738838,0.0129289432921826,4.0,Multiplicative
ζ,1.82072389611852,0.0116914634017432,4.0,Multiplicative
ζ,2.053990324674138,0.0172053361616215,4.0,Multiplicative
ζ,1.9475536986765407,0.0080349434787624,4.0,Multiplicative
ζ,2.0413669447917564,0.0115980228373359,4.0,Multiplicative
ζ,1.8671380580558887,0.0146666544310485,4.0,Multiplicative
ζ,1.7865217657562638,0.0042617398701638,4.0,Multiplicative
ζ,1.9386219150755424,0.0110912867220059,4.0,Multiplicative
ζ,2.019394002879125,0.0111420247880129,4.0,Multiplicative
ζ,1.7770597550245075,0.0051422806662754,4.0,Multiplicative
ζ,1.6873703939174998,0.0106543504038263,4.0,Multiplicative
ζ,1.5964713974749425,0.0093319795916257,4.0,Multiplicative
ζ,1.9032654203145425,0.0069153368377656,4.0,Multiplicative
ζ,1.5311106012738993,0.0096767838412213,4.0,Multiplicative
ζ,1.7521046921454768,0.0162653452295496,4.0,Multiplicative
ζ,2.1702205969901613,0.0161264907894359,4.0,Multiplicative
ζ,2.086294272723205,0.0104384745331105,4.0,Multiplicative
ζ,2.0630644388405,0.0106294045015211,4.0,Multiplicative
ζ,1.8384379748817443,0.0045216908689068,4.0,Multiplicative
ζ,2.15761742172922,0.0125697501068825,4.0,Multiplicative
ζ,2.0903668174334604,0.016657962949287,4.0,Multiplicative
