k,a_LDelta,CI_LDelta,R2_LDelta,a_LDH,CI_LDH,R2_LDH,disjoint_95CI
1,0.28928053353572597,"[0.193, 0.386]",0.9880894882885048,0.17068225658364278,"[0.125, 0.216]",0.9922899870085279,False
2,0.7980121742452697,"[0.765, 0.831]",0.9998103199461749,0.48011401315820756,"[0.391, 0.569]",0.9962979057582144,True
3,2.0225388824692287,"[1.858, 2.187]",0.9992829332351115,1.5659746154077776,"[1.181, 1.951]",0.9935243193121398,False
4,4.821428276194549,"[2.241, 7.402]",0.9699741941988015,3.0658414470210875,"[2.375, 3.756]",0.9945508300958782,False
