kind,x,y
A1_visible_n150,0.69314718056,0
A1_visible_n150,0.730645004184,0.52815850043
A1_visible_n150,0.768142827809,0.381561611731
A1_visible_n150,0.805640651434,-0.353897528572
A1_visible_n150,0.843138475058,-1.45457231457
A1_visible_n150,0.880636298683,-2.63280251769
A1_visible_n150,0.918134122307,-3.61172099721
A1_visible_n150,0.955631945932,-4.18464766835
A1_visible_n150,0.993129769556,-4.24980785636
A1_visible_n150,1.03062759318,-3.81822536515
A1_visible_n150,1.06812541681,-2.99831902028
A1_visible_n150,1.10562324043,-2.05325552065
A1_visible_n150,1.14312106405,-1.48864281102
A1_visible_n150,1.18061888768,-1.00028574828
A1_visible_n150,1.2181167113,-0.681191449802
A1_visible_n150,1.25561453493,-0.59387120683
A1_visible_n150,1.29311235855,-0.760230363692
A1_visible_n150,1.33061018218,-1.15921547204
A1_visible_n150,1.3681080058,-1.73183322605
A1_visible_n150,1.40560582943,-2.28350304928
A1_visible_n150,1.44310365305,-2.74192184428
A1_visible_n150,1.48060147668,-3.1342744668
A1_visible_n150,1.5180993003,-3.39691658739
A1_visible_n150,1.55559712392,-3.48379597079
A1_visible_n150,1.59309494755,-3.37330853598
A1_visible_n150,1.63059277117,-3.19393156937
A1_visible_n150,1.6680905948,-3.00531705987
A1_visible_n150,1.70558841842,-2.75112910538
A1_visible_n150,1.74308624205,-2.45860057037
A1_visible_n150,1.78058406567,-2.16536103248
A1_visible_n150,1.8180818893,-1.91365738979
A1_visible_n150,1.85557971292,-1.74391427158
A1_visible_n150,1.89307753654,-1.68863098416
A1_visible_n150,1.93057536017,-1.76747022739
A1_visible_n150,1.96807318379,-1.89230840325
A1_visible_n150,2.00557100742,-2.02634501525
A1_visible_n150,2.04306883104,-2.21898805539
A1_visible_n150,2.08056665467,-2.45424007719
A1_visible_n150,2.11806447829,-2.62816498112
A1_visible_n150,2.15556230192,-2.80605493028
A1_visible_n150,2.19306012554,-2.96019135381
A1_visible_n150,2.23055794917,-3.0229711334
A1_visible_n150,2.26805577279,-3.03767314249
A1_visible_n150,2.30555359641,-2.99253207818
A1_visible_n150,2.34305142004,-2.87495545194
