N,N_value,Condition,3A (%),MD (%),Ratio (3A/MD)
10⁴,10000,All points,-17.14397916012059,43.62804565173483,-0.39295776155031314
10⁴,10000,Top 10% |M₄|,-6.001409304082264,35.6103454698676,-0.16852993771600658
10⁵,100000,All points,30.410651637654468,27.250609512722395,1.115962254842658
10⁵,100000,Top 10% |M₄|,38.19077414885505,22.05978129713028,1.731239926382372
10⁶,1000000,All points,12.940627177940945,35.720038015946024,0.36227921068180363
10⁶,1000000,Top 10% |M₄|,21.918543556251247,30.34944700118548,0.7222056980278779
