function,function_label,t_value,magnitude,M,R_comp
zeta,$\zeta$ (Riemann zeta),9654.0,15.710188352791121,0.49972633065362004,0.0013476524715198266
zeta,$\zeta$ (Riemann zeta),9826.0,15.661042671435704,0.49157275865199995,0.0009868702419823772
zeta,$\zeta$ (Riemann zeta),7578.0,15.417136197388933,0.5460700242483402,0.0014395039704308663
zeta,$\zeta$ (Riemann zeta),6726.0,15.222039108966094,0.5446883535381152,0.0011978651066117964
zeta,$\zeta$ (Riemann zeta),8476.0,15.122170302929147,0.5149245299275125,0.003378724037324434
zeta,$\zeta$ (Riemann zeta),8647.0,15.05717743215449,0.4991184302019004,0.0031059040604387
zeta,$\zeta$ (Riemann zeta),4478.0,14.597083731030942,0.5782133382732709,0.0021518722431968984
zeta,$\zeta$ (Riemann zeta),8956.0,14.437149928045395,0.5230764168206198,0.0015221593544372666
zeta,$\zeta$ (Riemann zeta),9128.0,14.28715705487012,0.5203345367652357,0.0018255248974857602
zeta,$\zeta$ (Riemann zeta),9174.0,14.00610649825162,0.5057276718704382,0.004903463253799526
zeta,$\zeta$ (Riemann zeta),7995.0,14.003412804613772,0.5491251582183487,0.0008136525222316775
zeta,$\zeta$ (Riemann zeta),5919.0,13.890147560721786,0.47731027685379784,0.000749321347002572
zeta,$\zeta$ (Riemann zeta),8104.0,13.853991703078066,0.49290908096299424,0.0040744028220895375
zeta,$\zeta$ (Riemann zeta),6445.0,13.841536139301423,0.5133522990848988,0.0029683631070196686
zeta,$\zeta$ (Riemann zeta),5176.0,13.82252242025219,0.5750855932322049,0.00165468850289205
zeta,$\zeta$ (Riemann zeta),6028.0,13.709718143630026,0.5539042035941532,0.0006477270307127796
zeta,$\zeta$ (Riemann zeta),4759.0,13.557547604540044,0.4900968254548704,0.0012767081995413172
zeta,$\zeta$ (Riemann zeta),9545.0,13.54038481285373,0.5944607613735635,0.0008952089319656845
zeta,$\zeta$ (Riemann zeta),3100.0,13.39781914282395,0.5901845214562588,0.0017573246898709527
zeta,$\zeta$ (Riemann zeta),9436.0,13.166028331130384,0.5049642676043056,0.002780084663621817
zeta,$\zeta$ (Riemann zeta),7859.0,12.97704471143384,0.5081855545123365,0.002053941543827836
zeta,$\zeta$ (Riemann zeta),5828.0,12.924921938073803,0.4788805352769117,0.0017602915219969324
zeta,$\zeta$ (Riemann zeta),3626.0,12.829039504071934,0.5459969975633993,0.0014754361309654083
zeta,$\zeta$ (Riemann zeta),3826.0,12.81409110552553,0.5133987240575298,0.0016178497978950842
zeta,$\zeta$ (Riemann zeta),7378.0,12.792926434157884,0.5718069372559028,0.0006230853385957198
zeta,$\zeta$ (Riemann zeta),9328.0,12.737549781460997,0.5205937786638692,0.0012803503315977189
zeta,$\zeta$ (Riemann zeta),4895.0,12.732508443548863,0.49579853289933035,0.0014156356949974267
zeta,$\zeta$ (Riemann zeta),8893.0,12.703729317542976,0.5499179851728302,0.0025190250186075103
zeta,$\zeta$ (Riemann zeta),5267.0,12.658434467853596,0.5178997020002059,0.0009115689827082713
zeta,$\zeta$ (Riemann zeta),5130.0,12.640744026566642,0.4896719602717012,0.001356788253912584
zeta,$\zeta$ (Riemann zeta),6617.0,12.63798732755519,0.549232095064954,0.0022200418873333056
zeta,$\zeta$ (Riemann zeta),8757.0,12.610763812876034,0.4868572105658035,0.006320711334678677
zeta,$\zeta$ (Riemann zeta),2819.0,12.591252809228415,0.5134646611693169,0.0004906524612484916
zeta,$\zeta$ (Riemann zeta),8385.0,12.537137715508088,0.48986783221475727,0.0019451809933182344
zeta,$\zeta$ (Riemann zeta),9745.0,12.469717358100345,0.5355790353506185,0.004825816228295429
zeta,$\zeta$ (Riemann zeta),7714.0,12.390232941875663,0.5597468887129309,0.004835792167975221
zeta,$\zeta$ (Riemann zeta),5657.0,12.341807899702255,0.5158303391824769,0.0021812826150572687
zeta,$\zeta$ (Riemann zeta),3517.0,12.279777127328202,0.4951980636637837,0.0013899951735300235
zeta,$\zeta$ (Riemann zeta),6137.0,12.275221830571008,0.5627272786818632,0.001481853081166337
zeta,$\zeta$ (Riemann zeta),7469.0,12.203367027291531,0.5926381093355209,0.0014157290183708082
zeta,$\zeta$ (Riemann zeta),6200.0,12.176673816287881,0.6263814068837368,0.0011668096290909842
zeta,$\zeta$ (Riemann zeta),3209.0,12.076019034449766,0.5254127928382869,0.0005561492452968036
zeta,$\zeta$ (Riemann zeta),6926.0,12.066703062394003,0.653120681920686,0.0006334338426910505
zeta,$\zeta$ (Riemann zeta),8230.0,11.966675097217836,0.5707421505592145,0.0017794262450899587
zeta,$\zeta$ (Riemann zeta),5411.0,11.950245839426291,0.46078265102952254,0.0016844683092406027
zeta,$\zeta$ (Riemann zeta),5747.0,11.85213843448791,0.4793187677665038,0.0006260088537662004
zeta,$\zeta$ (Riemann zeta),6074.0,11.845017098045998,0.4847158339668868,0.0030326012042061067
zeta,$\zeta$ (Riemann zeta),7143.0,11.747706069067554,0.5439400260780207,0.0030156953409992936
zeta,$\zeta$ (Riemann zeta),6645.0,11.698417220199682,0.46347419608734497,0.0007540452260624477
zeta,$\zeta$ (Riemann zeta),7452.0,11.686447072553863,0.4783849378300952,0.003640254377137358
L_chi4,$L(\chi_4)$ mod 5,8788.0,16.863867096548276,0.48411281027325737,0.001974028463381055
L_chi4,$L(\chi_4)$ mod 5,8335.0,16.643111586216623,0.5299613683297111,0.006232413551277045
L_chi4,$L(\chi_4)$ mod 5,7764.0,16.58634941201021,0.6021899435923878,0.0048880208766661935
L_chi4,$L(\chi_4)$ mod 5,6912.0,16.193796605089368,0.5290785459996813,0.0048396499754190265
L_chi4,$L(\chi_4)$ mod 5,6540.0,16.033737570787483,0.5457453795296615,0.00355575222888047
L_chi4,$L(\chi_4)$ mod 5,3286.0,15.70498933427855,0.5455456856131986,0.002618271431819595
L_chi4,$L(\chi_4)$ mod 5,7392.0,15.626444569071204,0.5141264627334453,0.0012235749762293635
L_chi4,$L(\chi_4)$ mod 5,8988.0,15.318066736534846,0.5142229742825556,0.006045438043978971
L_chi4,$L(\chi_4)$ mod 5,9033.0,15.145833494493765,0.5437357482631673,0.00385579221190688
L_chi4,$L(\chi_4)$ mod 5,8616.0,14.935774491195026,0.5178325814448819,0.0019010692704855476
L_chi4,$L(\chi_4)$ mod 5,5081.0,14.879558802204032,0.4857561737524133,0.004793017609345219
L_chi4,$L(\chi_4)$ mod 5,5516.0,14.352833761941628,0.5342225686593647,0.0005951611491912039
L_chi4,$L(\chi_4)$ mod 5,3857.0,14.34088092471076,0.5236852963452403,0.0037027762971284187
L_chi4,$L(\chi_4)$ mod 5,4790.0,14.14613715962436,0.5166961971028516,0.005275917704080769
L_chi4,$L(\chi_4)$ mod 5,6105.0,13.939697245790862,0.5136380418826205,0.002749977528127915
L_chi4,$L(\chi_4)$ mod 5,3766.0,13.933829689355736,0.5050345065298303,0.004954225079006965
L_chi4,$L(\chi_4)$ mod 5,1564.0,13.92206467651143,0.5223530296261827,0.0034734012251984975
L_chi4,$L(\chi_4)$ mod 5,8181.0,13.591952410607984,0.6398663781127006,0.0008840694364246399
L_chi4,$L(\chi_4)$ mod 5,7483.0,13.495595294946954,0.6430596483303073,0.006063952325075806
L_chi4,$L(\chi_4)$ mod 5,9640.0,13.436292689998663,0.5514893938350726,0.002758968482266712
L_chi4,$L(\chi_4)$ mod 5,5888.0,13.398272489167132,0.6981620658905423,0.004887863465580029
L_chi4,$L(\chi_4)$ mod 5,6042.0,13.246873614400489,0.5547534637912331,0.0017339201590872296
L_chi4,$L(\chi_4)$ mod 5,7266.0,13.136213400254633,0.5089327382096168,0.0006558887174410703
L_chi4,$L(\chi_4)$ mod 5,8707.0,13.129320709202231,0.5114986798188625,0.0013637776867108506
L_chi4,$L(\chi_4)$ mod 5,9577.0,13.093038251216024,0.638808018266299,0.004514037256968354
L_chi4,$L(\chi_4)$ mod 5,9994.0,13.091535089929415,0.5717616683959714,0.0012493440839230607
L_chi4,$L(\chi_4)$ mod 5,2416.0,12.90543814997459,0.5229782360696736,0.001518790276739208
L_chi4,$L(\chi_4)$ mod 5,6740.0,12.894130865074318,0.5928185677825103,0.0020523070308489885
L_chi4,$L(\chi_4)$ mod 5,9714.0,12.852744003317916,0.5286091916969103,0.0020081042427905326
L_chi4,$L(\chi_4)$ mod 5,2914.0,12.841443008262635,0.5860491613000802,0.002442842960838496
L_chi4,$L(\chi_4)$ mod 5,9205.0,12.573131217347512,0.6742027349026231,0.0034175707292766946
L_chi4,$L(\chi_4)$ mod 5,8290.0,12.520084756472244,0.7658593992448438,0.001415971429479848
L_chi4,$L(\chi_4)$ mod 5,3440.0,12.348010737143023,0.7215584029161192,0.002805461472148237
L_chi4,$L(\chi_4)$ mod 5,3612.0,12.327440930720567,0.5136671859116624,0.0022801754577451176
L_chi4,$L(\chi_4)$ mod 5,6803.0,12.324135993066882,0.5659584766590536,0.003465047756207091
L_chi4,$L(\chi_4)$ mod 5,7238.0,12.288289462066652,0.7813748887767336,0.003314586549925836
L_chi4,$L(\chi_4)$ mod 5,4229.0,12.261529796514004,0.5148847485007545,0.0013808162989277944
L_chi4,$L(\chi_4)$ mod 5,2588.0,12.242309320167992,0.7124939412342464,0.0018344275695433
L_chi4,$L(\chi_4)$ mod 5,7193.0,12.216609051650137,0.6076453675467082,0.004736207290807159
L_chi4,$L(\chi_4)$ mod 5,4709.0,12.187997018870863,0.6551766058337081,0.0040075531831295945
L_chi4,$L(\chi_4)$ mod 5,5579.0,12.179577607069055,0.5900527433645073,0.0016532961452821737
L_chi4,$L(\chi_4)$ mod 5,2062.0,12.134447733480146,0.6432630941308662,0.0017133013548547378
L_chi4,$L(\chi_4)$ mod 5,7610.0,12.132463566165548,0.7827999670211874,0.003550368171855448
L_chi4,$L(\chi_4)$ mod 5,5162.0,12.011902640761196,0.6136655260305535,0.00209943493800282
L_chi4,$L(\chi_4)$ mod 5,9359.0,11.899248081757642,0.7975948804983329,0.0029753190746501304
L_chi4,$L(\chi_4)$ mod 5,2851.0,11.866463253978843,0.6868222730160505,0.0023808700997032246
L_chi4,$L(\chi_4)$ mod 5,8770.0,11.802958793587615,0.6566923919373356,0.002283769959009914
L_chi4,$L(\chi_4)$ mod 5,8045.0,11.752195326556066,0.6639885401396907,0.003321109065833732
L_chi4,$L(\chi_4)$ mod 5,5207.0,11.69305079027157,0.4958987424298798,0.002239580325145433
L_chi4,$L(\chi_4)$ mod 5,9233.0,11.668616668897299,0.5835602661600093,0.0030817318690240566
f_rand,$f_{\mathrm{rand}}$ (Random mult.),8241.0,29.318004570654374,0.5421665911070958,0.017129867753623
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6737.0,22.725988401158588,0.552649485700417,0.022155389124202847
f_rand,$f_{\mathrm{rand}}$ (Random mult.),1526.0,22.686619232342288,0.48525334833619044,0.035816147576180575
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4289.0,21.7877676143006,0.7654275735995485,0.020566271212196372
