t,M_t,R_comp_t
1000.0,0.6977157520530621,0.002474142690544693
1001.001001001001,5.434397837077147,0.00217800461284414
1002.002002002002,4.5538034604268915,0.0032172897905268756
1003.003003003003,1.5911553515207282,0.006598490335903785
1004.0040040040041,1.0720633165612536,0.003435640611516204
1005.005005005005,0.7129996789512852,0.0038633483634722726
1006.006006006006,0.8748247435921541,0.004132741129052371
1007.007007007007,3.347588851127437,0.0021637325912234363
1008.008008008008,2.5553456815038547,0.00402014632355333
1009.009009009009,0.743694363649646,0.002435470055033569
1010.01001001001,0.6292601147339542,0.005879679148556374
1011.011011011011,0.7518578827341527,0.007026905538234704
1012.0120120120121,3.5538440756045344,0.004099297651839429
1013.013013013013,0.639166087517914,0.002625249251043207
1014.014014014014,2.3380198989166785,0.001456221675479311
1015.015015015015,0.6417936632780514,0.0018758839633063562
1016.016016016016,0.8363775549114117,0.0011743364645296712
1017.017017017017,4.102177276541533,0.0008248033629314862
1018.018018018018,3.080765049677978,0.0022426953692173666
1019.019019019019,1.1690865301346276,0.0031577951529024703
1020.0200200200201,0.9587927416090231,0.0019151884690843455
1021.021021021021,0.6953713892188671,0.006269690686448223
1022.022022022022,0.8781270954100794,0.009142367816575578
1023.023023023023,0.6506303593926364,0.005369224466722598
1024.0240240240241,2.925135414871628,0.001718080185912585
1025.0250250250251,4.292301686288094,0.002354427438860545
1026.026026026026,0.8043503218183543,0.001898174286256423
1027.027027027027,4.860882636331985,0.003928816167726077
1028.028028028028,0.8862320083261755,0.0056084878615114365
1029.029029029029,1.0689451730494397,0.003602492070597731
1030.03003003003,1.0918528298272294,0.004443268227478787
1031.031031031031,0.7470758326922433,0.003147350737713722
1032.032032032032,0.6242467386567926,0.002652424411218955
1033.033033033033,0.6449437848084902,0.0017701854960752966
1034.034034034034,3.6133999036032685,0.0014655721396851665
1035.035035035035,1.5220054460765906,0.0016860284952070932
1036.036036036036,3.9064942026975062,0.0034776968607488586
1037.037037037037,0.8701506450780935,0.0022290622916983616
1038.038038038038,0.8622704815663519,0.0018930445034376043
1039.039039039039,0.662610582335274,0.0019749438863454556
1040.0400400400401,1.5960946554868576,0.002572631909271124
1041.0410410410411,1.177330682823648,0.0020411724429658966
1042.042042042042,1.3919102241011128,0.000835271044262236
1043.043043043043,5.892235485714732,0.0006100426672354145
1044.044044044044,2.165474524096591,0.0030096931757455335
1045.045045045045,0.6730944718599629,0.0038199193625528863
1046.046046046046,1.699611348726472,0.002357124835481381
1047.047047047047,1.4900273359434653,0.0016079787043494025
1048.048048048048,0.7613060742766556,0.000880185880687893
