t,function,GRH_label,feat_A_log_peak,feat_B_curvature,feat_C_roughness,split
2447.6499999986836,F1_zeta,1,2.592794579437689,2.7632081762036313,0.031987646057153575,train
2819.1499999983453,F1_zeta,1,2.569746108248118,2.9420357354172557,0.03296463472662727,train
3099.89999999809,F1_zeta,1,2.6010494236572455,3.062941461766665,0.03294449402037755,train
3825.79999999743,F1_zeta,1,2.6019903959039565,3.232575383344777,0.03388753853185824,train
3997.6999999972736,F1_zeta,1,2.608115637585493,3.424604821320926,0.03476857464276021,train
4169.349999997117,F1_zeta,1,2.5803424920338713,3.4505754126781785,0.03569030603007138,train
4278.4499999970185,F1_zeta,1,2.58952867282535,3.493370601556135,0.035044426444424924,train
4478.099999996837,F1_zeta,1,2.6915751953886082,3.334578604803519,0.0326709414798526,train
4649.699999996681,F1_zeta,1,2.563072172482938,3.7139596543173865,0.03707887109610235,train
4758.949999996581,F1_zeta,1,2.6063504620429496,3.5743025955827874,0.035891849254588284,train
5130.149999996243,F1_zeta,1,2.5667283295688765,3.8158556815616738,0.03871222028320109,train
5176.099999996202,F1_zeta,1,2.6420724776324027,3.6179002120558574,0.03442419140811286,train
5266.749999996119,F1_zeta,1,2.6717512405573114,3.4885264689569944,0.03451868202885296,train
5547.549999995864,F1_zeta,1,2.6605058465684706,3.7762512180354717,0.03650654312989043,train
5656.7499999957645,F1_zeta,1,2.6246145955934637,3.7993697142182934,0.03541668393013952,train
5827.999999995609,F1_zeta,1,2.5608806901292445,3.963246352579819,0.03799625801196521,train
5918.999999995526,F1_zeta,1,2.6341522800275894,3.780934341596869,0.035762389339783957,train
6028.099999995427,F1_zeta,1,2.633693147909128,3.9467171083841466,0.03623596261384785,train
6136.849999995328,F1_zeta,1,2.5656633033121365,4.110468243425,0.03900853887090725,train
6199.699999995271,F1_zeta,1,2.6575312821425916,3.830051882366358,0.03573894569414246,train
6273.5499999952035,F1_zeta,1,2.57987413347734,3.9176821470876457,0.0361393754514091,train
6445.099999995047,F1_zeta,1,2.6395822268705986,4.008400123386153,0.03830184269187986,train
6508.54999999499,F1_zeta,1,2.659018656110425,3.8194701806509914,0.034743108391780166,train
6726.099999994793,F1_zeta,1,2.747177250802541,3.7159228743101926,0.035111325612727874,train
6925.599999994611,F1_zeta,1,2.7688673713658005,3.690578188888708,0.034573802447014454,train
