n,a_n_real,a_n_imag,a_n_magnitude,omega_n,is_squarefree
133,-0.1986028939392892,0.0,0.1986028939392892,2,True
134,-1.0,0.0,1.0,2,True
135,0.0,0.0,0.0,0,False
136,0.0,0.0,0.0,0,False
137,0.1986028939392892,0.0,0.1986028939392892,1,True
138,-0.1986028939392892,0.0,0.1986028939392892,3,True
139,-1.0,0.0,1.0,1,True
140,0.0,0.0,0.0,0,False
141,1.0,0.0,1.0,2,True
142,0.1986028939392892,0.0,0.1986028939392892,2,True
143,-0.1986028939392892,0.0,0.1986028939392892,2,True
144,0.0,0.0,0.0,0,False
145,0.0,0.0,0.0,0,True
146,1.0,0.0,1.0,2,True
147,0.0,0.0,0.0,0,False
148,0.0,0.0,0.0,0,False
149,-1.0,0.0,1.0,1,True
150,0.0,0.0,0.0,0,False
151,1.0,0.0,1.0,1,True
152,0.0,0.0,0.0,0,False
153,0.0,0.0,0.0,0,False
154,-1.0,0.0,1.0,3,True
155,0.0,0.0,0.0,0,True
156,0.0,0.0,0.0,0,False
157,0.1986028939392892,0.0,0.1986028939392892,1,True
158,-0.1986028939392892,0.0,0.1986028939392892,2,True
159,-1.0,0.0,1.0,2,True
160,0.0,0.0,0.0,0,False
161,1.0,0.0,1.0,2,True
162,0.0,0.0,0.0,0,False
163,-0.1986028939392892,0.0,0.1986028939392892,1,True
164,0.0,0.0,0.0,0,False
165,0.0,0.0,0.0,0,True
166,1.0,0.0,1.0,2,True
167,0.1986028939392892,0.0,0.1986028939392892,1,True
168,0.0,0.0,0.0,0,False
169,0.0,0.0,0.0,0,False
170,0.0,0.0,0.0,0,True
171,0.0,0.0,0.0,0,False
172,0.0,0.0,0.0,0,False
173,-0.1986028939392892,0.0,0.1986028939392892,1,True
174,-1.0,0.0,1.0,3,True
175,0.0,0.0,0.0,0,False
176,0.0,0.0,0.0,0,False
177,0.1986028939392892,0.0,0.1986028939392892,2,True
178,-0.1986028939392892,0.0,0.1986028939392892,2,True
179,-1.0,0.0,1.0,1,True
180,0.0,0.0,0.0,0,False
181,1.0,0.0,1.0,1,True
182,0.1986028939392892,0.0,0.1986028939392892,3,True
183,-0.1986028939392892,0.0,0.1986028939392892,2,True
184,0.0,0.0,0.0,0,False
185,0.0,0.0,0.0,0,True
186,1.0,0.0,1.0,3,True
187,0.1986028939392892,0.0,0.1986028939392892,2,True
188,0.0,0.0,0.0,0,False
189,0.0,0.0,0.0,0,False
190,0.0,0.0,0.0,0,True
191,1.0,0.0,1.0,1,True
192,0.0,0.0,0.0,0,False
193,-0.1986028939392892,0.0,0.1986028939392892,1,True
194,-1.0,0.0,1.0,2,True
195,0.0,0.0,0.0,0,True
196,0.0,0.0,0.0,0,False
197,0.1986028939392892,0.0,0.1986028939392892,1,True
198,0.0,0.0,0.0,0,False
199,-1.0,0.0,1.0,1,True
200,0.0,0.0,0.0,0,False
201,1.0,0.0,1.0,2,True
202,0.1986028939392892,0.0,0.1986028939392892,2,True
203,-0.1986028939392892,0.0,0.1986028939392892,2,True
204,0.0,0.0,0.0,0,False
205,0.0,0.0,0.0,0,True
206,1.0,0.0,1.0,2,True
207,0.0,0.0,0.0,0,False
208,0.0,0.0,0.0,0,False
209,-1.0,0.0,1.0,2,True
210,0.0,0.0,0.0,0,True
211,1.0,0.0,1.0,1,True
212,0.0,0.0,0.0,0,False
213,-0.1986028939392892,0.0,0.1986028939392892,2,True
214,-1.0,0.0,1.0,2,True
215,0.0,0.0,0.0,0,True
216,0.0,0.0,0.0,0,False
