Function,Resonance Location (t),|D_F| at Location,R_comp at Location,Distance from Canonical
L_DH (canonical),85.7,0.8200214911424335,0.002910882875122797,0.0
L_DH^(ε=0.01),80.5,1.2335887037004372,0.0012491455755682642,5.200000000000003
L_DH^(ε=-0.05) [NEW],80.85999999999993,3.540968145766472,0.0031649139701070013,4.8400000000000745
