function,peak_idx,t_value,magnitude,M_coh,R_comp,ACF_sum_squared,class,predicted_linear,predicted_rbf,true_label
zeta,0,9654.0,15.689682125041465,0.14242970459783857,6.026804337074582,0.0,Standard,1,1,0
zeta,1,9826.0,15.660670703637631,0.07595049126205199,5.6817820031508735,0.0,Standard,1,1,0
zeta,2,7578.0,15.409489134585545,0.1661544631386199,6.0552559981009555,0.0,Standard,1,1,0
zeta,3,6726.0,15.182852243251402,0.43009933887333607,5.1377063551952205,0.0,Standard,1,1,0
zeta,4,8476.0,15.148347174121616,0.3918993116786931,5.085591379748771,0.0,Standard,1,1,0
zeta,5,4478.0,14.549091629521303,0.17643679623870087,5.4458613080919145,0.0,Standard,1,1,0
zeta,6,8956.0,14.431573814815936,0.04112001731031049,5.127147882096257,0.0,Standard,1,1,0
zeta,7,9128.0,14.302390309987848,0.18426495165608525,4.570921965756739,0.0,Standard,1,1,0
zeta,8,9174.0,14.02870739902935,0.144372249872855,4.263205044078721,0.0,Standard,1,1,0
zeta,9,8104.0,13.817863751578276,0.08206677041220711,4.347036210083474,0.0,Standard,1,1,0
zeta,10,5176.0,13.769719506556566,0.17668235110673963,4.328416921061437,0.0,Standard,1,1,0
zeta,11,6028.0,13.688263990051935,0.15893118225726022,4.376185235769654,0.0,Standard,1,1,0
zeta,12,3100.0,13.328385491910627,0.1835141652332959,4.576628151121662,0.0,Standard,1,1,0
zeta,13,9436.0,13.159905228427839,0.2069781454557478,4.25522008097063,0.0,Standard,1,1,0
zeta,14,5828.0,12.963745577420836,0.2789730729946795,5.216559852053346,0.0,Standard,1,1,0
zeta,15,3626.0,12.811130353998625,0.04412417155777484,5.3152359459625265,0.0,Standard,1,1,0
zeta,16,3826.0,12.800006049183486,0.02872077200429154,4.810985139251626,0.0,Standard,1,1,0
zeta,17,7378.0,12.759363305659784,0.16554715473138185,4.178917753038133,0.0,Standard,1,1,0
zeta,18,9328.0,12.729628071055727,0.04877345164171392,4.020271999166582,0.0,Standard,1,1,0
zeta,19,5130.0,12.645812204422613,0.310052100181526,3.936991147169837,0.0,Standard,1,1,0
zeta,20,7714.0,12.421919976657119,0.14218388690817874,4.853362782301328,0.0,Standard,1,1,0
zeta,21,6200.0,12.155364542169904,0.03714111844817452,3.9627730738354074,0.0,Standard,1,1,0
zeta,22,6926.0,12.091426189549495,0.027496168747501666,4.023789483530067,0.0,Standard,1,1,0
zeta,23,8230.0,11.942481330285526,0.17054168608872178,3.6661261907145986,0.0,Standard,1,1,0
zeta,24,6074.0,11.84024281803562,0.17767565662389193,3.7186176061406115,0.0,Standard,1,1,0
zeta,25,3998.0,11.712344370550008,0.04873627131838183,3.900107444040199,0.0,Standard,1,1,0
zeta,26,7452.0,11.702124516293463,0.1239876675007616,4.19503164161944,0.0,Standard,1,1,0
zeta,27,6680.0,11.626815281567783,0.25333520963581546,3.763654773423753,0.0,Standard,1,1,0
zeta,28,4850.0,11.585133845070763,0.24300701787533374,4.500408870783338,0.0,Standard,1,1,0
zeta,29,6852.0,11.579666577740095,0.13731072943894707,4.0248270297426,0.0,Standard,1,1,0
zeta,30,5376.0,11.448806025080849,0.11311777483462616,3.8901255884597106,0.0,Standard,1,1,0
zeta,31,5348.0,11.417249644308665,0.17069357884737968,3.866691183728792,0.0,Standard,1,1,0
zeta,32,3952.0,11.40213775637821,0.08955540807484828,3.966181687242576,0.0,Standard,1,1,0
zeta,33,2448.0,11.129513384000669,0.013395525926106615,4.26513455709162,0.0,Standard,1,1,0
zeta,34,8802.0,11.111463059283697,0.26953759000349564,4.900901374489239,0.0,Standard,1,1,0
zeta,35,1550.0,11.108005420116527,0.06140067883595451,4.596055591542854,0.0,Standard,1,1,0
zeta,36,2202.0,11.088920123308233,0.05177239507231018,3.8212653812234576,0.0,Standard,1,1,0
zeta,37,3752.0,11.06830371540519,0.004164427656143062,4.270676979799499,0.0,Standard,1,1,0
zeta,38,2974.0,10.943849678898957,0.06274919994960611,3.801906053995699,0.0,Standard,1,1,0
zeta,39,8276.0,10.893800557178544,0.09463657742774655,3.4131061868999075,0.0,Standard,1,1,0
zeta,40,2928.0,10.787720318309214,0.11242498180967232,3.6011012155718243,0.0,Standard,1,1,0
zeta,41,4650.0,10.73667095469148,0.32131807063234125,4.532671311336798,0.0,Standard,1,1,0
zeta,42,7234.0,10.525344546008654,0.05315455250456651,3.325872556834504,0.0,Standard,1,1,0
zeta,43,8304.0,10.403370843005993,0.08183986438914669,3.4203943694016608,0.0,Standard,1,1,0
zeta,44,5502.0,10.402013372687941,0.2090313908247648,4.092612620452729,0.0,Standard,1,1,0
zeta,45,7824.0,10.206714096421857,0.05804586109965012,4.201927998349633,0.0,Standard,1,1,0
zeta,46,9264.0,10.17846485865139,0.23989795952007922,2.9768761709492995,0.0,Standard,1,1,0
zeta,47,9002.0,10.178246799197138,0.021806043799946974,3.429552724888979,0.0,Standard,1,1,0
zeta,48,2076.0,10.117630431239355,0.059050528763425605,3.469233943132388,0.0,Standard,1,1,0
zeta,49,5702.0,10.07628940013329,0.03817886662052491,4.088252269545856,0.0,Standard,1,1,0
L_chi4,0,8788.0,16.86218168542336,0.1679667367093298,4.931371439516307,12.432617812500002,Standard,1,0,0
L_chi4,1,7764.0,16.589172629142922,0.7600740130933253,5.105867063957255,12.432617812500002,Standard,1,1,0
L_chi4,2,6912.0,16.19520134673941,0.1728598540023878,5.145639279220853,12.432617812500002,Standard,1,0,0
L_chi4,3,6540.0,16.03754605289974,0.02765863111495397,5.243165300021333,12.432617812500002,Standard,1,0,0
L_chi4,4,3286.0,15.706409245220495,0.3229351684861316,5.662859874505735,12.432617812500002,Standard,1,0,0
L_chi4,5,7392.0,15.631230459890604,0.1566264095942502,5.3381762988558545,12.432617812500002,Standard,1,0,0
L_chi4,6,8988.0,15.311595403491026,0.2574173009130682,5.080761505153659,12.432617812500002,Standard,1,0,0
L_chi4,7,8616.0,14.938715251725855,0.13468851004606971,4.593597496376791,12.432617812500002,Standard,1,0,0
L_chi4,8,5516.0,14.355651736409824,0.18056264692411636,4.751747682517501,12.432617812500002,Standard,1,0,0
L_chi4,9,4790.0,14.14797538031042,0.2933598687265117,4.571288678576394,12.432617812500002,Standard,1,0,0
L_chi4,10,3766.0,13.934908280765582,0.07948746833465915,4.566387995599842,12.432617812500002,Standard,1,0,0
L_chi4,11,1564.0,13.922622291150411,0.007514091280192761,4.663173232234727,12.432617812500002,Standard,1,0,0
L_chi4,12,9640.0,13.43221890277921,0.02292578437175948,4.249007206094982,12.432617812500002,Standard,1,0,0
L_chi4,13,5888.0,13.400812085925736,0.023561678621019575,4.524684141783339,12.432617812500002,Standard,1,0,0
L_chi4,14,6042.0,13.249557877947359,0.030599340942119357,4.510814682517809,12.432617812500002,Standard,1,0,0
L_chi4,15,7266.0,13.135017322317982,0.09599448388760068,4.862570593110947,12.432617812500002,Standard,1,0,0
L_chi4,16,9994.0,13.09386385788999,0.16811813668054887,3.8567227764574565,12.432617812500002,Standard,1,0,0
L_chi4,17,2416.0,12.906096709161218,0.014320464238528454,4.404514454156622,12.432617812500002,Standard,1,0,0
L_chi4,18,6740.0,12.893392166394015,0.07329276923459302,4.199165738816864,12.432617812500002,Standard,1,0,0
