function,t_value,magnitude,M_coh,R_comp
zeta,9654.0,15.710188352791054,2.001095276873025,0.0013476524714632727
zeta,9826.0,15.661042671435457,2.0342868525553683,0.0009868702419124353
zeta,6925.5,15.507334243545824,1.8524458841417721,0.002320305602920388
zeta,7578.0,15.417136197388926,1.831266972357055,0.0014395039704510526
zeta,6726.0,15.222039108965888,1.8359122120102755,0.0011978651066021943
zeta,8476.0,15.122170302929337,1.9420321656471673,0.003378724037312347
zeta,8647.0,15.057177432154363,2.0035325074961112,0.0031059040604463324
zeta,9173.5,15.036376145643255,1.6786398640988989,0.0022888914342408645
zeta,4478.0,14.597083731030963,1.729465465093098,0.002151872243184655
zeta,7206.5,14.489717777576791,1.9659639819043062,0.0006006927602286813
zeta,8956.0,14.437149928045192,1.911766556172146,0.0015221593544277427
zeta,9128.0,14.287157054870068,1.9218405263210807,0.0018255248974903447
zeta,5547.5,14.256489901680554,1.7328504216113938,0.0006893760072393632
zeta,7097.5,14.25614493758004,1.7895990871655918,0.0016463310821857886
zeta,6508.5,14.195747493347433,1.9107128256486279,0.0009543456622558891
zeta,7378.5,14.160916559661093,1.8665832005743686,0.0014852033584187925
zeta,7995.0,14.00341280461342,1.8210784645976763,0.0008136525222398422
zeta,5919.0,13.89014756072183,2.0950732646933767,0.0007493213470156355
zeta,8104.0,13.853991703077941,2.028771711907888,0.004074402822112001
zeta,6445.0,13.841536139301374,1.947979977459529,0.0029683631070199852
zeta,5176.0,13.822522420252067,1.7388715901917116,0.001654688502898989
zeta,6028.0,13.709718143630196,1.8053663314184836,0.0006477270307435286
zeta,4759.0,13.557547604539987,2.0404131348369714,0.0012767081995263532
zeta,9545.0,13.54038481285354,1.6821968159681748,0.0008952089319900369
zeta,3100.0,13.397819142823748,1.6943853382200769,0.0017573246898724573
zeta,5266.5,13.239157559458993,1.8143110550760333,0.0019715800573840495
zeta,4278.5,13.232144052441335,1.9172710996771243,0.0009830958722078045
zeta,9436.0,13.166028331130724,1.9803381430223042,0.0027800846636602795
zeta,6273.5,13.149874412412853,2.180891101636047,0.0023599118610613482
zeta,7823.5,13.093128296965736,1.9890563447267742,0.0039296661958847035
zeta,8230.5,13.06078264188887,1.7233026485514473,0.0012135339163640154
zeta,6199.5,13.001029466493573,1.8760381502672974,0.0014436394933817732
zeta,7859.0,12.977044711433955,1.9677851743728438,0.0020539415438671996
zeta,5828.0,12.924921938073922,2.08820347943616,0.0017602915220032937
zeta,9744.5,12.919586600926097,1.7315100799889651,0.004481210615515081
zeta,2447.5,12.907554736738904,1.6679333058933377,0.001983652070684467
zeta,3626.0,12.829039504071774,1.831511902927756,0.0014754361309433995
zeta,3826.0,12.814091105525502,1.9478038279810523,0.0016178497978935212
zeta,4169.5,12.766027485852707,1.778246271892891,0.001469052888848324
zeta,9328.0,12.737549781461011,1.9208835006941325,0.001280350331561779
zeta,4895.0,12.732508443549058,2.0169482837159562,0.0014156356949828546
zeta,8893.0,12.703729317543074,1.8184529820125328,0.002519025018567012
zeta,5130.0,12.640744026566598,2.04218350473757,0.0013567882539221089
