N,Mean_|D|,Mean_r,Mean_Adjacent_%,Mean_NonAdjacent_%,Std_r,Std_Adjacent_%
10^6,13.57288990919532,3.2661134305298907,54.611162178760836,45.388837821239164,1.1817722843470078,18.287537410358286
10^7,13.753545019151707,3.681640449895923,49.9979182409249,50.0020817590751,1.568052509082774,14.83544379073334
Change,0.1806551099563869,0.4155270193660323,-4.613243937835932,4.613243937835932,,
