function,name,d,q,GRH,t,abs_S_total,abs_S0,abs_S1,abs_S2,abs_S3,abs_S4,abs_S5,abs_S6,abs_S7,log_abs_S0,log_abs_S1,log_abs_S2,log_abs_S3,log_abs_S4,log_abs_S5,log_abs_S6,log_abs_S7,pc1_complex,H_complex
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,14503.240000016383,18.313529618872295,1.0,3.704620915331435,6.4976050726364925,5.38144123263212,1.780418637830103,0.21052045531081584,0.006177977810092565,0.0,0.0,1.3095809364637585,1.871433658643462,1.682956225404691,0.576848526443403,-1.5581724557076386,-5.086764276254488,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,14490.050000016336,17.48747484949629,1.0,3.49540566412533,6.24707207577976,5.256211926022897,2.1763646775462475,0.24306655108278463,0.008284908702019991,0.0,0.0,1.2514494388000696,1.8321128861077143,1.6594106011500607,0.7776559057360507,-1.4144200003692282,-4.793319647836025,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19421.740000034275,17.03396526344107,1.0,4.057488584773825,6.010744178196787,4.167153134893789,1.6082343473479137,0.21639730473281135,0.006873039806150821,0.0,0.0,1.4005642070382216,1.7935485642088933,1.427233101199627,0.4751368985384095,-1.5306391871113523,-4.980148795189017,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17086.990000025784,16.785020600584236,1.0,3.1779051131855307,5.292961296480693,5.463633098248829,1.9446370001563817,0.21740275762936925,0.008334754741837834,0.0,0.0,1.1562222102696424,1.6663778806406697,1.6981139710843285,0.6650753273420892,-1.5260036197877616,-4.7873211883067475,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,18527.820000031024,16.740309501854906,1.0,3.8571123551836908,6.188857321750869,4.214593737930862,1.3796016953093353,0.11505801552864375,0.004476157509077485,0.0,0.0,1.3499188090024086,1.82275046896925,1.4385532019759666,0.3217948309210052,-2.162318794969811,-5.408990299456006,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15962.350000021692,16.52234039286621,1.0,3.763280806357305,5.693560697508425,4.293222201348269,1.5735970086309266,0.20515141021295538,0.005614957989216956,0.0,0.0,1.3252911318293494,1.7393358340544862,1.4570375468939512,0.4533640871192014,-1.5840069860597794,-5.1823211727045,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15273.550000019186,16.250389066246075,1.0,3.6927718453177176,6.71133935592892,4.42793534721172,0.49551007965611604,0.05335473599764165,0.001700076316841281,0.0,0.0,1.3063773536526342,1.9037985370156318,1.4879334138391007,-0.702167583025222,-2.9307925329599307,-6.377082136668017,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10677.760000002465,15.82464941630692,1.0,3.2982090589719584,6.05121639409636,4.587727892266512,1.4354067623315427,0.13196915119819777,0.0009949693727066657,0.0,0.0,1.1933796117499462,1.8002593087089567,1.5233848889351784,0.36144826711569716,-2.0251870867525343,-6.912798602478763,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12019.550000007346,15.912226983984976,1.0,3.3933121363149645,6.038570584774907,4.805002828231696,1.1809684872712891,0.07224628964455093,0.0030539144945180923,0.0,0.0,1.2218064757692255,1.7981673257889148,1.5696576310238923,0.16633485376971566,-2.627674307708957,-5.791331070443364,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10161.010000000586,15.234019412073225,1.0,3.427893454946584,5.56605785949424,4.105538501973512,1.0259886679031334,0.12114776192626435,0.005192993137976089,0.0,0.0,1.231945919431798,1.7166870582157208,1.4123369162675405,0.025656701758862203,-2.110744305466268,-5.260445035519617,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,13088.630000011237,14.938657290730557,1.0,3.6118103533825434,5.373008978209439,3.5919931921605652,1.2454564234798406,0.1363306058111976,0.004164621937870305,0.0,0.0,1.2842091295756994,1.6813880827315975,1.2787072551599181,0.2195020679380935,-1.9926724180824074,-5.481129778702902,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,11327.32000000483,14.627405094358314,1.0,3.1556685356764596,5.178077095236092,4.155543780094512,1.213010126913938,0.11559655343411834,0.002966443908311691,0.0,0.0,1.1492003707494503,1.6444337702173648,1.4244432934131561,0.19310497857828995,-2.157649137772075,-5.820391380817275,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12236.540000008137,14.625936632887738,1.0,3.5941212516294807,5.227979279379225,4.217776944259992,1.2402626768412364,0.11025188936783734,0.003918749016699329,0.0,0.0,1.2792995250291967,1.654024832360706,1.4393081987853598,0.21532319334512123,-2.204987627678779,-5.541982804505096,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,16756.510000024577,14.190016855573354,1.0,3.4227559398786775,5.234480805955109,3.8344307797475876,0.7860371016811833,0.06394824484436075,0.0024182787835038285,0.0,0.0,1.2304460569414204,1.6552676619361069,1.3440209960967628,-0.24075128451024264,-2.7496811970827815,-6.024699238355343,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15753.750000020933,14.017775095280047,1.0,3.6188413719048227,4.940693730781609,3.546685880156712,0.9398774274542542,0.09830476249354667,0.0030434563409578834,0.0,0.0,1.2861539115968654,1.5975057526725842,1.2660136125681338,-0.06200580854568893,-2.319682804441606,-5.79476145514456,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,18020.120000029176,13.793441839861481,1.0,3.4576919400852724,5.042869848163155,3.374659076456895,1.055829360708679,0.1653349771996691,0.003684197661751375,0.0,0.0,1.2406012971403704,1.6179753343465455,1.2162943048390544,0.05432658198896728,-1.7997816982348138,-5.603702507915656,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15056.310000018395,13.319431574564842,1.0,3.3422468312680143,5.320900389647764,3.1785921110692166,0.6937939184466896,0.04028072740863192,0.0025387745861277125,0.0,0.0,1.206643284797173,1.6716425352074267,1.1564383663890032,-0.3655803100561226,-3.2118821524906647,-5.976073760772816,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,16938.02000002524,13.159230761684194,1.0,3.668678543259688,4.881249999526236,2.551154165684342,0.9089531569685723,0.15103350932734014,0.005891237470867944,0.0,0.0,1.2998315272692385,1.5854013345088012,0.9365458707653777,-0.09546171862032178,-1.8902535507118423,-5.134289206464357,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19557.490000034773,13.068243502670132,1.0,3.56839101628468,5.006039186480113,2.8989664365657974,0.7401997869426732,0.03769859215807077,0.001209335375245406,0.0,0.0,1.2721147984791288,1.610645020881484,1.0643542722822243,-0.30083514686763546,-3.2781325285126974,-6.717684346937862,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,16122.170000022272,13.095117405994664,1.0,3.282266475962343,4.839931037462398,3.2775131441723797,0.7119376477202334,0.06117687141820253,0.0026276117737592305,0.0,0.0,1.1885341825353324,1.5769004721688478,1.1870849470740314,-0.3397649448315762,-2.7939860788960886,-5.941679916152513,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10683.300000002486,12.931205254372953,1.0,3.5346103379822,5.135316315671331,2.9134083143936156,0.5258617113157648,0.02591077906546404,0.0014488137476746119,0.0,0.0,1.2626030635647896,1.6361414414193178,1.0693236378741848,-0.6427170070541255,-3.6530962167218295,-6.537010162432214,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,11172.630000004267,12.98486210918871,1.0,3.2685458425273115,5.190649276992985,3.0430511393468294,0.5299157122550313,0.02186910661903194,0.001585446512630759,0.0,0.0,1.184345189527533,1.6468587908933263,1.112860676342741,-0.6350373185642075,-3.822680294737708,-6.446889199887146,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15210.420000018956,12.980657082948907,1.0,3.1873753440760857,4.897779646624405,3.1141247730483466,0.7603004977183146,0.04198284423864771,0.0003225696990071969,0.0,0.0,1.159197801978981,1.5887819690786853,1.1359481410253853,-0.2740415321138493,-3.170494214653959,-8.039191324126667,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,18727.70000003175,12.902185273054249,1.0,2.889402226552933,4.8765507375498505,3.2555981532194274,0.890737584195451,0.08557291759154975,0.0028626128137036314,0.0,0.0,1.0610496387063726,1.5844381538769547,1.1803760232078495,-0.1157054131895166,-2.4583864291704765,-5.856020499977536,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,15635.820000020503,12.821490473432922,1.0,3.3206868569415486,4.37486319499515,3.3160492386701197,1.0922018536869855,0.12664047449343555,0.0034240063487555,0.0,0.0,1.2001716461516736,1.4758752496052758,1.1987740859776792,0.08819570793918717,-2.0664031166267947,-5.676943966511749,-690.7755278982137,0.9406531374326456,0.2596092239156882
