function_class,num_points,N,mean_modulus,std_modulus,max_modulus,min_modulus
zeta,2000,10000,1.8798387092178763,2.1726931016271345,17.827928825570645,0.004204067841976495
L_DH,2000,10000,1.6818122434738112,1.3618271753611384,9.9853927524109,0.006636689553669711
liouville,2000,10000,1.9957913198018264,2.1214638217074584,30.682894638601063,0.04009958918202224
f_rand,2000,10000,2.331594874175954,2.08725657043083,17.47068489210383,0.05330721860203169
f_fully_rand,2000,10000,2.7389160547095828,1.4431383519437648,8.573474082818185,0.03333982165368151
