t_value,ordinate_type,V_1_real,V_1_imag,V_1_magnitude,V_2_real,V_2_imag,V_2_magnitude,delta_V_real,delta_V_imag,delta_V_magnitude,M_rel,theta_radians,theta_degrees
5130.0,peak,9.944968161014694,7.766237632260483,12.618115496552363,9.895397382369891,7.559070912308772,12.452246480548217,-0.04957077864480297,-0.20716671995171154,0.21301481627108226,0.016881666389032823,2.468658925043333,141.44373746228564
6200.0,peak,8.099082439032387,-9.085234939555473,12.171139234318304,8.11050835011562,-9.09317971726974,12.184673285232599,0.011425911083232876,-0.007944777714266493,0.01391657059088371,0.0011434073937502832,0.23513726951782388,13.47237314960145
8230.0,peak,5.816731702734922,10.53096763495492,12.030612911654563,5.71438692840983,10.358330151106207,11.830013587773138,-0.10234477432509159,-0.17263748384871214,0.20069417944043189,0.016681958011134326,3.111103617174546,178.25310689198568
13280.0,peak,10.786162116259673,-4.926665767396388,11.858049113655701,10.79866240452541,-4.977294015641938,11.890524187143962,0.01250028826573768,-0.05062824824555001,0.05214860235077808,0.004397738772284547,0.9002745533511344,51.58193231004526
6680.0,peak,10.26280691525993,5.637344106937928,11.70917821027312,10.317090563271238,5.61543349937991,11.746295206434178,0.05428364801130847,-0.021910607558018214,0.0585387834258376,0.004999392986817661,0.885937775311187,50.76049543654044
13000.0,peak,2.607687289916395,-11.362495200670546,11.657887037849212,2.575418130085814,-11.357757050361537,11.646090492513439,-0.032269159830581096,0.00473815030900937,0.03261516126776555,0.0027976906245424375,1.9421797171558983,111.27870084894494
11330.0,peak,11.389792352177652,-1.174133195254962,11.450151028956961,11.466054764957578,-1.105291262716327,11.51920486181418,0.07626241277992563,0.06884193253863513,0.10273834376059288,0.008972662762331416,0.8370273427514626,47.95813407670899
14830.0,peak,6.480501538578338,8.88035509283896,10.993525674979209,6.359113728074069,8.869268620872523,10.913397879477046,-0.1213878105042685,-0.011086471966436307,0.12189302851140739,0.011087710359273611,2.2922938979135052,131.33876575403625
13480.0,peak,10.573439303702557,-2.6257162737240716,10.894586025140258,10.638289296955573,-2.621138354225363,10.956439450739037,0.06484999325301644,0.00457791949870856,0.06501137571112409,0.005967310328369005,0.3138830693049495,17.984175131785925
11540.0,peak,10.438772685372772,2.7371378724332636,10.791658765435143,10.388183913365594,2.8061210440003546,10.760514872973753,-0.050588772007177596,0.068983171567091,0.08554473573896237,0.007926931123225988,1.9471197861818919,111.56174595463767
11450.0,peak,5.544547885699334,-8.641248173473693,10.267092151742645,5.544261221146905,-8.54828607623003,10.188818740628452,-0.0002866645524290945,0.09296209724366378,0.09296253923224139,0.009054417536952053,2.574202391602039,147.49093265127962
