,F1_zeta,F2_chi4,F3_rand_mult,F4_DH,F5_liouville,F6_mobius,F7_fully_rand,F8_rand_mult2
F1_zeta,0.0,1.9736395026076718,1.872940880507482,1.604469844086635,2.403051434974996,2.403051434974996,1.7802256995631618,1.875366355406897
F2_chi4,1.9736395026076718,0.0,1.6386210620897874,1.6997417184096923,1.370913313408941,1.370913313408941,1.667697957089078,1.6244382853990529
F3_rand_mult,1.872940880507482,1.6386210620897874,0.0,2.0266486045494476,1.5055725347053757,1.5055725347053757,1.8589911615015702,1.3357853724587923
F4_DH,1.604469844086635,1.6997417184096923,2.0266486045494476,0.0,1.788947377245043,1.788947377245043,1.5566802675051905,2.003144221709761
F5_liouville,2.403051434974996,1.370913313408941,1.5055725347053757,1.788947377245043,0.0,0.0,1.614141461505195,1.5025502428016086
F6_mobius,2.403051434974996,1.370913313408941,1.5055725347053757,1.788947377245043,0.0,0.0,1.614141461505195,1.5025502428016086
F7_fully_rand,1.7802256995631618,1.667697957089078,1.8589911615015702,1.5566802675051905,1.614141461505195,1.614141461505195,0.0,1.746594601088614
F8_rand_mult2,1.875366355406897,1.6244382853990529,1.3357853724587923,2.003144221709761,1.5025502428016086,1.5025502428016086,1.746594601088614,0.0
