t,height,r
126063.03151575787,25.159580459018297,2.8597152618219766
166383.1915957979,22.508378230569075,2.1408075434274045
154327.1635817909,21.249225054374843,1.9824076161583128
197048.52426213108,21.139730663554282,3.2084567955535523
112656.32816408204,20.7011043691181,1.446419654016386
114007.00350175088,20.28587289230376,1.8872939384759402
158079.03951975988,19.76401748612458,3.0152600085320227
122111.05552776388,18.841915059160943,2.4435748615994743
156928.46423211606,18.476355473157472,3.086670363904255
104552.27613806904,17.461988207505904,0.9397980239486197
146223.1115557779,17.312413654106606,1.5015928166473156
170135.06753376688,16.910462239461705,2.206231528770534
152776.38819409703,16.828651820738454,1.6799180886240546
178439.21960980492,15.96601530505245,1.8199590335529057
198599.2996498249,15.490337664578904,2.049514414193584
116608.30415207605,14.703567019067025,2.6000296251963495
174487.24362181092,13.878308150829971,1.04374818549641
162031.01550775388,13.821611532957649,2.6287251940771634
187893.94697348675,13.197518789128598,1.1563141952630658
135217.6088044022,13.10404198450769,2.4857376675758327
110055.02751375688,12.914584120947632,0.7176023052163465
124712.35617808904,12.689902471306043,1.2485624925781995
108504.25212606303,12.620605129183572,1.9275293868308043
199749.87493746873,12.591869447745436,2.5241880753260535
117958.97948974487,12.567627430975946,2.598667151017882
148824.41220610304,12.06324832709819,2.094129656751443
160880.44022011006,12.062455796459723,1.5757539585871412
134167.08354177087,11.87912349451631,1.4762775519780245
106103.05152576289,11.795631008449647,2.2118187455579603
195997.99899949974,11.72086127888138,2.5727815174183117
128664.33216608304,11.042329167305407,1.6384174056229124
190495.2476238119,10.946632980764734,1.147522009651469
176888.44422211105,10.857134038485247,1.092114013185595
119309.6548274137,10.845608203275658,0.3174902249762995
137918.95947973986,10.430191746604564,0.4851841076911983
182791.39569784893,10.291518152254291,1.3787263313738898
102151.07553776889,10.287359830298671,0.8675297849937039
182191.09554777388,10.01270953956422,1.681854380615935
149974.98749374686,9.767759612744001,1.7330786794150537
139469.73486743373,9.11482653258739,1.8463341134171238
191645.82291145573,9.103377408502,1.01886102592102
172936.46823411706,9.037394759165133,0.21389326912621678
186543.2716358179,8.949324057547361,1.3139825195952082
174087.04352176088,8.93276351359614,1.881343315029202
151625.8129064532,8.82231507100773,1.1916301816013708
195397.69884942472,8.725516174205994,3.145476178290608
141120.56028014008,8.508917642064384,2.4766607379669745
163681.84092046024,8.46759079000366,1.09318504558434
100800.40020010005,8.346078389520445,0.8469631239180746
170435.2176088044,8.227378224398338,0.4391954644917028
103501.75087543772,8.017100047793509,1.34947895456562
127613.80690345172,8.01312610990288,0.10953908827974969
140320.16008004002,7.735065876133844,2.739902380820545
180640.32016008004,7.672185120018297,1.3108702469642932
111055.52776388194,7.595760751950644,1.2439168516544572
162431.2156078039,7.595670930191301,1.6413884240475138
167733.86693346675,7.54681908575889,0.567477165813953
152176.088044022,7.525697006225053,2.484337536478201
121510.75537768885,7.519304999320732,1.616158301802596
184142.07103551776,7.513957990783475,0.30468374239485996
100200.10005002501,7.469894346713259,2.5416230308173517
166783.3916958479,7.424632920442409,2.1564265833251146
164832.41620810406,7.424217701451495,1.5972590378010716
171785.89294647324,7.392761965313256,1.3828085750801111
194447.2236118059,7.273095361549494,0.5465290698393149
169084.54227113555,7.220822474459573,0.7482996440997961
115007.50375187593,7.202847480068089,0.26309083065239314
159429.7148574287,7.1990699062691474,1.2656610244071143
144872.43621810904,7.058939540197127,1.3880683055998193
189244.62231115557,7.012010575903715,-0.34556326519612435
145172.58629314657,7.005485992825123,-0.13042689169113794
122511.25562781391,6.971642530779198,2.1318558656480824
183841.92096048023,6.964832217618047,1.0954712074897535
142471.2356178089,6.89101386040926,-0.6606948372237548
137368.6843421711,6.835364799579076,2.201860885067005
