function,peak_index,t,peak_height,r,delta_phi_12_rad,delta_phi_12_deg,delta_phi_13_rad,delta_phi_23_rad,cos_delta_phi_12,S1_real,S1_imag,S2_real,S2_imag,S3_real,S3_imag
zeta,0,19834.917458729367,3.0552261276740666,-0.008351034551568914,1.1315103570422007,64.830767933859,2.038957208996922,0.9074468519547214,0.42529333648674406,0.028999153114109083,-2.332229194423715,-1.2320573552038063,-0.5977664648318624,-0.8347572621281015,0.4091467747971854
zeta,1,13016.508254127064,3.0556698673090263,-0.258746592876548,-1.8023586866140007,-103.26754591172443,1.6716877596123958,-2.8091388609531895,-0.2294984619261964,0.9204796710814621,2.6228983195733693,-1.8550742059231564,0.19728299994858386,0.2132434620031941,-0.09997524099195255
zeta,2,18454.22711355678,3.0692670455981386,1.1456532990285853,-1.2381511746711726,-70.94083670782338,-1.9619965971900897,-0.723845422518917,0.3265443177545207,1.000017587242277,-0.4816417812911084,0.9992867315400762,1.0071246550080162,0.01672982728875229,0.2898934575833637
zeta,3,11955.977988994497,3.0980312068136935,-0.0841706897419325,-1.3006584381723045,-74.52223909535037,2.8798334032940924,-2.1026934657131893,0.26686432719408554,1.510352275950424,2.3604968929128733,-0.7726748039043103,0.8608791607789221,-0.1614421635442178,-0.5084607569031931
zeta,4,10300.150075037518,3.1366347047839707,0.6379240597186681,-0.9576953588819698,-54.87190212320359,1.8875085801186535,2.8452039390006236,0.5754064038851009,1.5766864858885186,1.3657998946359702,-0.05615110806295025,0.5554440358506525,0.21314127722650184,-0.5081755022230705
zeta,5,13731.865932966484,3.167785034056391,2.2532955097126544,-0.7375677484009704,-42.25951908834258,0.1616351715374693,0.8992029199384397,0.740106410631079,0.8418185940807074,-0.07444755525780754,0.8807326918357133,0.6686487825085611,0.3621541018688921,-0.09241227961375832
zeta,6,10215.107553776888,3.185764360021605,0.7805026172678046,-0.17416377120371962,-9.978849034055235,-2.3743029946176217,-2.2001392234139026,0.9848717888272099,1.0950038650573646,1.1957236715157107,0.680101437494596,1.0673988842327826,-0.658879654404231,-0.04093516225125573
zeta,7,14457.228614307154,3.2165905475685204,0.7033450091118737,-0.7490942618777197,-42.91993966306097,-1.08510697607027,-0.33601271419255047,0.7323059548752993,0.9870196728372896,1.7819167055610952,-0.2246933464078672,0.9054036475985711,-0.11486855123371408,0.17560718980844528
zeta,8,12166.08304152076,3.2480523563123027,0.1453353191812513,0.9809393003999306,56.20368187143165,2.054217746258895,1.073278445858964,0.5562422146423147,1.019374591069547,-1.711243283576449,-0.7694955668094641,-1.6189677265525828,-1.0050605581570018,-0.05414938104299979
zeta,9,12221.110555277639,3.318137822087434,1.4759024516331534,-0.05774740754828889,-3.308682730338866,1.5263973087850282,1.584144716333317,0.998333081769422,0.45704689142751737,1.3060502293057266,0.280791609440009,0.9806188456649795,0.6265158350399047,-0.18848124563791768
zeta,10,10805.402701350675,3.322405311769819,0.6186279413155817,-1.4887911877051312,-85.30145163177315,1.2426618983717912,2.7314530860769226,0.08191325804411766,1.9323243737102491,-0.5087759593381946,0.33735561421259225,0.9553334700580051,0.06200525655110629,-0.8758027942224412
zeta,11,12971.485742871435,3.3273681811584885,1.1634418646245235,-1.2379215316127166,-70.92767912977938,-1.5515320882815238,-0.313610556668807,0.32676136360272795,1.4845321267980038,0.598855668557409,-0.028365308463083806,0.560583281144948,-0.3476636044986103,0.912101161380695
zeta,12,12391.1955977989,3.3564166290493143,0.6283077024863276,0.7307612007234798,41.8695326333678,-3.0168297909682185,2.535594315487888,0.7446665648583575,2.266825222360321,0.4104364554243769,0.23526221968485242,-0.14477174453476005,-0.5934185946361374,-0.03228932642512242
zeta,13,16868.434217108555,3.369561661595058,0.7568146684666751,-0.5313753110182131,-30.445562658795083,-2.9097531558551344,-2.3783778448369213,0.8621109891685066,0.9521228713349243,1.746889247861197,-0.038333736001291314,1.1845969923528534,-0.09471142221497163,-0.10564832668287687
zeta,14,17078.539269634817,3.388497265017886,1.0291693016409,-1.8602779311325723,-106.58607417522481,-0.22406688901477392,1.6362110421177984,-0.2854554372360191,0.3260137086395146,-0.3955081491046743,1.0759571416928968,1.600258874793154,0.6175539819305591,-0.47667133220510766
zeta,15,12581.29064532266,3.3951327548720704,0.8449148405431252,-0.11918789819234867,-6.828963535456512,-0.8866602409279551,-0.7674723427356065,0.9929055269598484,1.4627740009902543,1.4998479333222914,0.23320183054329366,0.3044193951682178,-0.08644264468304179,0.7564850608424334
zeta,16,16803.401700850427,3.4033559408601257,1.4680928685782142,-0.5485315634018713,-31.42854351263995,-1.6887679667145334,-1.1402364033126622,0.8532911356882786,1.587589368904414,-0.7094970920497199,0.6275679080458049,0.0809341236431256,0.15285348797207024,0.4901325086573012
