N,Avg M₄ (top 10%),All Equal (%),Two Pairs Equal (%),One Pair Equal (%),Three Equal (%),All Different (%)
10000,7239.686882889606,9.100831107936669,58.61166421972664,-4.561593563887822,15.954467409977786,20.89463082624673
100000,13055.34766269517,9.872612005684136,52.66359854247318,-0.08832167218319129,12.140701420692672,25.411409703333216
1000000,11850.019002743267,5.369685333414728,29.519474052282767,31.815724430953484,18.027334883223,15.267781300126016
