L,k,a,R2,a_r38,R2_r38,a_diff,a_rel_change_pct
zeta,M_0,-3.728977595564388e-13,0.6850598518328274,2.973633549946054e-29,9.91211183315351e-30,-3.7289775955643884e-13,-1.2540138295224835e+18
zeta,M_1,5.9098318272002395,0.9303117179787201,3.5614788278811904,0.9800394567075147,2.348352999319049,65.93758134780605
zeta,M_2,9.179180863968284,0.9887855933855185,7.764781769359604,0.9981046908159131,1.4143990946086804,18.215567888720358
zeta,M_3,11.259969395180171,0.9965486391170735,10.300406708932243,0.9995253291239394,0.9595626862479278,9.315774739417039
zeta,M_4,14.830842707188477,0.9993700460432452,14.293415915602003,0.999908521288941,0.5374267915864746,3.75996049341743
zeta,M_geq5,19.28455352830609,0.9915610192924433,16.863159772499483,0.9947781553300256,2.4213937558066085,14.359074980451933
L(Δ),M_0,-3.728977595564388e-13,0.6850598518328274,2.973633549946054e-29,9.91211183315351e-30,-3.7289775955643884e-13,-1.2540138295224835e+18
L(Δ),M_1,0.28928053353572597,0.9880894882885048,0.33405524802539877,0.9975244289785052,-0.044774714489672796,-13.403386042978287
L(Δ),M_2,0.7980121742452697,0.9998103199461749,0.7935856884671268,0.9994365433399758,0.0044264857781428635,0.5577829643945531
L(Δ),M_3,2.0225388824692287,0.9992829332351115,2.1024488446712866,0.9999998682059595,-0.07990996220205782,-3.8008041149059
L(Δ),M_4,4.821428276194549,0.9699741941988015,6.015326811757934,0.9943803523622811,-1.1938985355633847,-19.847608831987582
L(Δ),M_geq5,9.949372368654558,0.9902073375495296,11.395257676872843,0.9995598516397126,-1.4458853082182852,-12.688482781330787
L_DH,M_0,-3.728977595564388e-13,0.6850598518328274,2.973633549946054e-29,9.91211183315351e-30,-3.7289775955643884e-13,-1.2540138295224835e+18
L_DH,M_1,0.17068225658364278,0.9922899870085279,0.19013499249586605,0.9954167565610904,-0.019452735912223268,-10.231013059127564
L_DH,M_2,0.48011401315820756,0.9962979057582144,0.5024691303916086,0.9921777524377918,-0.022355117233401,-4.4490528634024
L_DH,M_3,1.5659746154077776,0.9935243193121398,1.7310532687218632,0.9963493521013564,-0.16507865331408555,-9.536312734961223
L_DH,M_4,3.0658414470210875,0.9945508300958782,3.3819477632502473,0.9984562505887525,-0.31610631622915975,-9.346871636046895
L_DH,M_geq5,8.610817044027074,0.915393582461052,12.313029968801802,0.9885541689312175,-3.7022129247747273,-30.067440217032093
