k,n_terms,S_k_real,S_k_imag,S_k_magnitude
1,78498,0.8466371116254985,0.20431467184747187,0.8709413780006706
2,209867,0.81723368090289,0.12246459179027175,0.8263585574340261
3,206964,0.46203336149008517,-0.21366238676031404,0.5090446371841488
4,92966,0.2590934519353677,0.000279727073556035,0.25909360293727896
5,18387,0.046801738133927705,-0.014268779477786044,0.048928527058786794
6,1235,0.010755605121980788,-0.006531153378853125,0.012583282798939392
