N,Pure Diagonal,Pair Diagonal,Mixed Diagonal,Off-Diagonal,Total
"10,000",365.1900102657372,4568.451394284635,7206.127381921931,3156.0959947952147,15295.864781267519
"100,000",452.0607491998104,3664.973030298168,3073.8453123911454,4050.867612594015,11241.74670448314
"1,000,000",485.827926728024,7410.042009409658,12900.392980667364,10955.903453486691,31752.16637029174
