k,a_2p_4pts,b_2p_4pts,logC_2p_4pts,se_a_2p,se_b_2p,R2_2p_4pts,R2_1p_4pts,a_1p_4pts,a_2p_3pts,b_2p_3pts,a_1p_3pts,pct_change_a_2p,pct_change_b_2p,pct_change_a_1p,p_F_2p_vs_1p,F_2p_vs_1p
M_1,62.46669257779672,-136.8569136279309,-21.946539022091414,1.9091660695023818,4.617935032853614,0.9999207448090935,0.9303117179787198,5.909831827200241,53.172453638156405,-115.29620575158795,3.5614788278811718,-14.878711447809032,15.754197069619337,-39.736376059140625,0.021473184497043385,878.2898133772728
M_2,43.37557977491781,-82.74882215934736,-21.525482464479964,0.5308244954589655,1.2839705633966811,0.9999973006559445,0.9887855933855185,9.179180863968288,40.79140976759828,-76.75408337627343,7.76478176935957,-5.957661017395416,7.244500437154269,-15.408772477299824,0.009877306243856077,4153.493233878982
M_3,34.438727655498155,-56.0882141465313,-23.257879018230355,0.4577863678482055,1.1073042515364073,0.999998655341976,0.9965486391170734,11.259969395180175,32.21012326426558,-50.91831389290575,10.3004067089322,-6.471215817047686,9.217444934365545,-8.521894266060034,0.012566636847626489,2565.7201780141386
M_4,27.857893104868822,-31.52299981719227,-30.88630890009351,0.04520781175880945,0.10934970038204804,0.999999992419747,0.9993700460432453,14.830842707188484,27.637811567107953,-31.01245626699335,14.293415915601944,-0.7900150127376456,1.619590626398687,-3.623710413475361,0.002208352712143813,83103.60890496666
M_geq5,80.46922699784173,-148.05534573955435,-59.53956879842096,11.430738811280081,27.648935339484837,0.9997156122230028,0.9915610192924432,19.284553528306102,136.11656929343755,-277.1456455610023,16.86315977249942,69.15356885072146,-87.1905699700516,-12.556130751238456,0.11753319413209429,28.674203289121163
