peak_id,t,mag_baseline,r_baseline,S2_power,S3_power,S2_power_frac,S3_power_frac,mag_pert_S2,r_pert_S2,pct_change_mag_S2,pct_change_r_S2,mag_pert_S3,r_pert_S3,pct_change_mag_S3,pct_change_r_S3,abs_change_r_S2,abs_change_r_S3,S2_reduces_r_more,S2_dominance,r_reduction_diff
1,1231014.5316321007,9.084793440130202,1.225401440894587,4.100732179315156,17.80746936190222,0.11057059755313373,0.4801538950011312,5.554304808529242,-0.16816408209903544,-38.86151792957399,-113.72318299024273,5.107695533931866,-0.2965580676430901,-43.777527055599585,-124.20089105057622,-1.3935655229936224,-1.5219595085376771,False,-0.36958329744799745,0.1283939855440548
2,1184059.2854337906,6.54380273688769,1.4651086654647973,2.3181549608811074,7.109271330583218,0.13344986352731472,0.40926137590231604,3.8901910545605434,-0.1288006715218189,-40.55152315898257,-108.79120262939388,3.740659751543958,-0.19448787162695533,-42.836605839939175,-113.2746379986262,-1.5939093369866162,-1.6595965370917527,False,-0.27581151237500134,0.06568720010513651
3,1496868.878138703,6.344584513522194,2.10239495104705,7.674808903562278,1.3988624159345118,0.5915048119897609,0.10781165508275145,3.5853110067006466,-0.009294942417069024,-43.490215961986415,-100.44211209755997,4.6372705265209735,0.6573551260264155,-26.909783979745676,-68.73303345315614,-2.111689893464119,-1.4450398250206344,True,0.4836931569070094,-0.6666500684434844
4,1088034.7524157502,6.141907716138856,1.7960586987012201,8.394206807093271,2.5583644312310727,0.6221847692722283,0.18962784929419405,0.6128655204327862,-0.972159945022627,-90.02157719136055,-154.12740383850613,2.9542673533573307,-0.3530967970035096,-51.89984138650414,-119.65953547391538,-2.768218643723847,-2.1491554957047296,True,0.43255691997803425,-0.6190631480191175
5,1709378.8631666016,5.924860024297878,1.3609327947798364,10.400236760057526,2.040314952055756,0.6994725275540284,0.137222285361975,1.2026060262940452,-0.9027310590602248,-79.7023723537408,-166.33178820606372,3.0778387478621614,-0.36288304692564344,-48.05212721920973,-126.66428851722604,-2.263663853840061,-1.7238158417054799,True,0.5622502421920534,-0.5398480121345812
6,1021967.7351264791,5.80275663698676,3.225092767277653,4.521011657584925,0.05353815102551565,0.5672874316411456,0.006717859295745474,1.7352448627450525,-0.6221764106082615,-70.0961978711186,-119.2917368740822,5.513051609162086,2.8137449977056215,-4.992541406580702,-12.75460271238201,-3.8472691778859147,-0.41134776957203156,True,0.5605695723454002,-3.435921408313883
7,1195028.4277340109,5.727267370129656,2.7270429556618554,3.659628766500076,1.9371904493067378,0.4158210921711771,0.2201110275850938,2.0635764280080777,-0.5161501633848539,-63.96926676113321,-118.92710059125504,3.1805448576861663,0.14940354527892982,-44.46662514353396,-94.52140843734273,-3.243193119046709,-2.5776394103829254,True,0.19571006458608328,-0.6655537086637837
8,1660603.5753706573,5.672564638419789,1.6998829500381225,6.277751117641924,2.3022248218326893,0.5267325097026068,0.19316736767338946,0.6756965512306118,-0.9616920039312348,-88.08834108906971,-156.57401316423974,2.639620478496881,-0.4153862742596895,-53.4668946631483,-124.43616922273229,-2.661574953969357,-2.115269224297812,True,0.3335651420292173,-0.5463057296715452
9,1703205.3355607423,5.62239048954749,2.8388976587545454,2.2390565089538064,1.2874970790036686,0.2719127539086739,0.15635464089507875,2.848607702684831,-0.01456084893962042,-49.33458094060455,-100.5129050318076,3.69226282575148,0.655578354047719,-34.329306500220575,-76.90729174311525,-2.8534585076941656,-2.1833193047068264,True,0.11555811301359517,-0.6701392029873392
10,1777094.2283755206,5.344948427463196,1.603110928164918,3.2354766255075202,1.6832205236947864,0.2948111492553461,0.15337220276249283,2.1184948366648566,-0.5910591862703335,-60.364541109888115,-136.86951263858697,2.9430543904483306,-0.2107724920955056,-44.937646632351985,-113.14771725352637,-2.1941701144352517,-1.8138834202604237,True,0.1414389464928533,-0.38028669417482797
11,1670276.274473945,5.221011040923345,2.3951041306380065,2.411469103545792,0.5091328240013768,0.3003485763512115,0.0634125142377474,2.314962105899077,-0.3325301571989423,-55.66065484723296,-113.88374530131027,4.135697465301414,1.130303099239574,-20.787421576300503,-52.80776794708778,-2.727634287836949,-1.2648010313984326,True,0.23693606211346407,-1.4628332564385165
12,1714118.1138324575,4.535492121717715,3.6441520756054575,1.0714222475546638,0.42149870910452975,0.24189019174592644,0.09515987165531896,2.5095472209004837,0.42183219128830635,-44.668689669114684,-88.42440758408193,3.2702185559718964,1.4144107479463588,-27.89716158225019,-61.18683527466779,-3.222319884317151,-2.2297413276590987,True,0.1467303200906075,-0.9925785566580525
13,1550523.78043646,4.26343481508038,1.7393701667095594,2.648991685309209,0.6762449709190193,0.39921979035074706,0.10191439143174398,1.0165797502373501,-0.8442549056521309,-76.15585099034323,-148.53796631738513,2.721035566695685,0.1158348058539676,-36.177385495117875,-93.34041665937636,-2.5836250723616905,-1.6235353608555918,True,0.2973053989190031,-0.9600897115060987
14,1135133.5800619768,4.2084110508343535,1.9928014433585015,1.4313593957833952,0.12962585271755597,0.24187461613640596,0.021904494049346197,1.8701053240372736,-0.40901870792762146,-55.56267433366545,-120.52480989969052,3.4884214280949357,1.0563616268653875,-17.108348353867992,-46.99112496199904,-2.401820151286123,-0.936439816493114,True,0.21997012208705977,-1.465380334793009
15,1774023.6364441058,4.087251919484967,1.2175157439979822,3.381528278854908,1.1377375610858163,0.44886621942151983,0.15102400915345507,1.1560905797090089,-0.8225861077892759,-71.71472171319728,-167.56266699994632,1.9911097704333829,-0.4737473376921283,-51.284877720865275,-138.91098246799453,-2.040101851787258,-1.6912630816901104,True,0.2978422102680648,-0.3488387700971476
