Function,"(10K, 100K)","(100K, 1000K)"
Riemann ζ,5.137595968685204,2.6183311464968004
"L(s, χ₄)",5.487516959413353,5.502391658316437
f_rand (seed=42),17.638816402961393,17.70942049771713
L_DH,4.893723746559194,4.806949347622245
L_DH (ε=0.01),4.892069557945242,4.806443065246294
