N,function,type,M_F,V_F,K_F,RS,P_2,P_3,P_4,P_5
10000,zeta,multiplicative,6.133743648932985,6.438058237659153,2.56548175654676,2.417398068905793,0.04938271604938271,0.0,0.0,0.0
10000,chi4,multiplicative,9.064452602712356,5.367471991781255,5.169323543477851,3.912521066497149,0.06790123456790123,0.012345679012345678,0.0,0.0
10000,f_rand,multiplicative,15.596015392941927,10.200063473826608,9.443061793410862,4.883286647461436,0.04938271604938271,0.024691358024691357,0.012345679012345678,0.0
10000,L_DH,non-multiplicative,4.308475790407795,3.171952697508902,2.500323272696084,2.419136119627859,0.05555555555555555,0.0,0.0,0.0
10000,L_DH_pert1,non-multiplicative,4.318936971160496,3.1875391559184645,2.5004973298492974,2.4190737117965537,0.05555555555555555,0.0,0.0,0.0
10000,L_DH_pert2,non-multiplicative,4.298351794446918,3.1568218223317124,2.5000912800825397,2.4192286775311214,0.05555555555555555,0.0,0.0,0.0
100000,zeta,multiplicative,5.955569230570642,8.090642338584196,1.8004465815737127,2.0937835145552874,0.01485148514851485,0.0,0.0,0.0
100000,chi4,multiplicative,8.77124465980016,5.381442081196859,5.1035391941340364,3.781045380973559,0.06435643564356436,0.019801980198019802,0.0,0.0
100000,f_rand,multiplicative,20.858507191518957,12.925893469651836,11.378747956120387,5.801668863090053,0.054455445544554455,0.024752475247524754,0.009900990099009901,0.0049504950495049506
100000,L_DH,non-multiplicative,4.325471036984812,3.179893481071244,2.4848732725435565,2.4256443365330975,0.04950495049504951,0.0,0.0,0.0
100000,L_DH_pert1,non-multiplicative,4.336246618131034,3.1955137658222825,2.485060878510728,2.425736526169543,0.04950495049504951,0.0,0.0,0.0
100000,L_DH_pert2,non-multiplicative,4.314930004840485,3.1647298666818626,2.484625017109578,2.4255231962727155,0.04950495049504951,0.0,0.0,0.0
