Function,Type,N,M_F,V_F,K_F,RS,P_2,P_3,P_4,P_5
zeta,Multiplicative,10000,6.133743648932985,6.438058237659153,2.56548175654676,2.417398068905793,0.04938271604938271,0.0,0.0,0.0
zeta,Multiplicative,100000,5.955569230570642,8.090642338584196,1.8004465815737127,2.0937835145552874,0.01485148514851485,0.0,0.0,0.0
chi4,Multiplicative,10000,9.064452602712356,5.367471991781255,5.169323543477851,3.912521066497149,0.06790123456790123,0.012345679012345678,0.0,0.0
chi4,Multiplicative,100000,8.77124465980016,5.381442081196859,5.1035391941340364,3.781045380973559,0.06435643564356436,0.019801980198019802,0.0,0.0
f_rand,Multiplicative,10000,15.596015392941927,10.200063473826608,9.443061793410862,4.883286647461436,0.04938271604938271,0.024691358024691357,0.012345679012345678,0.0
f_rand,Multiplicative,100000,20.858507191518957,12.925893469651836,11.378747956120387,5.801668863090053,0.054455445544554455,0.024752475247524754,0.009900990099009901,0.0049504950495049506
L_DH (avg),Non-Multiplicative,10000,4.308588185338404,3.17210455858636,2.5003039608759736,2.4191461696518446,0.05555555555555555,0.0,0.0,0.0
L_DH (avg),Non-Multiplicative,100000,4.325549219985444,3.18004570452513,2.4848530560546207,2.4256346863251186,0.049504950495049514,0.0,0.0,0.0
