pair,W2_obs,p_value,null_CI_lo,null_CI_hi,B
zeta vs ldh,3.0026,0.004,1.405,2.5064,500
zeta vs chi5,1.5286,0.8303,1.3753,2.3956,500
chi5 vs ldh,2.8541,0.002,1.3746,2.4802,500
zeta vs zd,0.0,1.0,1.3771,2.4116,500
zeta_B vs zd_B,0.0,1.0,1.4825,2.5652,500
