function_class,peak_t,N,D_magnitude,R_comp
zeta,4323.620797958777,10000,10.442916070255595,0.012191437448066451
zeta,4323.620797958777,20000,10.431297443412763,0.008247983500835755
zeta,4323.620797958777,50000,10.482123136179013,0.0033120174320801555
zeta,4323.620797958777,100000,10.505302133302088,0.0007731512854961028
zeta,4323.620797958777,200000,10.53908765783345,0.0016140966667184701
zeta,4323.620797958777,500000,10.32937838697969,0.0007357286616414989
zeta,4323.620797958777,1000000,10.254515174421476,0.0007414192292192809
zeta,4323.620797958777,2000000,10.147343775082179,0.00033470098481618076
zeta,4323.620797958777,5000000,10.906645395260279,0.0004365391685828748
zeta,4323.620797958777,10000000,11.145468609177884,0.00021774959692045612
zeta,1875.9296191664757,10000,8.870792612648026,0.011404153201458352
zeta,1875.9296191664757,20000,8.841343766677632,0.004729450812846278
zeta,1875.9296191664757,50000,8.891410683294614,0.0016655788119167242
zeta,1875.9296191664757,100000,8.950876944842724,0.0006492631638429089
zeta,1875.9296191664757,200000,9.045051167449335,0.0008542082836610043
zeta,1875.9296191664757,500000,8.766950421361814,0.0009361208721738664
zeta,1875.9296191664757,1000000,8.568278921867831,0.0006389105660728749
zeta,1875.9296191664757,2000000,8.267510704859875,0.0005817068606708766
zeta,1875.9296191664757,5000000,9.531792415398185,0.0005528745137615505
zeta,1875.9296191664757,10000000,10.20480236194639,0.00048778290667457773
zeta,3843.3603214064415,10000,8.293142656982656,0.009807636575889329
zeta,3843.3603214064415,20000,8.284171841285817,0.0051053708010413874
zeta,3843.3603214064415,50000,8.339561521187099,0.0004847501123648788
zeta,3843.3603214064415,100000,8.35947958398157,0.00142993491548744
zeta,3843.3603214064415,200000,8.38840772727259,0.001265825400014316
zeta,3843.3603214064415,500000,8.157525504592204,0.00032309395586937746
zeta,3843.3603214064415,1000000,8.088730180597056,0.00045067193827184296
zeta,3843.3603214064415,2000000,7.989120503349608,0.0005004677744191396
zeta,3843.3603214064415,5000000,8.830873070455338,0.0001831473025297126
zeta,3843.3603214064415,10000000,9.0688444854705,0.00022105619322446512
zeta,3671.448900822367,10000,8.226819536300894,0.008925626524400735
zeta,3671.448900822367,20000,8.222820121929798,0.004078121174471703
zeta,3671.448900822367,50000,8.297367085916106,0.0011547015035809202
zeta,3671.448900822367,100000,8.313918645147734,0.00047323222199559034
zeta,3671.448900822367,200000,8.331968405462131,0.0007276788608991158
zeta,3671.448900822367,500000,8.054323896597163,0.000691727702137831
zeta,3671.448900822367,1000000,7.989735621192719,0.00044216626291300167
zeta,3671.448900822367,2000000,7.914455379590813,0.0004223628903745383
zeta,3671.448900822367,5000000,8.851467099665125,0.00037988340006258134
zeta,3671.448900822367,10000000,9.092225809570435,0.0002954551374916546
zeta,2402.5788917494347,10000,8.139112053898279,0.0034840405760332496
zeta,2402.5788917494347,20000,8.122823157380084,0.0015967986528280086
zeta,2402.5788917494347,50000,8.25494084450748,0.0007155451739046668
zeta,2402.5788917494347,100000,8.303740033782315,0.0010053247893125504
zeta,2402.5788917494347,200000,8.366371632149233,0.000222985411098657
zeta,2402.5788917494347,500000,7.9955467567318435,0.0006678332984115559
zeta,2402.5788917494347,1000000,7.83606999695442,0.0006323545749993753
zeta,2402.5788917494347,2000000,7.617594728926126,0.00015397037124093965
zeta,2402.5788917494347,5000000,8.658018485255576,0.0003638763584048282
zeta,2402.5788917494347,10000000,9.160060549691986,0.00044946958657004864
zeta,3535.0112654381805,10000,8.160293895029698,0.00224965146523916
zeta,3535.0112654381805,20000,8.146002542274276,0.004910636263498003
zeta,3535.0112654381805,50000,8.236235229825244,0.0018389582047972038
zeta,3535.0112654381805,100000,8.265586384514148,0.0023572254827539715
zeta,3535.0112654381805,200000,8.305996275959902,0.001071703018094424
zeta,3535.0112654381805,500000,7.990765758691844,0.0009275853249122694
zeta,3535.0112654381805,1000000,7.90160210572736,0.0005328275887255911
zeta,3535.0112654381805,2000000,7.7817319231231314,0.00030017603015376347
zeta,3535.0112654381805,5000000,8.81166418347346,0.00048640809160585324
zeta,3535.0112654381805,10000000,9.074513192365817,0.0003356018578325819
zeta,4850.270070541736,10000,8.173250587532863,0.0025042583560101568
