point,T0,sigma,J,m,delta,c_prefactor,signal,X_min_for_detection,eta_at_X1e6
optimal,46.13,1.0,10,20,0.0001,16.87181876057771,1.687181876057771e-07,407781.5079274444,5.795525797172522e-09
L_DH,85.7,2.0,10,20,0.0001,3.6326604787487353,3.6326604787487356e-08,1000.0,4.6197337846178183e-10
optimal,46.13,1.0,10,20,0.001,16.87181876057771,1.687181876057771e-05,134721.33135782919,5.795525797172522e-09
L_DH,85.7,2.0,10,20,0.001,3.6326604787487353,3.632660478748735e-06,1000.0,4.6197337846178183e-10
optimal,46.13,1.0,10,20,0.01,16.87181876057771,0.001687181876057771,26520.253789670187,5.795525797172522e-09
L_DH,85.7,2.0,10,20,0.01,3.6326604787487353,0.00036326604787487355,1000.0,4.6197337846178183e-10
