Function,Mean r,Median r,Std r,% Negative
Zeta,0.7017781273269625,0.7488673762100799,0.5404818174975832,13.0
"Chi4 (L(s,χ₄))",0.717518874287462,0.7664579192156455,0.41030135239623283,4.5
f_rand,0.5415244247985587,0.4979011491071955,0.33961149185721506,4.0
"Mobius (L(s,μ))",0.8642495124308323,0.929560503035195,0.5342917728995558,7.5
Liouville,0.5727173996964149,0.5852776623363,0.5042326933226208,13.0
