function,t,|S|,Re_S0,Re_S1,Re_S2,Re_S3,Re_S4,Re_S5,Re_S6,Re_S7,Im_S0,Im_S1,Im_S2,Im_S3,Im_S4,Im_S5,Im_S6,Im_S7
F15,14503.242499934471,18.31426761975454,1.0,3.6914495014302036,6.213152031103736,5.099022282084247,1.4524378293048967,0.0825632346330505,-0.0028892040938602037,0.0,0.0,-0.3893985030169733,-1.9109449152466025,-1.7493869616946527,-1.0339880403911277,-0.19384482943562673,-0.005463610205601747,0.0
F15,14490.053499934664,17.489161292733385,1.0,3.376313638746852,5.420683956941367,4.248889368875545,0.9151244949980053,-0.07290997960754937,-0.007973270239918959,0.0,0.0,0.855354358611502,3.0757727015543677,3.0559589213146516,1.9689325741496018,0.23156206866308204,0.0022260758342776943,0.0
F15,19421.736999862896,17.03513549591102,1.0,4.060130105872373,6.000868933148201,4.162065090399469,1.5914143765972915,0.20020223651489574,0.0024660043334986574,0.0,0.0,0.061155594459749135,0.35371036487602087,0.23962851858438747,0.21644425264045447,-0.08186334980215051,-0.0064145604261294405,0.0
F15,17086.99374989687,16.786835141618855,1.0,3.0646472335251973,4.987713447857818,4.700049501049124,1.335460555749192,0.11664011071142677,0.0018538682651180935,0.0,0.0,-0.8541891086129124,-1.8361436098603507,-2.813388692518478,-1.4155191377537488,-0.18348666048030135,-0.008131118758485293,0.0
F15,18527.817749875903,16.740996744478927,1.0,3.8553494619660795,6.183487998750059,4.20956781552505,1.3789863760208012,0.10893420086950559,0.001872991376630963,0.0,0.0,-0.14164952951725565,-0.3085491517834726,0.18730447753731042,-0.0022508243787030167,-0.036849787322470726,-0.004063088148455845,0.0
F15,15962.352499913237,16.52309884308378,1.0,3.760026105440887,5.6456824296965875,4.283973893709529,1.5571809224019193,0.20207503895914614,0.005454875963803704,0.0,0.0,-0.17364635523784427,-0.7208566786791333,-0.34294318996326356,-0.23369456022940388,-0.035427790830219553,0.0013318425712577169,0.0
F15,15273.552499923262,16.251139687212614,1.0,3.6832198102270914,6.7015257184929675,4.4114643200311,0.4691947660208291,-0.01746110220299585,-0.0013359252627901687,0.0,0.0,-0.17013432891203772,0.3518445008971442,0.4116248890504509,-0.1601549741137631,-0.05045802144380898,0.0010526567011873529,0.0
F15,12019.548749970612,15.912411549927805,1.0,3.3568690379032615,5.721669035114377,3.8065096241186644,0.6833169086404935,0.037658906398083995,0.0023122576711974924,0.0,0.0,-0.4542798200833428,-1.9035368642087247,-2.9281257979475823,-0.9632038335445171,-0.06167744519611226,0.0019912723403754436,0.0
F15,10677.761999990138,15.82517807972643,1.0,3.1768159445309165,5.8128635653484535,3.663802185906806,0.67428373722437,-0.03526497219836102,-0.000766194582498309,0.0,0.0,-0.8823503423424172,-1.741282824617883,-2.774811257098002,-1.26940575206297,-0.1272918014065377,-0.0006356025974147862,0.0
F15,10161.008499997659,15.234246969271965,1.0,3.4224891720961472,5.563042070187462,4.103302629421343,1.0238294237651255,0.11581578458847724,0.004456237717854658,0.0,0.0,-0.23538677820069562,0.08356437365044238,-0.1578015691618161,0.07145587798487302,0.03559821694339981,0.0026640879582928638,0.0
F15,13088.632749955055,14.93948171339907,1.0,3.6010112534863086,5.329529465335624,3.5881928178699156,1.2428620545291131,0.1361901327732835,0.00388563237821234,0.0,0.0,0.26473711080886075,0.7073468139513704,0.1613263644036585,-0.06977401887432394,-0.002915564594638776,0.0014961514725344723,0.0
F15,11327.321999980686,14.62784308512001,1.0,3.1501687193370587,5.171598626327917,4.098461274613308,1.0855022625108117,0.03952253498548334,0.002680285562392877,0.0,0.0,0.24321667533617414,-0.0236176770923427,0.6591056254684852,0.5383421711377326,0.10858854721787245,0.0012629145954861848,0.0
F15,12236.541249967457,14.626086569423117,1.0,3.536054857710375,4.85015026417406,3.278416581771088,0.4853688466836658,-0.020794604190182742,-0.001752685434218179,0.0,0.0,0.6202206285958792,1.9300600988623065,2.6464909305131115,1.1406980877905868,0.10826124089693949,0.003504764418166622,0.0
F15,16756.51299990168,14.191047582952221,1.0,3.389232212518231,5.174098972298795,3.6545969628445754,0.642726773622033,0.04321172444020882,-0.0005754864504489306,0.0,0.0,0.47268056433590466,0.7202422590078293,1.1485162696850473,0.45238161119222625,0.047124905024548,0.002349388126736163,0.0
F15,15753.752999916274,14.01878288125436,1.0,3.6132859612761203,4.918989608827615,3.5300807930079303,0.8918353026292812,0.06252331263831573,0.00045405964806793383,0.0,0.0,-0.017171398303513944,0.5561228260544588,-0.37346189893135534,-0.299337800601367,-0.07585339545668567,-0.0030085373079695335,0.0
F15,18020.123999883293,13.795348280168337,1.0,3.4586688679060633,4.9911434320916195,3.1176614059410266,0.8132455958331997,0.04610629144969025,-0.00010520767868676315,0.0,0.0,-0.2004083399951098,-0.8156595548083979,-1.312468556228032,-0.6766653444680426,-0.15888776107308103,-0.003687875569600437,0.0
F15,15056.307249926424,13.320168866793072,1.0,3.2347339614371045,5.157037710495716,2.9402109195341817,0.46566921393166416,-0.03893993735089511,-0.002378857585405069,0.0,0.0,-0.8563685573792386,-1.265441535825996,-1.189546948022162,-0.5134182023457603,-0.01054259837663896,0.0008861022945355035,0.0
F15,16938.016249899036,13.160757337247345,1.0,3.6715548619698035,4.880114178018089,2.5431213799336705,0.9101941478128804,0.14838728792036096,0.004081385445078486,0.0,0.0,-0.05354409367859977,0.13112022781935612,0.18375888621763864,9.154841930463837e-05,0.02920909199263411,0.0042505854022100165,0.0
F15,16122.173249910911,13.096262723884623,1.0,3.2791403163575223,4.827853404266923,3.262847511796733,0.6628727799513227,0.06016417779237482,0.0023495762121712276,0.0,0.0,-0.12693753760149779,-0.2616075939616753,0.28281459924611996,0.26057150292635245,0.010973085082155398,-0.0011717776548033996,0.0
F15,19557.48774986092,13.068822824048697,1.0,3.5007738417109935,4.9057633462428685,2.8109919068041904,0.5402000999861432,-0.028704561083351787,-0.0011047471232496571,0.0,0.0,0.681453373310849,1.0194193155392512,0.7319479189432936,0.5077604084860181,0.024424300568218094,0.0004938600628454591,0.0
F15,11172.625249982939,12.987018788878721,1.0,3.1408650594684717,4.931131181156577,2.7883684848758206,0.4436446124232713,0.021081605302706526,0.0008422306113501644,0.0,0.0,0.8995790979543626,1.6726373906402172,1.2361495546069472,0.28941676399352884,-0.005712747373050211,-0.0013453786970990776,0.0
F15,15210.424249924181,12.982508938253577,1.0,3.1938003362204594,4.881823923906763,3.0559644175654377,0.7590881507981505,0.0407388739254824,0.0002064395457313856,0.0,0.0,-0.12673558480778443,-0.46159154713727024,-0.5682755422489275,-0.0013153747467513626,0.00982401559407251,-0.0002469915028191246,0.0
F15,11435.55099997911,12.935088183413498,1.0,2.852912991168367,4.922742656206541,2.636931318887557,0.4386522046457288,0.04152535886832712,-0.001113235182476774,0.0,0.0,0.8562797535301255,1.4505072523853924,2.0816770204592325,0.6280031073027124,0.0725813453242562,0.000660333932725453,0.0
F15,10683.296249990059,12.932648869043197,1.0,3.518338825670417,5.031065076015697,2.5730354732225673,0.4749564450459618,0.02463023984512743,-0.0011963023484985067,0.0,0.0,-0.27905689835060565,-0.9457301752620355,-1.3640078400361522,-0.22626062476684836,-0.00853467790573412,0.0008144541684881765,0.0
F15,18727.703499872994,12.903429045760532,1.0,2.8847998446911025,4.75011328075056,3.000133602975537,0.8815564201850746,0.08222601149052775,0.0023934605319372534,0.0,0.0,-0.2764368769826165,-1.1458415758129845,-1.2543112224357778,-0.12533446111053453,0.024070259552948278,0.0015848688516148213,0.0
F15,15635.81749991799,12.822052248821887,1.0,3.3206972598113302,4.350375345389233,3.061366705144395,0.6373122842752447,0.08845337767910652,0.0018702641506425945,0.0,0.0,0.2004622188183884,0.5567941881073989,1.2888955440365326,0.8855094391413143,0.09062341645674898,0.0028679124812595407,0.0
F15,13569.578499948058,12.783223052010413,1.0,3.3186847130472827,5.0591235547174715,3.0415347942169113,0.4017218176903869,-0.038751244576422095,-0.0003950403131886437,0.0,0.0,-0.47478550856996965,-0.7720550784382436,0.3816552934043768,0.6173988093876428,0.06703813025816835,-0.0018677291323706937,0.0
F15,16225.127999909415,12.729863435603335,1.0,3.8117320239100096,4.602793143801994,2.5478262589834557,0.13162017819914604,-0.07382850801178735,0.001993856547591348,0.0,0.0,-0.40040667437763794,-1.4585894872196328,-1.6090680313160752,-0.7457486541819833,0.027088584493439975,0.0013155415719303502,0.0
F15,10515.069749992506,12.5993648346272,1.0,2.635828866472597,4.458170303180519,3.6259448648857733,0.9189534381111331,-0.03752008238524478,-0.0020160937034249555,0.0,0.0,-0.30125462320796026,-0.7052990842699458,0.08676075412385426,0.7897462635603818,0.1198409413117445,0.0007635689485051909,0.0
F15,12305.283249966455,12.471228592048835,1.0,3.0958375037954475,3.7213550677259755,2.2874590104763324,0.999884779154538,0.1891467716429378,0.008349312913802394,0.0,0.0,0.5259864855158559,2.0113170270240266,1.7191006128266615,0.8510248576623123,0.15987388225940494,0.004850887332850722,0.0
F15,15296.895999922921,12.411097454582894,1.0,3.259548738431745,3.7298650231661408,2.8205997526019466,0.572648293444181,-0.023955057967955176,-0.0003074253665141415,0.0,0.0,1.0915206634424919,2.07709481147129,1.0618960676195417,0.7086009940899904,0.061658238162298214,0.0014392184751038416,0.0
F15,19856.722999856567,12.38729294239796,1.0,3.5724567778934566,4.653325201730517,2.5086531699616783,0.40827451796257425,0.04943360904405137,0.002398263605904813,0.0,0.0,0.3786181991555061,-0.7566945862645826,-1.1918212062321234,-0.5450535689969659,-0.06005759853973546,-0.0017280319305544509,0.0
F15,17789.846999886646,12.327665079427264,1.0,3.279427310868286,4.752475449167253,2.5584999070456482,0.6140089571384945,0.09419556300819051,0.0018743159178987124,0.0,0.0,0.9112837068305146,0.7494296237057071,-0.45133860383875524,-0.34857901945142844,-0.043899417996974464,0.0013219587135806323,0.0
