Function,Subset,|D(N1)|,|D(N2)|,|Coherence|
zeta,one,1.0,1.0,1.0
zeta,primes_only,0.20134525648378843,0.5470658122890327,0.11014910628884735
zeta,prime_powers_k>=2,1.324130278967598,1.35213707375292,1.790405640670885
zeta,composites_non_pp,1.4859139000677424,3.3044186963056177,4.910081672484245
L_DH,one,1.0,1.0,1.0
L_DH,primes_only,1.5482076670610267,1.5656836200907627,2.4240033848163827
L_DH,prime_powers_k>=2,0.6727676225411914,0.6589146390100123,0.4432964351443533
L_DH,composites_non_pp,0.8969533567926691,1.0024749369341348,0.8991732597835913
