Comparison,t-statistic,p-value,Mean Difference
Standard vs Anomalous-Resonant,-1.065409303345968,0.3657896863091674,-0.09231412269633682
Standard vs Control,-0.8403411746337079,0.502349760709173,-0.08434873927873036
Anomalous-Resonant vs Control,0.0734789222156565,0.9474821300492331,0.007965383417606449
