Class,Function,ξ,ξ_lower,ξ_upper,μ (location),σ (scale)
Standard,zeta,-0.20297617822764086,-0.2777086205420815,-0.12929378675357803,6.615181891328836,0.9754119154928604
Standard,chi4,-0.0949826021908469,-0.17636520913877815,-0.0016620328312098903,7.0679282646078985,0.9939245018373943
Anomalous-Resonant,liouville,0.06221897008979892,-0.033014807126145476,0.1535837633400715,7.799909676884334,1.9742133184715152
Anomalous-Resonant,mobius,-0.05975263326732218,-0.15864857485098313,0.029080523205742174,5.907879262507235,1.1575222380636965
Anomalous-Resonant,L_DH,-0.17246213936119797,-0.3303465074924046,-0.0972067074617111,4.740731184781314,0.6654941776281571
Control,f_rand,0.019982389437310864,-0.09729441434527893,0.12807161967299527,8.054053474168551,2.021813028961451
Control,f_fully_rand,-0.14924369129833792,-0.24094111563355278,-0.04433134334138179,2.571718696585068,0.236159357162888
