function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
Lchi,60.0,1.0,16,1000000000,-3.904011284766136e-05,,,-0.0005341362491328,,3.904011284766136e-05,,,,,,r14_sigma1_X1e9,19.49385034187414,19.494384478123276,
zeta,60.0,1.0,20,1000000000,-4.4674774646865873e-13,,,2.327027459614328e-13,,4.4674774646865873e-13,,,,,,r14_sigma1_X1e9,6.806370693397938,6.806370693397706,
Lchi,60.0,1.0,20,1000000000,-4.00459793089773e-05,,,-0.000668794618992,,4.00459793089773e-05,,,,,,r14_sigma1_X1e9,24.100422926498283,24.101091721117275,
zeta,60.0,1.0,24,1000000000,-5.528755594123423e-13,,,2.3359092438113294e-13,,5.528755594123423e-13,,,,,,r14_sigma1_X1e9,7.951766516381312,7.9517665163810785,
Lchi,60.0,1.0,24,1000000000,-4.098423270189291e-05,,,-0.0008039077740278,,4.098423270189291e-05,,,,,,r14_sigma1_X1e9,29.85379106604094,29.85459497381497,
zeta,60.0,1.0,28,1000000000,-1.4823088160888389e-12,,,4.149569576838985e-12,,1.4823088160888389e-12,,,,,,r14_sigma1_X1e9,10.004271245467685,10.004271245463537,
Lchi,60.0,1.0,28,1000000000,-4.187295442160233e-05,,,-0.0009394782803511,,4.187295442160233e-05,,,,,,r14_sigma1_X1e9,34.52098110313605,34.5219205814164,
zeta,85.7,1.0,4,1000000000,-7.206227764914898e-15,,,1.7763568394002505e-15,,7.206227764914898e-15,,,,,,r14_sigma1_X1e9,1.7727863092531273,1.7727863092531255,
Lchi,85.7,1.0,4,1000000000,-1.6901578652412227e-05,,,-6.50664247388022e-05,,1.6901578652412227e-05,,,,,,r14_sigma1_X1e9,5.326923953205629,5.326989019630368,
zeta,85.7,1.0,8,1000000000,-3.115682150070866e-14,,,-1.5987211554602254e-14,,3.115682150070866e-14,,,,,,r14_sigma1_X1e9,4.161138248250207,4.161138248250223,
Lchi,85.7,1.0,8,1000000000,-1.742846738319536e-05,,,-0.0001302393758386,,1.742846738319536e-05,,,,,,r14_sigma1_X1e9,10.52982106810128,10.529951307477118,
zeta,85.7,1.0,12,1000000000,-5.418503077839872e-14,,,1.5987211554602254e-14,,5.418503077839872e-14,,,,,,r14_sigma1_X1e9,5.553058542248335,5.553058542248319,
Lchi,85.7,1.0,12,1000000000,-1.783958903871092e-05,,,-0.0001955191443947,,1.783958903871092e-05,,,,,,r14_sigma1_X1e9,15.975576580772548,15.97577209991694,
zeta,85.7,1.0,16,1000000000,-1.4314108840551834e-13,,,4.1744385725905886e-14,,1.4314108840551834e-13,,,,,,r14_sigma1_X1e9,6.538462935036456,6.538462935036415,
Lchi,85.7,1.0,16,1000000000,-1.819330475809765e-05,,,-0.0002609060224401,,1.819330475809765e-05,,,,,,r14_sigma1_X1e9,21.78106153979849,21.781322445820926,
zeta,85.7,1.0,20,1000000000,-3.881533339058007e-13,,,-1.2612133559741778e-13,,3.881533339058007e-13,,,,,,r14_sigma1_X1e9,7.623359620434618,7.623359620434744,
Lchi,85.7,1.0,20,1000000000,-1.851132572290124e-05,,,-0.0003264003032725,,1.851132572290124e-05,,,,,,r14_sigma1_X1e9,27.02054859974444,27.02087500004771,
zeta,85.7,1.0,24,1000000000,-5.281052050962188e-13,,,-1.3322676295501878e-13,,5.281052050962188e-13,,,,,,r14_sigma1_X1e9,9.47222617666946,9.472226176669594,
Lchi,85.7,1.0,24,1000000000,-1.880452912603632e-05,,,-0.0003920022812735,,1.880452912603632e-05,,,,,,r14_sigma1_X1e9,32.66963194265274,32.670023944934016,
zeta,85.7,1.0,28,1000000000,-9.93327449842846e-13,,,2.9167779302952117e-12,,9.93327449842846e-13,,,,,,r14_sigma1_X1e9,11.351475499531704,11.351475499528789,
Lchi,85.7,1.0,28,1000000000,-1.90792718703497e-05,,,-0.0004577122519151,,1.90792718703497e-05,,,,,,r14_sigma1_X1e9,37.50673446440692,37.50719217665883,
zeta,120.0,1.0,4,1000000000,-2.2469662534003883e-14,,,0.0,,2.2469662534003883e-14,,,,,,r14_sigma1_X1e9,1.5971658944407563,1.5971658944407563,
Lchi,120.0,1.0,4,1000000000,-8.523297319172743e-06,,,-3.317196672281142e-05,,8.523297319172743e-06,,,,,,r14_sigma1_X1e9,5.760494290569871,5.760527462536594,
zeta,120.0,1.0,8,1000000000,-4.7272044312202654e-14,,,-1.9539925233402755e-14,,4.7272044312202654e-14,,,,,,r14_sigma1_X1e9,3.716820965443707,3.716820965443727,
Lchi,120.0,1.0,8,1000000000,-8.710711709339166e-06,,,-6.637160534594955e-05,,8.710711709339166e-06,,,,,,r14_sigma1_X1e9,12.054912743930467,12.054979115535817,
zeta,120.0,1.0,12,1000000000,-6.976269139076828e-14,,,-1.1546319456101628e-14,,6.976269139076828e-14,,,,,,r14_sigma1_X1e9,6.036335575357059,6.036335575357071,
Lchi,120.0,1.0,12,1000000000,-8.855224789864076e-06,,,-9.959895438527155e-05,,8.855224789864076e-06,,,,,,r14_sigma1_X1e9,17.467290918657877,17.467390517612262,
zeta,120.0,1.0,16,1000000000,-1.4626051116655036e-13,,,8.881784197001252e-15,,1.4626051116655036e-13,,,,,,r14_sigma1_X1e9,7.640002127158702,7.640002127158693,
Lchi,120.0,1.0,16,1000000000,-8.978382320243236e-06,,,-0.0001328540523779,,8.978382320243236e-06,,,,,,r14_sigma1_X1e9,22.8973180088437,22.89745086289608,
zeta,120.0,1.0,20,1000000000,-3.721992741250384e-13,,,4.263256414560601e-14,,3.721992741250384e-13,,,,,,r14_sigma1_X1e9,9.756924788743907,9.756924788743866,
Lchi,120.0,1.0,20,1000000000,-9.088202429560634e-06,,,-0.000166136938148,,9.088202429560634e-06,,,,,,r14_sigma1_X1e9,28.62986123053192,28.630027367470067,
zeta,120.0,1.0,24,1000000000,-4.727378941721987e-13,,,3.3750779948604765e-14,,4.727378941721987e-13,,,,,,r14_sigma1_X1e9,11.094413005287718,11.094413005287684,
Lchi,120.0,1.0,24,1000000000,-9.1887042171785e-06,,,-0.0001994476499405,,9.1887042171785e-06,,,,,,r14_sigma1_X1e9,34.93273912804546,34.9329385756954,
zeta,120.0,1.0,28,1000000000,-6.599081734290035e-13,,,2.779998453661392e-12,,6.599081734290035e-13,,,,,,r14_sigma1_X1e9,12.574563273061118,12.574563273058338,
Lchi,120.0,1.0,28,1000000000,-9.28223812731086e-06,,,-0.0002327862271229,,9.28223812731086e-06,,,,,,r14_sigma1_X1e9,40.33331710077861,40.33354988700573,
zeta,30.0,2.0,4,100000,,0.9812081045435728,,,,,,,0.2488101558084648,0.2453020261358931,0.0140996241137048,r15_sigma2_X1e5,,,26.0
zeta,30.0,2.0,8,100000,,1.8244586984773008,,,,,,,0.2488101558084648,0.2280573373096626,0.083408245259803,r15_sigma2_X1e5,,,26.0
zeta,30.0,2.0,12,100000,,2.9746210763242087,,,,,,,0.2488101558084648,0.247885089693684,0.0037179596298027,r15_sigma2_X1e5,,,26.0
zeta,30.0,2.0,16,100000,,3.966474292279881,,,,,,,0.2488101558084648,0.2479046432674925,0.0036393713031126,r15_sigma2_X1e5,,,26.0
zeta,30.0,2.0,20,100000,,4.963456659327684,,,,,,,0.2488101558084648,0.2481728329663842,0.0025614824282786,r15_sigma2_X1e5,,,26.0
zeta,30.0,2.0,24,100000,,5.881836535080977,,,,,,,0.2488101558084648,0.2450765222950407,0.0150059530379391,r15_sigma2_X1e5,,,26.0
zeta,30.0,2.0,28,100000,,6.879915201636472,,,,,,,0.2488101558084648,0.2457112572013025,0.0124548718563876,r15_sigma2_X1e5,,,26.0
zeta,46.13,2.0,4,100000,,1.3009517437188498,,,,,,,0.3172891350001056,0.3252379359297124,0.0250522317116347,r15_sigma2_X1e5,,,36.0
zeta,46.13,2.0,8,100000,,2.5683838538854213,,,,,,,0.3172891350001056,0.3210479817356776,0.0118467552807025,r15_sigma2_X1e5,,,36.0
zeta,46.13,2.0,12,100000,,3.8393481528470663,,,,,,,0.3172891350001056,0.3199456794039222,0.0083726296011229,r15_sigma2_X1e5,,,36.0
zeta,46.13,2.0,16,100000,,5.081141941328353,,,,,,,0.3172891350001056,0.317571371333022,0.0008895241020979,r15_sigma2_X1e5,,,36.0
zeta,46.13,2.0,20,100000,,6.021985164808377,,,,,,,0.3172891350001056,0.3010992582404188,0.0510256260734595,r15_sigma2_X1e5,,,36.0
zeta,46.13,2.0,24,100000,,7.326705629268158,,,,,,,0.3172891350001056,0.3052794012195066,0.0378510716435186,r15_sigma2_X1e5,,,36.0
zeta,46.13,2.0,28,100000,,8.859989218911112,,,,,,,0.3172891350001056,0.3164281863896825,0.0027134512829214,r15_sigma2_X1e5,,,36.0
zeta,60.0,2.0,4,100000,,1.449817649867266,,,,,,,0.3591279558847907,0.3624544124668165,0.0092625943692698,r15_sigma2_X1e5,,,44.0
zeta,60.0,2.0,8,100000,,2.849218821411223,,,,,,,0.3591279558847907,0.3561523526764029,0.0082856351326277,r15_sigma2_X1e5,,,44.0
zeta,60.0,2.0,12,100000,,4.127223287203057,,,,,,,0.3591279558847907,0.3439352739335881,0.0423043700782694,r15_sigma2_X1e5,,,44.0
zeta,60.0,2.0,16,100000,,5.779186769928586,,,,,,,0.3591279558847907,0.3611991731205366,0.0057673517246604,r15_sigma2_X1e5,,,44.0
zeta,60.0,2.0,20,100000,,7.293460852268242,,,,,,,0.3591279558847907,0.3646730426134121,0.0154404207128901,r15_sigma2_X1e5,,,44.0
zeta,60.0,2.0,24,100000,,8.911734706369876,,,,,,,0.3591279558847907,0.3713222794320781,0.033955372583691,r15_sigma2_X1e5,,,44.0
zeta,60.0,2.0,28,100000,,9.974858690739255,,,,,,,0.3591279558847907,0.3562449532406876,0.0080277867452565,r15_sigma2_X1e5,,,44.0
zeta,85.7,2.0,4,100000,,1.7014234084257236,,,,,,,0.4158680082550849,0.4253558521064309,0.02281455573165,r15_sigma2_X1e5,,,50.0
zeta,85.7,2.0,8,100000,,3.2027466422907374,,,,,,,0.4158680082550849,0.4003433302863421,0.0373307820283696,r15_sigma2_X1e5,,,50.0
zeta,85.7,2.0,12,100000,,4.942158025385643,,,,,,,0.4158680082550849,0.4118465021154702,0.0096701502875595,r15_sigma2_X1e5,,,50.0
zeta,85.7,2.0,16,100000,,6.974669436324458,,,,,,,0.4158680082550849,0.4359168397702786,0.0482096028480654,r15_sigma2_X1e5,,,50.0
zeta,85.7,2.0,20,100000,,8.269543031237223,,,,,,,0.4158680082550849,0.4134771515618611,0.005749075778287,r15_sigma2_X1e5,,,50.0
zeta,85.7,2.0,24,100000,,9.845057399014998,,,,,,,0.4158680082550849,0.4102107249589582,0.0136035549352877,r15_sigma2_X1e5,,,50.0
zeta,85.7,2.0,28,100000,,11.64440383767054,,,,,,,0.4158680082550849,0.4158715656310908,8.55409874097103e-06,r15_sigma2_X1e5,,,50.0
zeta,120.0,2.0,4,100000,,2.0504173256169445,,,,,,,0.4694457559611164,0.5126043314042361,0.0919351701343199,r15_sigma2_X1e5,,,56.0
zeta,120.0,2.0,8,100000,,3.6224304080281895,,,,,,,0.4694457559611164,0.4528038010035237,0.0354502192133379,r15_sigma2_X1e5,,,56.0
zeta,120.0,2.0,12,100000,,5.647125990410128,,,,,,,0.4694457559611164,0.4705938325341773,0.0024456000687671,r15_sigma2_X1e5,,,56.0
zeta,120.0,2.0,16,100000,,7.598631832643584,,,,,,,0.4694457559611164,0.474914489540224,0.0116493407591069,r15_sigma2_X1e5,,,56.0
zeta,120.0,2.0,20,100000,,9.357207789713264,,,,,,,0.4694457559611164,0.4678603894856631,0.0033771025838917,r15_sigma2_X1e5,,,56.0
zeta,120.0,2.0,24,100000,,11.112680048760872,,,,,,,0.4694457559611164,0.4630283353650363,0.013670206865416,r15_sigma2_X1e5,,,56.0
zeta,120.0,2.0,28,100000,,13.14093465262703,,,,,,,0.4694457559611164,0.4693190947366796,0.0002698101385058,r15_sigma2_X1e5,,,56.0
Lchi,30.0,2.0,4,100000,,1.8647441607265551,,,,,,,0.5049601551718529,0.4661860401816388,0.0767864842266973,r15_sigma2_X1e5,,,24.0
Lchi,30.0,2.0,8,100000,,4.233881988263306,,,,,,,0.5049601551718529,0.5292352485329133,0.0480732848174898,r15_sigma2_X1e5,,,24.0
Lchi,30.0,2.0,12,100000,,6.01421627287485,,,,,,,0.5049601551718529,0.5011846894062375,0.0074767597541047,r15_sigma2_X1e5,,,24.0
Lchi,30.0,2.0,16,100000,,7.689969934747848,,,,,,,0.5049601551718529,0.4806231209217405,0.0481959497216761,r15_sigma2_X1e5,,,24.0
Lchi,30.0,2.0,20,100000,,9.95655071076886,,,,,,,0.5049601551718529,0.4978275355384429,0.0141251137547327,r15_sigma2_X1e5,,,24.0
Lchi,30.0,2.0,24,100000,,12.061931392266388,,,,,,,0.5049601551718529,0.5025804746777661,0.0047126104301771,r15_sigma2_X1e5,,,24.0
Lchi,30.0,2.0,28,100000,,13.938242453692196,,,,,,,0.5049601551718529,0.4977943733461498,0.0141907866438775,r15_sigma2_X1e5,,,24.0
Lchi,46.13,2.0,4,100000,,2.241248451972032,,,,,,,0.5734391343634937,0.560312112993008,0.0228917431403708,r15_sigma2_X1e5,,,28.0
Lchi,46.13,2.0,8,100000,,4.66446768510863,,,,,,,0.5734391343634937,0.5830584606385788,0.0167747991001039,r15_sigma2_X1e5,,,28.0
Lchi,46.13,2.0,12,100000,,6.976887710954358,,,,,,,0.5734391343634937,0.5814073092461965,0.0138954152327733,r15_sigma2_X1e5,,,28.0
Lchi,46.13,2.0,16,100000,,8.826348317244989,,,,,,,0.5734391343634937,0.5516467698278118,0.0380029252099632,r15_sigma2_X1e5,,,28.0
Lchi,46.13,2.0,20,100000,,11.479252122684056,,,,,,,0.5734391343634937,0.5739626061342029,0.0009128637013765,r15_sigma2_X1e5,,,28.0
Lchi,46.13,2.0,24,100000,,13.647506422874422,,,,,,,0.5734391343634937,0.5686461009531009,0.0083583995635613,r15_sigma2_X1e5,,,28.0
Lchi,46.13,2.0,28,100000,,16.12055062499339,,,,,,,0.5734391343634937,0.575733950892621,0.0040018484815734,r15_sigma2_X1e5,,,28.0
Lchi,60.0,2.0,4,100000,,2.4669621091669915,,,,,,,0.6152779552481787,0.6167405272917479,0.0023770915747813,r15_sigma2_X1e5,,,29.0
Lchi,60.0,2.0,8,100000,,4.844338825503316,,,,,,,0.6152779552481787,0.6055423531879145,0.0158230958499679,r15_sigma2_X1e5,,,29.0
Lchi,60.0,2.0,12,100000,,7.308259159767855,,,,,,,0.6152779552481787,0.6090215966473213,0.0101683451316469,r15_sigma2_X1e5,,,29.0
Lchi,60.0,2.0,16,100000,,9.933337120867789,,,,,,,0.6152779552481787,0.6208335700542367,0.0090294390667987,r15_sigma2_X1e5,,,29.0
Lchi,60.0,2.0,20,100000,,12.496757943277986,,,,,,,0.6152779552481787,0.6248378971638993,0.0155375986319295,r15_sigma2_X1e5,,,29.0
Lchi,60.0,2.0,24,100000,,14.744598363321426,,,,,,,0.6152779552481787,0.6143582651383928,0.0014947555034943,r15_sigma2_X1e5,,,29.0
Lchi,60.0,2.0,28,100000,,17.146102486749122,,,,,,,0.6152779552481787,0.612360803098183,0.0047411940003914,r15_sigma2_X1e5,,,29.0
Lchi,85.7,2.0,4,100000,,2.6688233940511084,,,,,,,0.6720180076184731,0.6672058485127771,0.0071607591629122,r15_sigma2_X1e5,,,32.0
Lchi,85.7,2.0,8,100000,,5.410795783148435,,,,,,,0.6720180076184731,0.6763494728935544,0.0064454601304976,r15_sigma2_X1e5,,,32.0
Lchi,85.7,2.0,12,100000,,8.095089427045949,,,,,,,0.6720180076184731,0.6745907855871623,0.0038284360530855,r15_sigma2_X1e5,,,32.0
Lchi,85.7,2.0,16,100000,,10.774084989792696,,,,,,,0.6720180076184731,0.6733803118620435,0.0020271841351368,r15_sigma2_X1e5,,,32.0
Lchi,85.7,2.0,20,100000,,13.394081173512111,,,,,,,0.6720180076184731,0.6697040586756057,0.0034432841332149,r15_sigma2_X1e5,,,32.0
Lchi,85.7,2.0,24,100000,,16.016309557257664,,,,,,,0.6720180076184731,0.6673462315524027,0.0069518614279793,r15_sigma2_X1e5,,,32.0
Lchi,85.7,2.0,28,100000,,18.748064141519446,,,,,,,0.6720180076184731,0.6695737193399802,0.00363723628055,r15_sigma2_X1e5,,,32.0
Lchi,120.0,2.0,4,100000,,2.921261846680184,,,,,,,0.7255957553245046,0.7303154616700459,0.0065045947566638,r15_sigma2_X1e5,,,35.0
Lchi,120.0,2.0,8,100000,,5.928613422071061,,,,,,,0.7255957553245046,0.7410766777588826,0.0213354644383973,r15_sigma2_X1e5,,,35.0
Lchi,120.0,2.0,12,100000,,8.802114135106551,,,,,,,0.7255957553245046,0.7335095112588793,0.0109065631604135,r15_sigma2_X1e5,,,35.0
Lchi,120.0,2.0,16,100000,,11.265936813927016,,,,,,,0.7255957553245046,0.7041210508704385,0.0295959620718316,r15_sigma2_X1e5,,,35.0
Lchi,120.0,2.0,20,100000,,14.40561678982663,,,,,,,0.7255957553245046,0.7202808394913315,0.0073248992902337,r15_sigma2_X1e5,,,35.0
Lchi,120.0,2.0,24,100000,,17.33488827353748,,,,,,,0.7255957553245046,0.722287011397395,0.0045600376005918,r15_sigma2_X1e5,,,35.0
Lchi,120.0,2.0,28,100000,,20.32621136662892,,,,,,,0.7255957553245046,0.7259361202367473,0.0004690833838883,r15_sigma2_X1e5,,,35.0
LDelta,85.7,2.0,4,100000,,3.320819034764254,,,,,,,0.8317360165101699,0.8302047586910635,0.0018410382485675,r15_sigma2_X1e5,,,80.0
LDelta,85.7,2.0,8,100000,,6.573733220592934,,,,,,,0.8317360165101699,0.8217166525741167,0.0120463268839707,r15_sigma2_X1e5,,,80.0
LDelta,85.7,2.0,12,100000,,10.051376223619432,,,,,,,0.8317360165101699,0.8376146853016193,0.0070679502567597,r15_sigma2_X1e5,,,80.0
LDelta,85.7,2.0,16,100000,,13.46547188369663,,,,,,,0.8317360165101699,0.8415919927310394,0.0118498850900115,r15_sigma2_X1e5,,,80.0
LDelta,85.7,2.0,20,100000,,16.512245231560282,,,,,,,0.8317360165101699,0.8256122615780142,0.0073626184397425,r15_sigma2_X1e5,,,80.0
LDelta,85.7,2.0,24,100000,,19.62503921818648,,,,,,,0.8317360165101699,0.8177099674244367,0.0168635826840639,r15_sigma2_X1e5,,,80.0
LDelta,85.7,2.0,28,100000,,23.30496803645013,,,,,,,0.8317360165101699,0.8323202870160762,0.0007024710897548,r15_sigma2_X1e5,,,80.0
