function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
zeta,85.7,1.0,8,50000000,-4.3622208052197817e-14,4.161138248250207,4.161138248250332,-1.2434497875801753e-13,2.988244353820871e-14,4.3622208052197817e-14,1.0483239308509232e-14,True,0.4158680082550849,0.5201422810312759,0.2507388659534282,r12_sigma1_X5e7,,,
zeta,85.7,1.0,12,50000000,-5.4820172429403977e-14,5.553058542248335,5.553058542248518,-1.829647544582258e-13,3.2948464898435345e-14,5.4820172429403977e-14,9.872068160694784e-15,True,0.4158680082550849,0.4627548785206946,0.1127445952439076,r12_sigma1_X5e7,,,
zeta,85.7,1.0,16,50000000,-9.65853118626936e-14,6.538462935036456,6.538462935036494,-3.730349362740527e-14,5.7052389832347145e-15,9.65853118626936e-14,1.4771868070879425e-14,True,0.4158680082550849,0.4086539334397785,0.0173470300001568,r12_sigma1_X5e7,,,
zeta,85.7,1.0,20,50000000,-1.0506850081309468e-10,7.623359620434618,7.623359619912777,5.218412368890313e-10,6.845292139835853e-11,1.0506850081309468e-10,1.378244055697645e-11,True,0.4158680082550849,0.3811679810217309,0.0834400015017981,r12_sigma1_X5e7,,,
zeta,85.7,1.0,24,50000000,-1.0207192146712098e-07,9.47222617666946,9.472225815405812,3.612636483296683e-07,3.8139254869090615e-08,1.0207192146712098e-07,1.0775916829195752e-08,False,0.4158680082550849,0.3946760906945608,0.0509582779628613,r12_sigma1_X5e7,,,
zeta,85.7,1.0,28,50000000,-3.4044440980006466e-05,11.351475499531704,11.35139001637006,8.548316164436187e-05,7.530577117299721e-06,3.4044440980006466e-05,2.999120332983227e-06,False,0.4158680082550849,0.4054098392689894,0.0251478083875129,r12_sigma1_X5e7,,,
zeta,120.0,1.0,4,50000000,-3.9694929820871153e-14,1.5971658944407563,1.5971658944408276,-7.105427357601003e-14,4.4487722799070603e-14,3.9694929820871153e-14,2.4853354281503883e-14,True,0.4694457559611164,0.3992914736101891,0.1494406573285501,r12_sigma1_X5e7,,,
zeta,120.0,1.0,8,50000000,-6.01397535527407e-14,3.716820965443707,3.71682096544386,-1.523225989785715e-13,4.098195753703393e-14,6.01397535527407e-14,1.618042787421732e-14,True,0.4694457559611164,0.4646026206804634,0.0103167090535039,r12_sigma1_X5e7,,,
zeta,120.0,1.0,12,50000000,-8.057533649929092e-14,6.036335575357059,6.036335575357271,-2.113864638886298e-13,3.5019004700732856e-14,8.057533649929092e-14,1.3348385869770792e-14,True,0.4694457559611164,0.5030279646130883,0.0715358659132354,r12_sigma1_X5e7,,,
zeta,120.0,1.0,16,50000000,-1.4072457259121817e-13,7.640002127158702,7.640002127158914,-2.1227464230833e-13,2.778463130968713e-14,1.4072457259121817e-13,1.8419441545830207e-14,True,0.4694457559611164,0.4775001329474189,0.0171572048187173,r12_sigma1_X5e7,,,
