,xi_gev,xi_gev,xi_gev,xi_gev,xi_gev,rcomp_mean,rcomp_mean,rcomp_mean,rcomp_mean
,mean,std,min,max,count,mean,std,min,max
alpha,,,,,,,,,
0.8,0.18163517151805478,0.08411812767731774,0.08802618516434602,0.30337485428704203,5,0.0033482408762788483,0.0004122925383333922,0.0029138537898370574,0.003781662335750288
0.9,0.18318624030681932,0.04239252939356705,0.13150417127526987,0.22023589317851483,5,0.0029693380416703176,0.0003437478444497706,0.0024837914045183,0.0033350973788554635
0.95,0.12158131349184087,0.06019753088644041,0.0534164334887673,0.1964991340418415,5,0.0027549974211674025,0.00047497968268318423,0.0021876811659872434,0.003462028042965988
0.98,0.0882465545094617,0.036851263524543335,0.05128575939375571,0.13951859411043305,5,0.0022377368916455588,0.00026338383957007265,0.0017890472540866488,0.0024148671265779463
0.99,0.09712524384382515,0.05712500285123214,0.036436480719247766,0.18570833162781342,5,0.0023065810748605043,0.00016175292752949413,0.002043112581008906,0.0024347492952335945
0.995,0.08111770568760557,0.019126116986647318,0.05904733010572326,0.11084334784860594,5,0.002111282149695381,0.00019067463073946868,0.0018557047949312403,0.0023213129865283758
1.0,0.048445157840310685,0.0,0.048445157840310685,0.048445157840310685,5,0.0021425940367742163,0.0001371029341374455,0.002016355877195325,0.0023655794017241674
