Function,Model,AIC,BIC,R²,Asymptotic_ξ
ζ(s),Constant,-54.237033841695094,-54.62759592926099,0.0,0.25547217889819873
ζ(s),Log convergence,-54.81449051750956,-55.59561469264136,0.4027929063241765,0.23959503300152898
f_rand,Constant,-22.59844919621048,-22.98901128377638,0.0,-0.12004941566824608
f_rand,Log convergence,-30.553555302538896,-31.334679477670697,0.863444099574778,0.42999135954500395
