Function,N_label,xi,ci_lower,ci_upper,log_N
ζ(s),10⁴,0.25831334733674105,0.016861325241196823,0.4997653694322853,9.210340371976182
ζ(s),3×10⁴,0.25675074650016505,0.016099398023307954,0.49740209497702215,10.308952660644293
ζ(s),10⁵,0.2548028757727845,0.015146740888446503,0.4944590106571225,11.512925464970229
ζ(s),3×10⁵,0.25870164095125536,0.017050340108842932,0.5003529417936678,12.611537753638338
ζ(s),10⁶,0.24879228393004754,0.0121869751144065,0.4853975927456886,13.815510557964274
f_rand,10⁴,-0.2772708166210355,-0.3726488571799249,-0.18189277606214604,9.210340371976182
f_rand,3×10⁴,-0.11782118337613864,-0.23038469884492335,-0.005257667907353922,10.308952660644293
f_rand,10⁵,-0.09670517456218408,-0.2129818926146973,0.019571543490329135,11.512925464970229
f_rand,3×10⁵,-0.0900911470938922,-0.20761335556045424,0.027431061372669832,12.611537753638338
f_rand,10⁶,-0.01835875668797994,-0.15202388256361665,0.11530636918765678,13.815510557964274
