function,GRH,t,P_t,reS0,reS1,reS2,reS3,reS4,reS5,reS6,reS7,imS0,imS1,imS2,imS3,imS4,imS5,imS6,imS7
F1,True,77403.70000024521,3.361495562862728,1.0,5.2946404920566295,10.051341545682586,8.28335111683823,2.603521311671236,0.6827157604763839,0.2303572807013685,0.0038983170107701557,0.0,-0.46826119950494344,0.25125685806972736,-0.011111453320028986,-0.02313694669933924,1.0232924704695925,0.16134001540493606,-0.0008683541954391462
F1,True,74956.00000023631,3.354115398634414,1.0,5.0393811174099,9.921756691494679,7.603090357767659,2.603542850720194,0.9311547499959981,0.18551301859624525,0.004929669294368813,0.0,0.6442223367342724,1.8443794224331018,1.4219124469274358,0.4190048117351141,0.02529235866734229,-0.01198495711763321,-0.0008170485357263187
F1,True,94526.8000003075,3.499795230853364,1.0,5.148137970100377,9.402981357216046,7.209984186404468,3.235884952915212,0.9384520234753941,0.05394757212642837,-0.0024164932527699877,0.0,0.07320481217796003,-0.04879523427198674,-0.7951860619586651,-1.3413744984234561,-0.8177836813121047,-0.17231357478408119,-0.0010026429381750847
F1,True,97255.10000031744,3.6415864230872246,1.0,4.481084279350719,8.280793056406488,5.748170317031711,3.9931249494670755,2.0222107461758982,0.3263790893490242,0.002941358936410305,0.0,0.8863975572299877,2.5815668411474557,2.185861250457101,0.8052620251962632,-0.09985904832635012,-0.19386836698469434,-0.0029567764767141117
F1,True,63751.90000019555,3.3724837431428685,1.0,4.868749553823911,9.363182683159978,7.73394116383155,2.6004803240859546,0.34851415779172285,0.0382834191047388,0.0004206402564140264,0.0,0.3742162996524,0.09591234260253746,-0.9274095226448109,-0.5267656914859651,-0.31682086133193327,0.01594988097880999,-0.0007990002188292671
F1,True,83431.90000026714,3.4173712874324664,1.0,4.9052513166797995,8.155522642966066,6.668539726409888,2.631168396227904,1.3261706517690337,0.23944945465921577,0.002052502382565743,0.0,-1.5529445983138896,-3.1216869584879223,-3.614256033902025,-0.1631015877315575,1.0984191285977047,0.23970008405494245,0.004111281056640005
F1,True,88607.90000028597,3.6725475995195604,1.0,4.645586488209173,7.541298339484619,6.6550816912687685,3.7846756557558514,1.2925631178157233,0.1226922190049323,0.0004844983719027475,0.0,-1.2034817616932123,-2.8723673348919565,-1.8942556422390555,-0.423120526570807,0.030917542108434105,0.08085675929026413,0.002607515426574598
F1,True,90048.80000029122,3.4731522950699016,1.0,5.096738100313901,8.545873005142976,6.351617555575781,2.7270137325967707,1.093621503665064,0.350260888622741,0.0042902829215159125,0.0,0.8551822994079047,2.326389354306945,0.6926154823131193,0.2158460573021656,0.7014423593425142,0.06862620952082431,-0.002522700180629393
F1,True,93874.70000030514,3.687353776742036,1.0,4.138447921386233,7.102569498776153,6.002775207354522,3.524824294397797,1.786319843541112,0.2538275849384133,0.001923835196544012,0.0,-1.0660811429350738,-2.85388367496211,-2.697230794739422,-1.4938440091081981,-0.6298695957884909,-0.06670894510372632,0.0009969070384934868
F1,True,88081.60000028406,3.596956947033264,1.0,4.321193507168692,8.21573833416815,6.027732814940126,3.549403666011568,1.8541860037448055,0.2983197709694733,0.0027977915335603305,0.0,0.11662470288074955,-0.6421581085507921,-1.1863892708613666,-1.113898229886603,-0.6321529211900141,-0.14399473919336495,-0.0025293618210123093
F1,True,98352.60000032144,3.8094021592407126,1.0,4.04880053512953,6.610036140326557,6.065897695636652,4.380959350248142,2.5628539273146593,0.3721236521140397,0.005248898634245892,0.0,-0.5355502727772035,-0.38818755670202654,0.6677149753963073,-0.051794441957086795,-0.48833754107563654,-0.09031085446623249,-0.0006233732017461061
F1,True,84129.80000026968,3.5860962601495086,1.0,4.229136436624806,6.828716725515306,5.906229710280021,3.066456582238909,2.573617652939498,0.492140334390739,0.004898331311218721,0.0,-1.046518394867151,-3.085225726881229,-1.2808017815159354,-0.36507286387370275,-0.4197306633564949,-0.006887458469316605,0.0030112850031607167
F1,True,96557.4000003149,3.5508207248982977,1.0,5.049211436823071,7.997616331299687,5.5147998154834985,2.687947453448702,1.622337023401566,0.2797359198272059,0.0010825453979882269,0.0,-0.5354373401263337,-1.8682976726952352,-1.432817738010608,-1.3753792755163732,-0.5543707054849825,-0.006288862184183846,0.0011847848029607729
F1,True,99702.80000032632,3.673805566106158,1.0,4.967835255517289,7.9332093595904185,5.3192196145987465,3.705749440218132,1.4875194392120632,0.18165163867254053,0.0023089218145751853,0.0,0.12242827813204128,0.7526219615714606,1.0058480046721041,-0.43721980431371443,-0.6632903908209891,-0.0617652401021137,-0.0028224968007045633
F1,True,68229.90000021184,3.6656922961771192,1.0,4.427800385108514,7.019836215901721,7.142562745298051,3.586089951985221,0.9356214108753294,0.1644545105323878,0.0035782680720760603,0.0,0.7516402494763381,0.6072564675862163,0.3754136968939178,-0.763185542594019,-1.584458887709418,-0.26471915103984855,-0.003203162543833089
F1,True,55104.60000016409,3.333889111472463,1.0,4.873987954406054,8.830468512021831,6.398433210188498,2.2881331237046028,1.0110466039511297,0.0988241743768079,0.0018559453571464503,0.0,-1.0033690172600613,-2.3289692209323194,-1.351217685918098,0.26597966104247256,0.36370731169298526,0.05750830511649037,0.0031410315987199008
F1,True,96185.80000031354,3.59199917216625,1.0,4.95038434625409,8.041251557844854,5.813738123054774,3.2662936363594604,0.7841820883207891,0.024002587594332218,-0.0007439455818413029,0.0,-0.8653390724138731,-2.2207355580807038,-1.209441457058474,-0.008146730194884592,-0.07337013491198728,-0.09986684508676401,-0.0015041024572650485
F1,True,81881.70000026151,3.4985540771465766,1.0,5.036295209009881,8.505728749548094,6.2396366167431765,2.67792601329083,0.7335818368035897,-0.022629953598796104,-0.003991302740690872,0.0,-0.4948654366648283,-1.0014375160190196,-0.035745558088316184,-0.8971935130855293,-0.4525817899017031,-0.0495062385462276,-0.002212089241745982
F1,True,96974.4000003164,3.6544970564292556,1.0,4.898109115389757,7.704762903013177,5.867652965042951,3.324840036589145,1.1388051858029127,0.0638332832565415,0.0009324546720967484,0.0,-0.017102038952418498,0.8085967179317194,0.40532511931518345,-0.643339409261652,-0.6381141594484624,-0.10935895435564906,-0.0009083167885770119
F1,True,63099.70000019317,3.5187038070441203,1.0,4.658632736153051,8.547887015549762,5.70616564456176,2.999402948744133,0.9776449768912916,0.0783442583314485,0.0007889479285524245,0.0,-0.29586158975873955,0.08730139840293737,-0.07955404582535483,0.1728146741431793,0.22419837025298103,0.01210446912074176,0.0030185761079256556
F1,True,85633.90000027516,3.685108514235878,1.0,3.6176169821131765,5.956504008444426,6.497670731476438,3.4288526635756353,1.7343598718044113,0.39011365388814156,0.007258433521090224,0.0,0.9695775505604364,2.322394656308715,1.1750487821715736,0.9552222598811693,1.6490888800020047,0.22484548137813218,0.0033270975576368167
F1,True,93085.90000030228,3.425132062505321,1.0,4.340511503840011,7.176917993550221,7.0624217966459435,3.184333301607746,0.5529461513027868,0.08629540539515736,4.222568956592043e-05,0.0,-0.5286284032902687,-0.8095332906589595,0.045479589217055055,2.7607465051011384,1.5035092553609863,0.16461246656105527,-0.0007049995952124529
F1,True,80612.80000025689,3.721234766002016,1.0,3.7596728987959276,6.393707845897688,5.241460674827837,3.044391719545619,2.9674876354194666,0.5867008632064242,0.004507121984241755,0.0,-1.0788539813558136,-1.8199591913967952,-1.7660687723180202,-1.5725342637454764,-0.45301883939952103,0.166786128899703,0.004243811802187122
F1,True,80222.70000025547,3.656319711767904,1.0,4.575631603555148,7.550081537668595,5.711596349457417,3.358021375931237,1.2754836158270888,0.11856771010427965,0.002555277501914988,0.0,0.5852083738006909,1.4848649053247303,2.3482361383044847,1.0037430332324966,-0.15036510285200438,-0.04277405243926987,-0.00030598012421614304
F1,True,99004.8000003238,3.8856111562827578,1.0,4.552925976449772,6.152641760607033,5.156100429389103,4.197256408815165,1.643288021446981,0.161812937812022,0.0011536614640918585,0.0,1.106468872629059,2.4790906675306394,1.5052552866251163,1.3789599736924107,0.2628891092950659,0.008073215210003842,-0.00032671542957491274
F1,True,70677.50000022075,3.634500575484762,1.0,4.485614791177928,7.2017457510795015,4.9402364697388865,3.1459447984334927,1.4144798837826476,0.23690517128751348,0.0037208083681212843,0.0,1.1776940150436708,3.1891794034329157,2.239605196426677,1.1774447552007694,0.34740299841588834,-0.01702845999543487,-0.0031149472330984015
F1,True,50626.5000001478,3.316975778318354,1.0,5.14373856457534,9.001638282752344,5.902629498029981,2.0503091456172817,0.4310276002701766,-0.005518875883169077,-0.0005503517353643663,0.0,-0.6112815087187712,-1.4806051618868046,-1.0756282529057468,-0.003805312381642705,0.23127784430963844,0.03568417089914826,-0.0010623332144743156
F1,True,66308.80000020485,3.7378538441176175,1.0,3.9792481770846004,6.709911404536604,5.244312367923027,4.202382236812548,1.73598711657691,0.1694050849940079,4.6148343709232495e-05,0.0,-1.324846725397086,-2.081438204171467,-2.388397237995585,-0.11840211853875139,0.5040046699208263,0.15765483606057365,0.004750188889829217
F1,True,86050.90000027667,3.7623848621519618,1.0,4.021087082803191,5.797446826798279,5.088759630011888,3.9398055766870694,2.050823650121726,0.1877099584883161,-0.0008602869454856594,0.0,1.417740579414499,3.654947030394714,3.18068972595139,1.1841513287121155,-0.374247207898608,-0.23178353974952712,-0.0025977795014598083
F1,True,74303.80000023394,3.378134619262312,1.0,4.41969255621658,8.18386374270283,6.283836779236967,2.3858490492324043,0.8578284731355986,0.03388843507573285,-0.0009047812761430123,0.0,-0.6143708153054013,-2.1780793036120842,0.06878092787811371,-0.5263157939491936,-0.2771587653823235,0.07565452774768672,0.00081014225392644
F1,True,89259.90000028834,3.8774336676346497,1.0,3.9608402910478167,5.787634408573967,4.653848101178812,4.187171442372767,1.8504554023577873,0.20904189975746962,0.0055093062697492545,0.0,1.155877079183735,2.4500551847464083,2.600982350686939,1.9477171914953029,0.53194937157455,-0.00011794272302797094,-3.267578087795753e-05
F1,True,57551.900000173,3.6131410320614896,1.0,4.554731819370727,6.555497343800547,4.814570628474239,2.9385059466594106,1.7915565616270925,0.4236563370290215,0.007004477551453071,0.0,0.9209519548112732,2.892631372184739,3.7667486209021486,1.4458445898489165,-0.7825689580862742,-0.1634238487715207,-0.00012469377418902847
F1,True,86948.90000027994,3.528630990591588,1.0,4.799371493494194,7.898513563303151,5.477737388299364,2.625169222240398,0.6726913299215468,0.0818554915788507,0.0007619706724519795,0.0,0.4122505890190233,1.415107668470038,0.9430414187236248,1.7135845988675926,1.1112010236485979,0.2246488380708594,0.0016416081054590726
F1,True,73234.30000023005,3.4679226740842912,1.0,3.9538548128089714,7.628034961324503,5.9054245473536815,2.6844348997350385,2.0445270691943276,0.21924323911547083,-0.0019743008941049203,0.0,-0.4742331975771091,-0.8394122928778046,0.4887973434032799,0.5364439609799498,1.1256384275111262,0.38953166076371487,0.0052656989173123685
F1,True,66725.70000020636,3.4050981909939884,1.0,4.4768160387431735,7.845718083530757,5.931346253260925,2.4807138370764306,1.309737630947284,0.39940733537390216,0.005096193229644856,0.0,-0.3690110319610008,-0.8911677944622756,0.9108402928094718,1.3680424245385807,0.5865738594187124,0.25607989789736685,0.005409178327882666
F1,True,52656.90000015518,3.551016220700603,1.0,4.777255602590037,7.772499274847804,5.934733542516694,2.6575279672077383,0.7056667407814509,0.12570643606187365,0.001979779530235139,0.0,0.07158292832594124,0.667877719200825,0.9245811587617465,1.0893043797409445,1.2097608239393365,0.1459608311691147,0.0018788121477297773
F1,True,91707.60000029724,3.6771495856431526,1.0,4.468294709030275,7.517163781667713,5.118759133990055,3.687428122178084,1.2326071610861455,0.10318468329187706,0.0014915494389559055,0.0,0.665114131932451,1.5197915519297276,1.4803494916861042,0.00027689607555176363,-0.4102230138746147,-0.08112771182838802,-0.0004999053014842927
F1,True,51106.800000149546,3.3893382451839154,1.0,4.901170325090892,8.003428970335824,5.122515337173663,1.9788159520864077,1.6790825724173266,0.19329442029757796,0.004161470541854079,0.0,0.5298809375711809,1.1832296430394682,1.3095587196632685,0.631423133875847,0.04188576164717351,0.07820432317167604,0.0022100141831182226
F1,True,97735.70000031918,3.5749019200711674,1.0,4.944018741068301,7.762086205989084,6.243805371723442,2.7002472312242474,0.5019711928915686,-0.06419224657322542,-0.005076680157036856,0.0,-0.08580083889451796,-0.7811699708028583,-0.6470055316161851,-0.5521412395868395,-0.06471512886348002,0.0705636459817965,0.00015970811256885338
F1,True,60652.00000018427,3.297539429098094,1.0,5.198776634555039,8.681029794324516,6.110917763324923,1.8230160744077892,0.21224525519116091,0.002130416730411683,-0.0006473266162241771,0.0,0.11024962879286829,1.0231626496727693,0.43474382776826376,-0.5563303961803406,0.09819736327332106,0.0719729220219824,0.00032810584830256153
F1,True,40800.600000112056,3.630479092716386,1.0,4.492128348784473,7.590467057682648,6.39652349843745,3.4863970957964567,-0.16680728631618333,-0.0787027910777784,0.0008584520742113801,0.0,-0.5577371028607111,-0.4056006274707568,0.9977062454883562,0.8943209026843963,1.2639933816199096,0.4274246103910247,0.006025631044825648
F1,True,30775.00000007558,3.1988972076519286,1.0,4.353321144665864,8.08167601821327,6.899558749907533,1.5142439788245108,0.487086723733366,0.15707250232322342,0.003661180365582228,0.0,-1.2694390744129145,-3.0647686963777385,-2.090571592838676,-0.193301700613464,0.8247019054824685,0.12946270671032553,0.002361623665969996
F1,True,45079.00000012762,3.2924667566392913,1.0,4.648301038995527,8.13777320027686,5.90511804225376,1.8972396378865872,0.9821897669774394,0.15696407615691224,0.0006960779559923801,0.0,-1.196938488529406,-1.9482128631061497,-1.9335462383414583,0.39043734113084955,0.4157827224413721,-0.06412778734841668,-0.0015291387012831242
F1,True,79851.10000025411,3.6576998577834337,1.0,4.608254660836388,6.67470695382197,4.879370139123727,3.0628734992284734,1.5537662211471943,0.19708095698673916,-0.0011816867066244986,0.0,0.7549254672894751,2.604268944386326,2.908390750956868,1.1606986915001405,-0.11244734295071265,-0.09278076055282924,-0.003077145971190437
F1,True,84700.80000027176,3.7396807472585327,1.0,4.296801287438709,6.970700242819579,4.445897208119126,3.8184877664637766,1.7517926267060553,0.2418073974175516,0.002607433928517418,0.0,0.34232926871780744,1.6381441176491096,1.4600483644921858,1.2228858592585665,0.5504591396707982,0.010555382000900244,0.0016631251266067929
F1,True,41452.800000114425,3.353924478368712,1.0,4.761787311135717,8.204723912759246,5.880025210587134,1.960303425413978,0.9357447900227105,0.14505522516060215,-0.0006019470753179532,0.0,0.5151251525340226,-0.12107462682302068,-0.6182382191103843,-0.30034533118990075,-0.3621554208267447,0.01247412800661022,0.0020219241023173803
F1,True,54624.10000016234,3.340194794740889,1.0,5.010101037624996,8.444004220247335,5.040008674315585,2.014760981409856,0.6851208037515798,0.04279262684095541,-0.0008838902119035692,0.0,-0.7261360029060074,-1.6899269654048017,-1.9181013832908185,-0.6415829656218273,-0.08880179405065373,0.08333121979448672,0.005749291045216416
F1,True,81229.50000025913,3.7848969692492207,1.0,3.307979806460547,6.052848969794949,5.337324070736085,4.032345668282132,1.9886006802683291,0.23816238732061687,0.000758556284686328,0.0,0.4901345918009917,0.7854993765145669,0.9750482682473198,1.5239156336132746,1.2932189469089943,0.27871233115184785,0.006540458900018829
F1,True,39422.20000010704,3.433440692438623,1.0,4.324000089880325,6.0560758000274575,6.227387402534701,2.252993007274707,0.6695763115016651,0.20402754963959743,-0.0006277998735055891,0.0,1.3425378080523507,3.731474950215696,2.421099332277683,0.20179438997407087,0.8385542736048788,0.08651696698076684,-0.003336264069639623
