orig_index	refined_dps80	seconds
696	609.39495601483260652482462383469215825669033811815771108301986687652803654101705	3.422
704	615.12079441904611505328932370934154233100901176748305381660736682539309535666882	3.269
712	620.47922291259935197371922165087134538354738056598805906284923087245711355510738	3.521
720	625.88788932247512799309960046550607710239221233772457676376941647101908746481587	3.336
728	631.66942880122500896579737283711486167291584561800920569438178200309673771151254	3.580
736	636.95180247607659148010256642374565232990044488668298055256435531361658401779926	3.723
744	642.62510327353511056961294357576639974320654377592203950702020660628725705265003	3.769
752	647.96140510349932778882475394978416051425460370677746698607126394497171312478822	3.957
760	653.57616942263547456796998314527814729532610985180921083937233146780234358092252	3.829
768	658.52586384128636893982858724918591865999263084784134231411123969180179706032542	4.073
776	663.96190877579409300948234143573430269798938320546084406845123499519977748164320	4.254
784	669.44213376273568103280157826575173333188242157164138075638468897525113987244561	4.068
792	674.79324325831145197667935645073834374553957131769376895552739673989306441743075	4.155
800	680.20607482367881850109992303187509705332854800172686592774770843198080411307741	4.187
808	685.55540407458910747825792659118220976294056763516625773048441522556394799744780	4.463
816	690.62342236646011113571601436040261956771742023025746300177281262986626945284062	4.346
824	696.45359167016579991109876166126811635682125669693935436416532465284770962547695	4.456
832	701.09731146654657422747442753589231514547179747861947521003760130823632039650101	4.702
840	706.81686223722454991806980023901311373738400983301348982394604270723597351947531	4.580
848	712.09157716606499524130368550368869155018349589976582112574914446801617615382640	4.693
856	717.22608501335704827565750825270969287378723948724171972370872226279515043784171	6.978
864	722.95814903129015349528759431682731944143075500498093715789086396889215495708146	4.932
872	728.28686308631787370043212244553638518425072098938577500839652600328119147859338	4.962
880	733.59938965961657670687586792506979507645146466730466956411250681735626872265482	4.999
888	738.73509916185127889368307247841782070828165635469967985498976202126567876861611	5.146
896	743.78712788166390855939055274287004882703422435955286502109254030375990663154677	5.277
904	749.24778349664411602586881114045743398853522693063096511761086259459783913492004	5.537
912	754.44778403922571230763455378839173655325036782781126721694219118105653489905780	5.510
920	759.84448068851371478234639277769206699174869449613489221975605773898687320107275	5.464
928	764.85843981182834140004350700006095389452217840600548711098481383104515945343979	5.680
936	770.00759067136689367419115420656881743913543414655597178862601115853846671189882	5.886
944	775.39772690924953377495723185803396064287872726834672031564709799711515277299393	6.109
952	780.59769690053271536478857944539134457300290904266369476796756635081962035367054	5.782
960	786.26203089038237133638070003589352457327450637477984763246610114460690106595732	5.874
968	790.83461823004830405395703300691299618945840431454924772339187023779155637810412	5.901
976	796.35996285791375296647161496365864083106514506217981980420432867267058003289947	6.006
984	801.33947174951680348607955001707160270505373417283676830326223881553420525589079	6.417
992	806.69891789633742164415000372066872266793637655387435587389144904380816768664328	6.297
1000	811.80779748625554752560669847486994108095127315348421772945823352826419594599030	6.538
1008	816.69136849648682064274660348612409868881070969591800404084956336527385622535656	7.168
1016	821.81610573121486529873528227750772472615456394248002199336044201474819746464397	8.033
1024	826.91692608871578315482741827037212760252322279746996757139742849213722796835682	7.622
1032	832.56266027981487928236039627004506507631376884330921253854227956229025064802872	7.152
1040	837.64148615636691618674194153606135183746085737934565713156820244411397058414137	7.280
1048	842.84160930481120476437053963644319447527734757223740407751725231693032530618658	7.110
1056	847.73795123090899811834302617659573274772983736027914490486811367019472771538078	7.240
1064	852.73892370459645800386226274493125093581474408477583823313115026024923481027573	7.432
