4	22.336103637209867275682674459236246192455046952465274802023451196789328944584821	0.051
12	37.753915975624270478418792417855070791935783276395706989764533321048768641727121	0.056
20	51.156560281436345228689145773536055196239076761997996576309692652929330704793511	0.072
28	62.664992326307156892975339618708043949658147463094922477273077742523265536573325	0.082
36	72.814060667589404299679781496029182374646739269844490481553520023948996852343305	0.099
44	82.842525839572073221096918141844838195255594104240464594187648576361486522387659	0.111
52	92.442925494721278172867200952309354282060353666948983784143583673954520883865461	0.118
60	101.34359353371037877283174046133343403238336530198148158770959185749015665762629	0.149
68	110.70966268400202899488011591644413050642048899010900313994385069227471503973730	0.174
76	119.08216779664660235228969355888661218750611002090157960798692915861785448182624	0.167
84	127.55580316015350299498466819674995399076051815644227529045874947776255984601846	0.210
92	135.55289998752847036548274562712843742534917221885367600718143943492490406436728	0.199
100	144.35472636940312405171899913317294920189211864831096529872049911623679375769251	0.234
108	152.13443437848035223880186294354273954961023530031996977307868084478657208841831	0.219
116	159.66861391033673940573473477247290060587162489199126172878314534431079891548249	0.270
124	167.64363470910756434031556058240556417002741021170624084174690174096925933931402	0.414
132	174.87652927717548721702344482263743479614851741170998180746175007318936799949835	0.294
140	182.20249194881724748819268756697542648570062768715776909515172328382186888248327	0.316
148	190.18300948703448455900136592341425333206189425775649416890729517179859811440565	0.345
156	197.46001227582873998666194438828744631020970267122925457039436077378855819300539	0.397
164	204.51239334340468322129154264579038681778479602855072111701619231744384047356244	0.364
172	211.96487933189509739149064259486918370559564567172026383151136408597142367887582	0.412
180	219.05775934917431455617631349167084830840937719137636348629546766831963188830530	0.462
188	226.13018407379164824770760429460848697417738994950929236052496724615486867486860	0.426
196	232.66530580385764480190679379349722218411441895777650786898044966319603910072285	0.439
204	239.89924606991685412059879758050717435408839159508606601289973243303416779445391	0.526
212	246.69268984848614370352587898043581937900665394503750419512739237235645810194775	0.596
220	253.62207814059810819046465051141559334198868003123649443956325159284331562570185	0.562
228	260.31966784967481684327348830322131981102806299104424602277035043926615660223982	0.551
236	267.07498499872411920916710565792326826941936753623235128703206260017438262995280	0.608
244	273.62440646745633705589312259952702067611044471098258572266891256028618243367431	0.616
252	280.46317826723520161276403796429587000008924586068693464857763090026614865578209	0.619
260	286.85659930703957229321245812858615027880191035634173378850971822832858219655652	0.640
268	293.93812543768367582927829899034600561748138511469656499829694359997947638160724	0.720
276	299.83557008651917017616780625399163972947914846411089084919245051383346720970775	0.740
284	306.45834886493761560620344270088914458652665959680875120765189681072273841922758	1.173
292	312.72154298264879920944253251945140031231809841996797662238873005442592803125015	0.800
300	319.06908969877981402999499129074560655969332362088334061123696382053712346685630	0.802
308	325.74794178430141431240018601763728574755844556983776922506340296507403621163832	0.848
316	332.07089050705975657958897720685958399294189006007581220304140391081014285507382	1.074
324	338.58953260870224388247768816666739877999825293981078314953923949175000063103582	0.951
332	344.89836198100080466697178350590106641240531421997427139280348711420956610498786	0.891
340	351.28960164000568734859065226148562072377414474929861674988755967231879889063645	1.037
348	357.44255665815737146235221468714128695852178377705937763620922407785247243511659	1.023
356	363.20592036850608757776881826663452513884251152163768520252912741304261660347092	1.055
364	369.77783014120345168438217141703734613475634080124859190692151351221272602972998	1.119
372	375.84495838752115635823278149001446928652017249908182067388550455779058333825057	1.073
380	381.34929849585034157369048122257521526037730022478505434695223768712208689611297	1.151
388	388.17860588202221988608129697456564344522656465510565368528362149259216137427952	1.181
396	394.38684250013826423624716164254546254456125440003402072671743593420933812831109	1.402
404	400.15923443279669291192050533758253689304720929175430917171822539307904017958081	1.218
412	406.41050288325897569967920317469653155224091491533243293524719619701389290237748	1.361
420	412.10035851382401527415199892386234905863963109923961090256830486068088023465675	1.419
428	418.10710183205343510003471601190172452673632650166607014507524985188198833109176	1.556
436	424.18498163212848687107030449369193799478268038137643755041556697200087413140504	1.409
444	430.29461659826835400344901452729026130663780409112128811429412828080077787195893	1.412
452	436.24093152359084071223427164537738476948097811365663173286704306161737260358579	1.609
460	442.36245516885570031951943668529685776213129559379728469057090695358927603731564	1.557
468	448.09163980153162497353814440806611614201182915976196176534816850640026536200822	1.563
476	454.08217983291528514046052518996798809771184402705461267682304875464112264211007	1.691
484	459.67137298300726429775257592893650666313906467125036125643836433649961441866253	1.634
492	465.74443576508453217892100281883249092549769325266735016509898332992851625892602	1.742
500	471.27627656635667958296473315492779250576295968416557573581938128302200208738230	1.984
508	477.22310588709141859829375151406668846638816606537631720292085708381157597422962	1.826
516	482.82833471843337501856341301606442692611297795027018143390587894724946861219792	1.856
524	488.76697237066562249475720906414029685679350991739363023715599947816667004444957	1.969
532	494.30443545877423668626125140994667216334416352893821925638235495903204534568235	1.982
540	500.19221225405438475956246957668112419759631939199470912616316891320853754635704	2.265
548	506.20596637741147677456501223562336837450246916152374099571193075300419551197437	2.114
556	511.84402800866879731221429584175557448839213467067806742611263443157494504195982	2.088
564	517.43996300573537001479463721828626630135274229700028478566032627688253133049077	3.384
572	523.28844925825511450342465002870656305440065389091149061286364792653667776569026	2.388
580	528.80230835486553948719908665553929237196140450629510429434106836335338309961278	2.365
588	534.40924416308652902607046119696540045210037737333456815093108445197584906458176	2.375
596	540.17927398553887087017180528240312819695409516321774839898500635052065397824620	2.712
604	545.77289400769553791606307284870426908062120595596174768646854474128468786717505	3.678
612	551.70807611018292012023391224428499355332463896185451846933612073557402599986749	2.573
620	557.04683706421793036653536661624345443931118708903585722630540223687450202263217	2.706
628	562.44862909556947460723827740207844519205471050716952168170123397159667687365318	2.610
636	568.16954538760702878379632191389809455368961223689480450409609936107175792915063	2.686
644	573.79313882442128949902267167596836457883407186440185406630012073596800402708859	2.819
652	579.56155529651455875934372527254991034454989913138622604119480647290936989183431	2.905
660	584.91737237893964257140229535520924342383562460376118411987474095307737376061969	2.900
668	590.26505950537789354758242999154073770923790967587293669967526645178956222841049	2.910
676	596.31640276726796289506417858822867865199293747442652782268659398932623447775503	4.130
