Function,Mean,Std Dev,Min,Max,Median,Q1,Q3
"L(s, χ₄)",0.003401693051266043,0.003435782535946253,1.9740044212424677e-05,0.02989552560911288,0.002263697705991172,0.0013695410029758047,0.0040754342190992415
L_DH(s),0.0063380837215355045,0.004137478179326633,3.428069513209098e-05,0.028078222321663706,0.005439549279260816,0.0032466490235015955,0.00860265260326034
