t,R_comp_chi4,R_comp_LDH
1000.0,0.00192664078732153,0.0036659302504881055
1001.8003600720144,0.0027656471025923708,0.007433241731801144
1003.6007201440289,0.009283140203270375,4.993151095108692e-05
1005.4010802160432,0.000965131220405358,0.007811888404313886
1007.2014402880576,0.0027892173860755557,0.0011708152471634646
1009.001800360072,0.005602957568795299,0.0007668137607751737
1010.8021604320865,0.004500074614291323,0.002231424601690651
1012.6025205041008,0.0007472132471993942,0.006776604074706084
1014.4028805761152,0.0013669672731497903,0.01195384854325332
1016.2032406481296,0.0009460207060764686,0.00543955010326762
1018.003600720144,0.004342114765264074,0.007799362775182358
1019.8039607921585,0.00582623173227123,0.012082607357137017
1021.6043208641728,0.002451699730229433,0.005770692839191615
1023.4046809361872,0.0036137867784405996,0.008998070183243079
1025.2050410082015,0.0020363386601593373,0.004439788859099125
1027.005401080216,0.0033365448588730056,0.012285565163475273
1028.8057611522304,0.006224905477790956,0.006563422091351055
1030.6061212242448,0.0008933653950829744,0.005980815690867078
1032.4064812962592,0.005131106592503998,0.013681898017054312
1034.2068413682737,0.003554188764146451,0.003194120494733159
1036.007201440288,0.0019287878899319393,0.005670587675606131
1037.8075615123025,0.01592932691411363,0.00903110808119632
1039.607921584317,0.004104691825215867,0.00020687661383038053
1041.4082816563314,0.000573852314877573,0.009289432576645017
1043.2086417283456,0.0014296031638064768,0.0023367228584822626
1045.00900180036,0.0038774114056234423,0.0034205627932110834
1046.8093618723744,0.0050404682432676085,0.004901880271403882
1048.6097219443889,0.0026347285263657637,0.014136133237095788
1050.4100820164033,0.0030941151993290603,0.0033454443645219325
1052.2104420884177,0.001415084426896488,0.0016705743601736038
1054.0108021604321,0.007070699830521846,0.0016451581313518592
1055.8111622324466,0.005761798951749428,0.0008778423978025162
1057.6115223044608,0.0013116669740949997,0.011005023638067282
1059.4118823764752,0.001441611482978313,0.014993662916572418
1061.2122424484896,0.0026338256438279708,0.01252795728084536
1063.012602520504,0.00205643221274407,0.013317140349976428
1064.8129625925185,0.0026336347157358835,0.0010068275031709282
1066.613322664533,0.005097341032538203,0.00650612196604999
1068.4136827365473,0.002011564758833947,0.007331614046746865
1070.2140428085618,0.0013355839404834142,0.00552432364502721
1072.0144028805762,0.0021525251865715574,0.008643684884809011
1073.8147629525906,0.0017437625459296392,0.004403449148180972
1075.6151230246048,0.001919192265509965,0.0025830792651772355
1077.4154830966193,0.0012025625755016818,0.00790963527120476
1079.2158431686337,0.0009955044695131943,0.015289797109905917
1081.016203240648,0.003402009639231284,0.0031678965058512146
1082.8165633126625,0.010422197664823564,0.008844499171014528
1084.616923384677,0.0035071551459697568,0.002151123339590666
1086.4172834566914,0.0014195351539794416,0.007211514100091714
1088.2176435287058,0.001961126079762722,0.011727952040887016
1090.01800360072,0.003526188168176277,0.005092319797164871
1091.8183636727344,0.0014974641849607015,0.01634129477044548
1093.6187237447489,0.001650411898411754,0.0034230026711206847
1095.4190838167633,0.0010225801599006827,0.004865120562926402
1097.2194438887777,0.0016234043983024712,0.0022395277524268112
1099.0198039607922,0.0018699738420852787,0.005330111647105006
1100.8201640328066,0.01290638869602935,0.0063497842758971695
1102.620524104821,0.001460340327090243,0.004102111765143237
1104.4208841768354,0.00256729384840849,0.0027160770571890485
1106.2212442488499,0.001124781980713238,0.0013799437502021621
1108.021604320864,0.0019403480819944027,0.002419373091879883
1109.8219643928785,0.003046995356598617,0.007377531343295605
1111.622324464893,0.0018295465237717099,0.0031943154353757707
1113.4226845369074,0.00234853328052381,0.012684542232162794
1115.2230446089218,0.003116661981537078,0.0031338222259307312
1117.0234046809362,0.002707760065041712,0.0033381999320253324
1118.8237647529506,0.013538143169675452,0.014553008937091112
1120.624124824965,0.000724865238197512,0.004451039149729909
1122.4244848969795,0.0020173127286965574,0.007138755892731307
1124.2248449689937,0.0016805237155347547,0.007014449323585333
1126.0252050410081,0.0025808036962518036,0.003467443460914039
1127.8255651130225,0.0018660027350137479,0.0034210930829909818
1129.625925185037,0.0039506901549845215,0.006076970877676287
1131.4262852570514,0.0022673510054404423,0.006369108808524082
1133.2266453290658,0.0012743631142661048,0.0026645830580968918
1135.0270054010803,0.006361026925589564,0.0023549732629722935
1136.8273654730947,0.003323433334667166,0.0023571631464678793
1138.6277255451091,0.0038665981605156903,0.006138472107669312
1140.4280856171235,0.0004935968270123975,0.007488762270234276
1142.2284456891377,0.0024473079870524104,0.0032677297119455104
1144.0288057611522,0.0027546455171414503,0.002472088831260226
1145.8291658331666,0.0018120482334619834,0.002979387267831211
1147.629525905181,0.0143194480604634,0.0024476676867055624
1149.4298859771955,0.0014186352364328875,0.0001916362428173687
1151.2302460492099,0.0008676565563593662,0.003109741195960039
1153.0306061212243,0.00112695559749821,0.011924957136764341
1154.8309661932387,0.0025746824401953606,0.004102356625831403
1156.631326265253,0.0021352505450467365,0.0007683754650772968
1158.4316863372674,0.0012086778116420205,0.003939878636959304
1160.2320464092818,0.0006990649015277809,0.005934992843238061
1162.0324064812962,0.0030755188896469813,0.0049656914283471324
1163.8327665533106,0.008072082136692922,0.0097503357412107
1165.633126625325,0.004988439802559269,0.00971390099203487
