k,Count_N1,Count_N2,Prop_N1,Prop_N2,Pct_Change
1,9592,78498,0.15778132350764068,0.12912448081589012,-18.16237945954537
2,23313,209867,0.3834816508479595,0.3452185713698236,-9.977812339528656
3,19919,206964,0.3276528547694636,0.34044331126372496,3.903660935065168
4,7039,92966,0.11578635698188937,0.15292346917794136,32.07382386325598
5,910,18387,0.014968828648035136,0.030245507258296663,102.05660689600319
6,20,1235,0.0003289852450117612,0.002031500596290661,517.5050787514907
