Function,Non-zero coeffs,Total coeffs,Sparsity,Mean R_comp,Mean M_coh
"L(s,χ_4) mod4",50000,100000,0.5,0.017212080204446454,1.9071290293846515
f_rand,60794,100000,0.39205999999999996,0.032025504158682,1.9082653621244197
L_DH,60794,100000,0.39205999999999996,0.01854337144743961,1.994484270771951
f_fully_rand,60794,100000,0.39205999999999996,0.013172832136269956,1.6288966551773763
"L(s,χ₄) mod5",80000,100000,0.19999999999999996,0.013198055913907993,1.7270816947854966
ζ,100001,100000,-1.0000000000065512e-05,0.009849617391072051,1.909304139201403
