Function,N,Circular_Mean_Deg,Circular_Std_Deg,Mean_r,Std_r,Num_Peaks
Zeta,1000000,-5.344706506254722,40.38686661439047,-0.14811783802601236,0.41545544678141016,200
Liouville,1000000,-1.1231408031161685,49.48535645556426,-0.12159217848417214,0.4422426298714249,200
