Class,N_points,M_coh_mean,M_coh_std,M_coh_min,M_coh_max,R_comp_mean,R_comp_std,R_comp_min,R_comp_max,CAS_mean,CAS_std,CAS_min,CAS_max
Multiplicative,200,1.8629450563739929,0.20171726726098427,1.0582719183504234,2.1963417691062896,0.01807131441702708,0.010330809870342426,0.0023635619556649,0.0654912035825145,2.543417564380899,2.0487559718909685,0.0,4.698965661369485
Non-Multiplicative,50,5.72671775569237,1.1235910877917825,3.787911501595584,8.321244163001706,0.33695548561659483,0.13584614245911106,0.14206211429623875,0.6855752912899998,1.0472593456305856,2.2429892266911074e-16,1.0472593456305854,1.0472593456305854
