n,b_zeta_W1,b_delta_W1,b_zeta_W2,b_delta_W2
342,1344.1365717500441,1344.1365717500441,1345.2911120884537,1345.3549213830602
343,1344.840605020279,1344.840605020279,1343.5660346212167,1343.6571954047952
344,1345.7389499839626,1345.7389499839626,1342.6170802521392,1342.7491150596068
345,1346.2992966843253,1346.2992966843253,1342.715671271123,1342.9078317627352
346,1346.1679975276438,1346.1679975276438,1343.66270534586,1343.9408201973354
347,1345.3503909855065,1345.3503909855065,1344.8957598980269,1345.2929893468138
348,1344.2089548555562,1344.2089548555562,1345.7570526930858,1346.3158136667105
349,1343.2862310404741,1343.2862310404741,1345.8159427798926,1346.593499521481
350,1343.0425472907787,1343.0425472907787,1345.0862719011423,1346.166441467855
351,1343.6252970741566,1343.6252970741566,1344.0064068403456,1345.5174471106293
352,1344.7755526718452,1344.7755526718452,1343.1843507258263,1345.3192505591276
353,1345.9343278523859,1345.9343278523859,1343.0569330575324,1346.0887041983021
354,1346.5230648543293,1346.5230648543293,1343.652873336191,1347.9351777097274
355,1346.262350114154,1346.262350114154,1344.5778038068959,1350.5234179449667
356,1345.3413321102273,1345.3413321102273,1345.227055129065,1353.2689576300206
357,1344.3258646047643,1344.3258646047643,1345.1252336975663,1355.683751151343
358,1343.8507253943194,1343.8507253943194,1344.2156820696266,1357.692077720125
359,1344.2616587604764,1344.2616587604764,1342.9303847937338,1359.6913617562268
360,1345.3937077165713,1345.3937077165713,1341.9940528906247,1362.2309953847118
361,1346.6136310662919,1346.6136310662919,1342.0833485854737,1365.431847098195
362,1347.1394849831709,1347.1394849831709,1343.5401569573708,1368.5352724124064
363,1346.4911570749707,1346.4911570749707,1346.2751799094237,1370.0527981079251
364,1344.8077348327276,1344.8077348327276,1349.8667122224883,1368.6534569424618
365,1342.826219587074,1342.826219587074,1353.7625402758636,1364.1910853079023
366,1341.5400393518707,1341.5400393518707,1357.4843754549365,1357.9273913431025
367,1341.7480531213225,1341.7480531213225,1360.7725619499415,1351.7542126569303
368,1343.7227972026267,1343.7227972026267,1363.600320024145,1347.1679478975975
369,1347.1305970262526,1347.1305970262526,1365.9799883126273,1344.713446754929
370,1351.236637168253,1351.236637168253,1367.6493153435035,1344.003417551354
371,1355.318644642845,1355.318644642845,1367.969893747114,1344.103272636131
